project_id,claim_id,ground_truth_stage_index,ground_truth_escalation_severity,direct_dispute_evidence_present,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-RAL,PRJ-RAL-CLM-03,2,0.39212,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e89ad4e41fa15a64907c113c27df442d815fbc3fb6d3dc89a16ca28bc8a80c84
PRJ-RAL,PRJ-RAL-CLM-04,3,0.57684,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,54287fe9c4bdbbf8c987c3fd1c6ef02670ca51e527d2a2465600f619057986dd
PRJ-RAL,PRJ-RAL-CLM-05,4,0.76156,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3e8ff02525213abc332229073cb8a2fa3c8bf4e67c4d4a09cccb5f7cc6141d9c
PRJ-RAL,PRJ-RAL-CLM-06,4,0.77128,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,84ba784607bc4cbb36838f2d0ef5c2a2ce825355c19170038f8ae5cee012029a
PRJ-DCT,PRJ-DCT-CLM-01,0,0.02121,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ac4809e63b8ec523092cddc32b75fbeb32b464f613a22efb3c5e217d5c858e8e
PRJ-DCT,PRJ-DCT-CLM-02,0,0.0303,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,08cd57de8d7463c0e475a3da42846c238492c0dbf3795431d71528e2d6d76b71
PRJ-DCT,PRJ-DCT-CLM-03,1,0.21439,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,617826009f0e15a9bd5db49ce186b41af9ac6bc3e305e665e54b17aa0f8f2424
PRJ-DCT,PRJ-DCT-CLM-04,2,0.39848,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0053430145f1e2443ad5ae2006fdd60ddf7432df8b47fe05038ba7575ba28918
PRJ-DCT,PRJ-DCT-CLM-05,3,0.58257,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,70708d7b0f1fe46ee8ed1fe8c05dcd2195c5cd3b91a24547fd6f68df9cb517c8
PRJ-DCT,PRJ-DCT-CLM-06,4,0.76666,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,77a0117dc9b5e54ab0dae5187669193df695c51d455c20283005a090a1eb00db
