module_id,module_name,category,canonical_method,validation_class,empirical_result,calibration_provenance_state,lineage_state,current_routing,voting,run35_disposition,rationale,run36_action
A2.11,Critical Path Index,Schedule Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A3.1,Reference Class Forecasting,Cost Risk,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A3.2,Contingency Burn Rate,Cost Risk,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A3.3,Labor Productivity Index,Cost Risk,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A3.5,Overhead Absorption Rate,Cost Risk,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_INDEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A3.6,Cost Risk Analysis P80,Cost Risk,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_DEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A3.7,Analogous Estimating Ratio,Cost Risk,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A3.8,Parametric Cost Index,Cost Risk,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,DISABLED_INSUFFICIENT_INPUT,disabled: the analytical structure its registered name claims -- and the governed data that structure would need -- exists nowhere in the corpus,confirm the structure is still absent and the abstention still fires
A3.9,Inflation Adjustment Index,Cost Risk,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_INDEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.1,Document Risk Score,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_TUNABLE_VALUE,LINEAGE_UNRESOLVED,NOT_COMPUTED_SUPPLIED_FIELD,NO,RESEARCH_ONLY,"a supplied opaque scalar, not a computed canonical method; its precision and recall are unmeasured and no labelled document corpus exists, so no accuracy claim is supportable on any operational surface",confirm the structure is still absent and the abstention still fires
A4.2,RFI Velocity,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.3,Submittal Rejection Rate,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.4,NCR Rate,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.5,Weather Day Impact,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.6,Change Order Frequency,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_INDEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.7,Dispute Escalation Index,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.8,Subcontractor Performance,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.9,Procurement Lead Time Monitor,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A4.10,Specification Conflict Density,Document-Derived Condition Signals,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.1,DSM Rework Propagation,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.2,Sensitivity Analysis,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_INDEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.3,Tornado Risk Ranking,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_DEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.4,Scenario Modeling,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.5,Rework Feedback Loop,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.6,Queueing Theory Bottleneck,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.7,Agent-Based Supply Chain,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A5.8,Discrete Event Simulation,System Dynamics & Complexity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A6.1,Quality Compliance Index,Delivery Quality Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,COMPUTES,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A6.2,Safety Performance Index,Delivery Quality Performance,YES,PARTIAL_REFERENCE_STANDARD,PASS,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,COMPUTES,NO,KEEP_ADVISORY,"computes a bounded analytical reading on the governed corpus and is excluded from category rollup, project status fusion, recommendation text, courses of action and the decision card; it casts no status vote",confirm the scalar identity still holds and re-test the unvalidated band
A6.3,Environmental Compliance Rate,Delivery Quality Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,COMPUTES,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
A6.4,Contractor Performance Assessment Signal,Delivery Quality Performance,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B1.1,Conservative Dominance,Signal Synthesis,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_TUNABLE_VALUE,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B1.2,Weighted Voting,Signal Synthesis,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B1.3,Majority Rules,Signal Synthesis,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B1.4,Worst-N-of-M,Signal Synthesis,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.1,Dempster-Shafer,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.2,Rough Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.3,Neutrosophic Logic,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.4,Interval Fuzzy Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.5,Z-numbers,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.6,PLTS,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.7,Plithogenic Sets,Evidence Combination,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,DISABLED_INSUFFICIENT_PROVENANCE,"disabled because no frozen operator formulation exists in the supervisory artifacts; the citations are DOIs, not a method this platform can execute",confirm the structure is still absent and the abstention still fires
B2.8,Belief Rule Base,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.9,Quantum Probability,Evidence Combination,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,ARCHIVED,"historical scientific method intentionally retained, not a current operational method; no production route reaches it",confirm the structure is still absent and the abstention still fires
B2.10,Pythagorean Fuzzy Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.11,Picture Fuzzy Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.12,Hesitant Fuzzy Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
