upstream_type,upstream_name,downstream_type,downstream_name,edge_type,authority_source,authority_section_or_location,authority_status,notes
MODULE,Audit Trail Completeness,CATEGORY,Data Integrity,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row C1.4, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Information Completeness Ratio,CATEGORY,Data Integrity,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row C1.5, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Cross-document Consistency Score,CATEGORY,Data Integrity,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row C1.6, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
MODULE,Reporting Frequency Index,CATEGORY,Data Integrity,MODULE -> CATEGORY,p0-baseline/module_renumbering_map.csv (via server/app/simulation/registry.py),"row C1.7, category column",ESTABLISHED,Registry category membership: the module's output is one of the inputs the category's state is formed from.
CATEGORY,Data Integrity,CATEGORY,Signal Synthesis,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,section 18 (Category 9 target architecture) and section 22 item 2,ESTABLISHED,The master states raw evidence is qualified by Category 9 and that this downstream category consumes qualified governed objects. The qualification gate is the stated immediate dependency.
CATEGORY,Data Integrity,CATEGORY,Evidence Combination,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,section 18 (Category 9 target architecture) and section 22 item 2,ESTABLISHED,The master states raw evidence is qualified by Category 9 and that this downstream category consumes qualified governed objects. The qualification gate is the stated immediate dependency.
CATEGORY,Data Integrity,CATEGORY,Regulatory and Authority Thresholds,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,section 18 (Category 9 target architecture) and section 22 item 2,ESTABLISHED,The master states raw evidence is qualified by Category 9 and that this downstream category consumes qualified governed objects. The qualification gate is the stated immediate dependency.
CATEGORY,Data Integrity,CATEGORY,Decision Optimization,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,section 18 (Category 9 target architecture) and section 22 item 2,ESTABLISHED,The master states raw evidence is qualified by Category 9 and that this downstream category consumes qualified governed objects. The qualification gate is the stated immediate dependency.
CATEGORY,(not stated),CATEGORY,Signal Synthesis,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"sections 15, 16, 17, 19",SILENT,"The master states this category consumes qualified signal states or a qualified project state, and never enumerates which categories supply them. No edge is asserted. Reported as an unresolved architecture mapping."
CATEGORY,(not stated),CATEGORY,Evidence Combination,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"sections 15, 16, 17, 19",SILENT,"The master states this category consumes qualified signal states or a qualified project state, and never enumerates which categories supply them. No edge is asserted. Reported as an unresolved architecture mapping."
CATEGORY,(not stated),CATEGORY,Regulatory and Authority Thresholds,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"sections 15, 16, 17, 19",SILENT,"The master states this category consumes qualified signal states or a qualified project state, and never enumerates which categories supply them. No edge is asserted. Reported as an unresolved architecture mapping."
CATEGORY,(not stated),CATEGORY,Decision Optimization,CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"sections 15, 16, 17, 19",SILENT,"The master states this category consumes qualified signal states or a qualified project state, and never enumerates which categories supply them. No edge is asserted. Reported as an unresolved architecture mapping."
CATEGORY,(not stated),CATEGORY,"(ordering among B1, B2, B3, B4)",CATEGORY -> CATEGORY,research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"sections 15, 16, 17, 19, 22",SILENT,"The master never states that Signal Synthesis feeds Evidence Combination, nor any other ordering among the four downstream categories. The proposition in the brief that they form a chain is NOT established by the master and is not adopted."
CATEGORY,Cost and EVM Performance,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Schedule Performance,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Cost Risk,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Document-Derived Condition Signals,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,System Dynamics and Complexity,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Delivery Quality Performance,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Signal Synthesis,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Evidence Combination,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Regulatory and Authority Thresholds,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Decision Optimization,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,"'How to use this in user-facing text'; Group A and Group B contribute, Group C does not, Group D is portfolio level",ESTABLISHED,A project-level Group A or Group B category rolls up to project status.
CATEGORY,Data Integrity,PROJECT STATUS,Project status,CATEGORY -> PROJECT STATUS,GROUP_ASSIGNMENT.md,'Group C does not contribute to project status',EXCLUDED,Positively excluded by the authority. The edge must NOT be rendered.
