module,module_name,missing_canonical_structure,runtime_abstention_reason,supply_path_type,concrete_repository_object,implemented,reachable_by_production_ingestion_or_api,real_corpus_currently_supplies_values,why_not_if_no,later_calibration_only,verdict
A2.6,S-Curve Deviation,timePhasedBaseline,canonical_structure_absent,CONTRACT_BASELINE_DATA,"signal-inputs key `timePhasedBaseline` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,As A1.6: the same time-phased baseline serves both.,no,PASS
A2.8,Look-Ahead Schedule Health,lookAheadSchedule,canonical_structure_absent,NEW_STRUCTURED_FORM,"signal-inputs key `lookAheadSchedule` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,Constraint status is a field practice record. No document type extracted today carries whether an activity still has an open constraint.,no,PASS
A2.9,Resource Loading Index,resourceProfile,canonical_structure_absent,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `resourceProfile` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,No document type extracted today carries resource capacity.,no,PASS
A2.10,Schedule Risk Analysis P80,scheduleNetwork,canonical_structure_absent,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,As A2.1.,no,PASS
A2.11,Critical Path Index,scheduleNetwork,canonical_structure_absent,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,As A2.1.,no,PASS
A3.1,Reference Class Forecasting,referenceClassPopulation,canonical_structure_absent,REFERENCE_CLASS_DATASET_INTERFACE,"signal-inputs key `referenceClassPopulation` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"As A1.10: an outside-view population cannot be read from this project's own inside view, and none has been curated.",no,PASS
A3.3,Labor Productivity Index,productionOutputRecord,canonical_structure_absent,EXISTING_DOCUMENT_EXTRACTION,"signal-inputs key `productionOutputRecord` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"Quantities and hours DO appear in pay applications and schedules of values in principle, but no extraction field emits an installed quantity with its unit today, so the values arrive through the structured intake until an extraction field is added.",no,PASS
A3.5,Overhead Absorption Rate,overheadAllocationBase,canonical_structure_absent,NEW_STRUCTURED_FORM,"signal-inputs key `overheadAllocationBase` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"Allocation drivers are an accounting-system fact, not a project-document fact.",no,PASS
A3.7,Analogous Estimating Ratio,analogEstimate,canonical_structure_absent,HISTORICAL_DATASET_INTERFACE,"signal-inputs key `analogEstimate` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,An analog is a record of a DIFFERENT project. It is identified by a person and supplied against this one; nothing in this project's documents can name it.,no,PASS
A3.9,Inflation Adjustment Index,externalCostIndex,canonical_structure_absent,EXTERNAL_OFFICIAL_DATA_INTERFACE,"signal-inputs key `externalCostIndex` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",yes,yes,no,"The values originate OUTSIDE the platform entirely -- a published official index. The interface to receive one exists and is reachable; the index values are not and cannot be a repository fact, so the platform can receive them but cannot generate them.",no,PASS
