canonical_id,registry_id,module,canonical_structure_implemented,canonical_mathematics_implemented,production_runner_canonical,legacy_production_path_reachable,production_supply_path,real_corpus_populated,oracle_through_production_pass,invalid_admissibility_pass,operational_result,abstains,parameter_provenance,disabled_or_archive,lineage,lineage_status,independence_established,run31_pending,run33_pending,activation,final_disposition
7.7,B2.7,Plithogenic Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,RESEARCH_ONLY_LAB_STRUCTURE,yes,yes,LINEAGE_NOT_APPLICABLE,no,nothing: it is not on the qualification path,operator selection is an owner decision; then calibration,DISABLED_UNSAFE,FUTURE_RESEARCH_ONLY
7.8,B2.8,Belief Rule Base,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,"the ER operator, the weights and calibration",ADVISORY_ONLY,METHOD_PASS_CALIBRATION_PENDING
7.9,B2.9,Quantum Probability,yes,yes,yes,no,yes (the assembled governed signals),no,yes,yes,no,yes,RESEARCH_ONLY_LAB_STRUCTURE,yes,yes,LINEAGE_NOT_APPLICABLE,no,nothing: it is not on the qualification path,restoration prerequisites are an owner decision,DISABLED_UNSAFE,FUTURE_RESEARCH_ONLY
7.10,B2.10,Pythagorean Fuzzy Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the memberships and their calibration,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.11,B2.11,Picture Fuzzy Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the memberships and their calibration,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.12,B2.12,Hesitant Fuzzy Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the degrees and the choice of score,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.13,B2.13,Type-2 Fuzzy Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,an exact Karnik-Mendel formulation is an owner decision; then calibration,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.14,B2.14,Maximum Entropy,yes,yes,yes,no,yes,no,yes,yes,no,yes,PROJECT_DATA_OBJECT,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,constraint provenance and validation,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.15,B2.15,Possibility Theory,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the degrees and their calibration,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.16,B2.16,Spherical Fuzzy Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the memberships and their calibration,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.17,B2.17,Fermatean Fuzzy Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,EXPERT_ELICITATION,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,the memberships and their calibration,ADVISORY_ONLY,CORRECT_PROXY_ONLY
7.18,B2.18,MARCOS Ranking,yes,yes,yes,no,yes,no,yes,yes,no,yes,DECISION_ALTERNATIVES_OBJECT,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,placement is Run 32; weights and validation Run 33,ADVISORY_ONLY,OWNER_DECISION_REQUIRED
7.19,B2.19,CRITIC-TOPSIS,yes,yes,yes,no,yes,no,yes,yes,no,yes,DECISION_ALTERNATIVES_OBJECT,no,yes,LINEAGE_UNRESOLVED,no,the qualification gate,placement is Run 32; validation Run 33,ADVISORY_ONLY,CORRECT_ABSTENTION
7.20,B2.20,Hypersoft Sets,yes,yes,yes,no,yes,no,yes,yes,no,yes,RESEARCH_ONLY_LAB_STRUCTURE,yes,yes,LINEAGE_NOT_APPLICABLE,no,nothing: it is not on the qualification path,activation is an owner decision; then calibration,DISABLED_UNSAFE,FUTURE_RESEARCH_ONLY
