key,present_in_reconciliation,classification,current_action,evidence,result
Kalman_Filter,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure kalmanStateSpaceModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Labor_Productivity,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure productionOutputRecord), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Maximum_Entropy,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure maximumEntropyProblem), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Milestone_Trend,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure milestoneForecastHistory), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Modification_Governance,YES,WITHDRAWN,"REMOVE from the client map. Run 31 repointed this module onto its canonical method (layer v6, governed structure contractModificationRegister), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists. THE SERVER ENTRY IS ALSO STALE and is removed from registry.PROXY_QUALIFIERS: it survived the remediation that withdrew the method it describes.",pre-change occurrence count 1; reconciliation row count 1,PASS
Overhead_Absorption,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure overheadAllocationBase), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Picture_Fuzzy,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure pictureFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Portfolio_Outlier,YES,CURRENT_REQUIRED,KEEP. The module has no canonical layer and still computes the proxy the qualifier describes; the server holds it and the client key already matches the current method class.,pre-change occurrence count 1; reconciliation row count 1,PASS
Possibility_Theory,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure possibilityAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Pythagorean_Fuzzy,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure pythagoreanFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
SCurve_Deviation,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure timePhasedBaseline), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Schedule_Compression,YES,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure scheduleNetwork), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Sensitivity_Analysis,YES,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure sensitivityModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Spherical_Fuzzy,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure sphericalFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Subcontractor_Performance,YES,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure subcontractorAssessments), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Tornado_Diagram,YES,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure sensitivityModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Type2_Fuzzy,YES,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure type2FuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
Weather_Impact,YES,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure weatherImpactEvents), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",pre-change occurrence count 1; reconciliation row count 1,PASS
WhatIf_Scenario_Matrix,YES,WITHDRAWN,"REMOVE from the client map. Run 32 repointed this module onto its canonical method (layer v7, governed structure actionScenarioMatrix), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists. THE SERVER ENTRY IS ALSO STALE and is removed from registry.PROXY_QUALIFIERS: it survived the remediation that withdrew the method it describes.",pre-change occurrence count 1; reconciliation row count 1,PASS
