module ID,current authoritative module name,current method class,client qualifier key,current server qualifier key,server qualifier text/state,current consumer(s),current browser/API result,historical evidence requiring preservation?,classification,required action,PASS/FAIL
A1.4,Kalman Filter SPI Smoother,Kalman_Filter,Kalman_Filter,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: Scalar Kalman recursion with fixed Q and R, short history, no calibrated filtering claim",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure kalmanStateSpaceModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A3.3,Labor Productivity Index,Labor_Productivity,Labor_Productivity,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: a labour-hours ratio, not an earned-output productivity model",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure productionOutputRecord), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B2.14,Maximum Entropy,Maximum_Entropy,Maximum_Entropy,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: entropy over designed state probabilities; measures the lookup, not the project",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure maximumEntropyProblem), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A2.7,Milestone Trend Analysis,Milestone_Trend,Milestone_Trend,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: a simplified shift summary on real milestone history, bands uncalibrated",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure milestoneForecastHistory), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B3.5,Contract Modification Governance Check,Modification_Governance,Modification_Governance,B3.5,a raw modification count; not a frequency without a denominator,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: a raw modification count; not a frequency without a denominator,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 31 repointed this module onto its canonical method (layer v6, governed structure contractModificationRegister), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists. THE SERVER ENTRY IS ALSO STALE and is removed from registry.PROXY_QUALIFIERS: it survived the remediation that withdrew the method it describes.",PASS
A3.5,Overhead Absorption Rate,Overhead_Absorption,Overhead_Absorption,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: a transparent ratio; validity depends on whether the indirect plan is total or period-to-date,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure overheadAllocationBase), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B2.11,Picture Fuzzy Sets,Picture_Fuzzy,Picture_Fuzzy,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: hard-coded memberships consuming raw metrics; no calibration evidenced,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure pictureFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
D1.2,Portfolio Outlier Detection,portfolio (Portfolio_Outlier),Portfolio_Outlier,D1.2,an empirical CPI and SPI percentile rank; small-n behaviour and bands unvalidated,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: an empirical CPI and SPI percentile rank; small-n behaviour and bands unvalidated,NO,CURRENT_REQUIRED,KEEP. The module has no canonical layer and still computes the proxy the qualifier describes; the server holds it and the client key already matches the current method class.,PASS
B2.15,Possibility Theory,Possibility_Theory,Possibility_Theory,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: fixed mappings from raw metrics; no governed possibility distribution,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure possibilityAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B2.10,Pythagorean Fuzzy Sets,Pythagorean_Fuzzy,Pythagorean_Fuzzy,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: hard-coded transformations of raw CPI, SPI and document risk",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure pythagoreanFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A2.6,S-Curve Deviation,SCurve_Deviation,SCurve_Deviation,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: a single planned versus actual snapshot, not a longitudinal S-curve analysis",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure timePhasedBaseline), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A2.4,Schedule Compression Index,Schedule_Compression,Schedule_Compression,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: a custom compression ratio; no network-based crashing model or calibrated bands,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 28 repointed this module onto its canonical method (layer v3, governed structure scheduleNetwork), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A5.2,Sensitivity Analysis,Sensitivity_Analysis,Sensitivity_Analysis,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence","Proxy: local CPI perturbation plus deviations, not calibrated multivariate sensitivity",YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure sensitivityModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B2.16,Spherical Fuzzy Sets,Spherical_Fuzzy,Spherical_Fuzzy,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: algebraically bounded but fixed memberships on raw unqualified inputs,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure sphericalFuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A4.8,Subcontractor Performance,Subcontractor_Performance,Subcontractor_Performance,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: a precomputed compliance score; provenance and construction unvalidated,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure subcontractorAssessments), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A5.3,Tornado Risk Ranking,Tornado_Diagram,Tornado_Diagram,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: a ranking of four present-state deviations; no outcome-response ranges estimated,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure sensitivityModel), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B2.13,Type-2 Fuzzy Sets,Type2_Fuzzy,Type2_Fuzzy,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: membership intervals that are designed constants,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 30 repointed this module onto its canonical method (layer v5, governed structure type2FuzzyAssessment), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
A4.5,Weather Day Impact,Weather_Impact,Weather_Impact,,no current server qualifier,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: a lost-days over available-float proxy with fallback behaviour and ungoverned bands,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 29 repointed this module onto its canonical method (layer v4, governed structure weatherImpactEvents), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists.",PASS
B4.4,What-If Scenario Matrix,WhatIf_Scenario_Matrix,WhatIf_Scenario_Matrix,B4.4,four deterministic EAC variants; not an action-by-scenario matrix or optimiser,"assets/js/knowledge.js modDoc() -> RUN1_PROXY_QUALIFIER[m.mc], rendered as 'Status. Proxy: <text>. Advisory, non-voting.' on the per-module method documentation; server registry.PROXY_QUALIFIERS is consumed by tools/build_run11_defensibility_evidence.py, which appends 'Stated proxy: <text>.' to the served defensibility object's qualification sentence",Proxy: four deterministic EAC variants; not an action-by-scenario matrix or optimiser,YES - the Run-1 qualifier and the run that withdrew it are preserved in the run reports and in this artifact,WITHDRAWN,"REMOVE from the client map. Run 32 repointed this module onto its canonical method (layer v7, governed structure actionScenarioMatrix), which is the condition under which Runs 29 and 30 withdrew proxy qualifiers in terms. The qualifier describes a proxy that no longer exists. THE SERVER ENTRY IS ALSO STALE and is removed from registry.PROXY_QUALIFIERS: it survived the remediation that withdrew the method it describes.",PASS
