package_id,package_name,modules_served_count,modules_served,shared_data_structure,new_document_or_form_required,code_work_later_required,calibration_work_later_required,dependency_order,recommended_run,notes
PKG-HISTORY,Reporting history and time-series package,5,A1.2 CUSUM Anomaly Monitor; A1.3 Bayesian EAC; A1.4 Kalman Filter SPI Smoother; A1.5 ARIMA CPI Forecast; A2.7 Milestone Trend Analysis,"Reporting History Series per project, and Milestone Forecast History with stable milestone ids",none: derived from data the platform already stores period by period,a governed history accessor with a declared minimum series length; noise estimation for the filter; order identification and residual diagnostics for the projection; stable milestone identity across snapshots,control chart k and H against an average-run-length target; prior and likelihood variances estimated rather than designed,1. history accessor and minimum length rule; 2. milestone identity; 3. per-module estimation,Run 28,
PKG-ORPHANFIELDS,Orphan extracted-field wiring package,3,A6.1 Quality Compliance Index; A6.2 Safety Performance Index; A6.3 Environmental Compliance Rate,"no new structure at all: join already-extracted safety, quality and environmental fields to the modules named for them","none. Safety Report, Quality Audit Report and Environmental Report are ALREADY supported document types and their fields are ALREADY extracted","input-contract changes so A6.1, A6.2 and A6.3 read the real evidence instead of meeting-minute proxies",the standard safety rate convention replaces a chosen band; quality and environmental bands still need sourcing,1. input contracts; 2. abstention behaviour when the real field is absent; 3. bands,Run 31,"THE CHEAPEST PACKAGE IN THE PROGRAMME AND THE ONLY ONE THAT NEEDS NO NEW EVIDENCE. environmentalComplianceRate, qualityAuditScore, totalFindings, criticalFindings, oshaIncidentRate and totalManhours are extracted and consumed by no registered module, while the three modules named for them read meeting-minute proxies."
PKG-PORTFOLIO-HISTORY,Portfolio cohort and history package,7,A1.9 Budget Execution Rate; A1.10 Regression to Mean CPI; D1.1 Isolation Forest; D1.2 Portfolio Outlier Detection; D1.3 Signal Trajectory Classifier; D1.4 Cross-project Pattern Detector; D1.5 Anomaly Score,"Portfolio Cohort Definition and Portfolio Reporting History: inclusion criteria, minimum cohort size, per-project per-period readings, vintage",Portfolio Cohort Definition (new project data object); the history is derived,a cohort accessor; variance components for shrinkage; a declared composition for the composite anomaly score that does not double-count its siblings,anomaly score thresholds; percentile small-n behaviour; trend class boundaries,1. cohort definition; 2. pooled history; 3. per-module estimation; 4. D1.5 recomposition,Run 32,
PKG-QUEUE,"Queue, agent and discrete-event package",3,A5.6 Queueing Theory Bottleneck; A5.7 Agent-Based Supply Chain; A5.8 Discrete Event Simulation,"Queue Observation Log, Agent and Resource Definition Set, DES Event Definition Set","Queue Observation Log, Agent / Resource Definition, DES Event Definition (new structured forms)",a queueing model; an agent scheduler; an event list and simulation clock,service and arrival process fitting; replication and warm-up policy,1. observation log; 2. queueing; 3. DES; 4. ABM,Run 29,The heaviest evidence burden in the programme for the smallest number of modules. Whether it is worth it is an explicit owner parsimony question.
PKG-REFCLASS,Reference-class package,3,A3.1 Reference Class Forecasting; A3.7 Analogous Estimating Ratio; A3.8 Parametric Cost Index,"Reference-Class Dataset: completed projects with inclusion criteria, type, baseline, outcome, normalisation variables and vintage","Reference-Class Dataset (historical dataset, sourced outside the project corpus)",a cohort selection engine with declared inclusion and exclusion; normalisation and adaptation; an empirical outcome distribution and its quantiles,the distribution replaces chosen bands; no separate calibration once the class exists,1. dataset acquisition and governance; 2. cohort selection; 3. A3.1; 4. A3.7,Run 28,
PKG-REG,Regulatory evidence package,3,B3.2 FAR Threshold Monitor; B3.3 OMB A-11 Check; B3.4 EVM Reporting Threshold,"Regulatory Applicability Record: authority, instrument, clause, version, effective date, jurisdiction, applicability predicate, the level the instrument itself states, and the evidence object proving the condition",Regulatory Applicability Record (new project data object),an applicability engine; determination records that cite the instrument version they were made under,none: a regulatory level is stated by the instrument or it is not a regulatory level,1. authority register; 2. applicability predicate; 3. per-module determinations,Run 31,Run 20 Cycle 2 already removed one false attribution of a FAR part to an internally chosen number. The package exists so that cannot recur.
PKG-RISKQUANT,Quantified risk register package,1,A3.6 Cost Risk Analysis P80,"Quantified Risk Register: per risk, probability, cost and schedule impact distributions, correlation, realisation status, cost-account mapping",the risk_register document type is ALREADY declared and emits no probability or impact; the work is an extraction and form contract,a sampling engine over the register; percentile reporting; the risk-to-activity mapping shared with the schedule network package,none once sampling is real: a percentile is a percentile,1. register contract; 2. sampling engine; 3. A3.6; 4. joins to A2.10,Run 28,
PKG-SCENARIO,Scenario and input-range package,3,A5.2 Sensitivity Analysis; A5.3 Tornado Risk Ranking; A5.4 Scenario Modeling,Scenario Assumption Set and Input Range Declaration,Scenario Assumption Set (new structured form),a scenario evaluator; a response re-evaluated at each input's low and high; ranking of the resulting swings,"the ranges themselves need a basis, which is the calibration in this package",1. input range declaration; 2. scenario set; 3. sensitivity; 4. tornado,Run 29,
PKG-SCHEDNET,Schedule network package,6,A2.1 PERT Network Criticality; A2.2 Line of Balance; A2.3 CCPM Buffer Health; A2.4 Schedule Compression Index; A2.10 Schedule Risk Analysis P80; A2.11 Critical Path Index,"Schedule Network Data: activities, relationships, calendars, float, status date; with activity duration distributions and a risk-event mapping for the sampling variants",Schedule Network Export (new document type) plus Activity Duration Distribution Set and Crash Cost Table (new structured forms),a network parser and store; a critical path engine; a sampling engine over activity durations with a correlation structure; a repetitive-work production model for line of balance and a buffer model for CCPM,percentile reporting needs no band until an output band is claimed; buffer and compression bands need calibration once real networks exist,"1. network store; 2. critical path engine; 3. duration distributions and sampling; 4. the variants (LoB, CCPM, crashing)",Run 28,
PKG-TIMEPHASED,Time-phased baseline curve package,2,A1.6 Earned Schedule; A2.6 S-Curve Deviation,"Time-Phased Baseline Curve: per-period planned value, cumulative planned value, baseline id and approval date","the time_phased_schedule document type is ALREADY declared in extraction_fields.py and emits nothing these modules read; the work is an extraction contract, not a new document class",a baseline curve store; earned schedule computed against the curve; S-curve deviation computed curve against curve,none until the curve exists; the current bands are on a different quantity,1. extraction contract for time_phased_schedule; 2. curve store; 3. A1.6; 4. A2.6,Run 28,
