state,observation,value
empty-revealed,documents_total,27
empty-revealed,modules_total,96
empty-revealed,categories_total,11
empty-revealed,non_grey_nodes,"[""module:Material Cost Variance:#5b3dd6"", ""module:Parametric Cost Index:#5b3dd6"", ""module:Plithogenic Sets:#5b3dd6"", ""module:Quantum Probability:#5b3dd6"", ""module:Hypersoft Sets:#5b3dd6"", ""module:Multi-Objective Optimiza:#5b3dd6"", ""module:Linear Programming:#5b3dd6"", ""module:Decision Sensitivity Mat:#5b3dd6"", ""module:Pareto Frontier Analysis:#5b3dd6"", ""document:Past Performance Report:#5b3dd6"", ""document:Historical Project Data:#5b3dd6"", ""document:Test & Commissioning Rep:#5b3dd6""]"
empty-revealed,non_grey_node_count,12
empty-revealed,non_grey_edges,"[""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#5b3dd6"", ""(unnamed):->:#b81420""]"
empty-revealed,non_grey_edge_count,10
empty-revealed,legend_swatch_colours,"[""rgb(11, 107, 203)"", ""rgb(111, 82, 0)"", ""rgb(154, 162, 174)"", ""rgb(154, 71, 0)"", ""rgb(160, 188, 216)"", ""rgb(18, 112, 58)"", ""rgb(184, 20, 32)"", ""rgb(30, 42, 60)"", ""rgb(84, 91, 102)"", ""rgb(91, 61, 214)"", ""rgb(95, 102, 114)""]"
empty-revealed,derived_categories_with_status_colour,[]
wiring,rendered_named_edges,0
wiring,rendered_unnamed_paths,323
wiring,missing_edges,"[[""CATEGORY -> CATEGORY"", ""Data Integrity"", ""Decision Optimization""], [""CATEGORY -> CATEGORY"", ""Data Integrity"", ""Evidence Combination""], [""CATEGORY -> CATEGORY"", ""Data Integrity"", ""Regulatory and Authority Thresholds""], [""CATEGORY -> CATEGORY"", ""Data Integrity"", ""Signal Synthesis""], [""CATEGORY -> PROJECT STATUS"", ""Cost Risk"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Cost and EVM Performance"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Decision Optimization"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Delivery Quality Performance"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Document-Derived Condition Signals"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Evidence Combination"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Regulatory and Authority Thresholds"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Schedule Performance"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""Signal Synthesis"", ""Project status""], [""CATEGORY -> PROJECT STATUS"", ""System Dynamics and Complexity"", ""Project status""], [""DOCUMENT -> MODULE"", ""commissioning_report"", ""ABM Governance Layer""], [""DOCUMENT -> MODULE"", ""commissioning_report"", ""Belief Rule Base""], [""DOCUMENT -> MODULE"", ""commissioning_report"", ""CRITIC-TOPSIS""], [""DOCUMENT -> MODULE"", ""commissioning_report"", ""Conservative Dominance""], [""DOCUMENT -> MODULE"", ""commissioning_report"", ""Decision Sensitivity Matrix""], [""DOCUMENT -> MODULE"", ""commissioning_report"", ""Dempster-Shafer""]]"
wiring,missing_edge_count,477
wiring,fabricated_edges,[]
wiring,fabricated_edge_count,0
wiring,wrong_direction_edges,[]
wiring,wrong_direction_edge_count,0
computed,svg_shown,True
computed,headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
computed,summary,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 24 uploaded documents across 6 types, 41 modules with a current result, 46 with no current result, 0 not applicable to this project and 9 disabled, and 10 estimable categories."
computed,project_status_node,Project Status Amber
computed,animated_edges,100
computed,glows,58
computed,drawn_shapes,144
computed,drawn_paths,323
computed,header_module_count_phrase,96 REGISTERED PROJECT MODULES
computed,rendered_node_fills,"[""#12703a"", ""#1e2a3c"", ""#5b3dd6"", ""#6f5200"", ""#9a4700"", ""#9aa2ae"", ""#a0bcd8"", ""#b81420""]"
computed,rendered_edge_count,0
computed,missing_edge_count,477
computed,fabricated_edge_count,0
browser,page_errors,[]
