project,period,recommendation_id,content_digest,source,displayed_digest,note
PRJ-HSP,P03,pkg-<assignment PRJ-HSP>,<digest-PRJ-HSP>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HSP>,identical across all 6 periods of PRJ-HSP
PRJ-HSP,P04,pkg-<assignment PRJ-HSP>,<digest-PRJ-HSP>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HSP>,identical across all 6 periods of PRJ-HSP
PRJ-HSP,P05,pkg-<assignment PRJ-HSP>,<digest-PRJ-HSP>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HSP>,identical across all 6 periods of PRJ-HSP
PRJ-HSP,P06,pkg-<assignment PRJ-HSP>,<digest-PRJ-HSP>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HSP>,identical across all 6 periods of PRJ-HSP
PRJ-HWY,P01,pkg-<assignment PRJ-HWY>,<digest-PRJ-HWY>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HWY>,identical across all 6 periods of PRJ-HWY
PRJ-HWY,P02,pkg-<assignment PRJ-HWY>,<digest-PRJ-HWY>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HWY>,identical across all 6 periods of PRJ-HWY
PRJ-HWY,P03,pkg-<assignment PRJ-HWY>,<digest-PRJ-HWY>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HWY>,identical across all 6 periods of PRJ-HWY
PRJ-HWY,P04,pkg-<assignment PRJ-HWY>,<digest-PRJ-HWY>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HWY>,identical across all 6 periods of PRJ-HWY
PRJ-HWY,P05,pkg-<assignment PRJ-HWY>,<digest-PRJ-HWY>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HWY>,identical across all 6 periods of PRJ-HWY
PRJ-HWY,P06,pkg-<assignment PRJ-HWY>,<digest-PRJ-HWY>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-HWY>,identical across all 6 periods of PRJ-HWY
PRJ-RAL,P01,pkg-<assignment PRJ-RAL>,<digest-PRJ-RAL>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-RAL>,identical across all 6 periods of PRJ-RAL
PRJ-RAL,P02,pkg-<assignment PRJ-RAL>,<digest-PRJ-RAL>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-RAL>,identical across all 6 periods of PRJ-RAL
PRJ-RAL,P03,pkg-<assignment PRJ-RAL>,<digest-PRJ-RAL>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-RAL>,identical across all 6 periods of PRJ-RAL
PRJ-RAL,P04,pkg-<assignment PRJ-RAL>,<digest-PRJ-RAL>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-RAL>,identical across all 6 periods of PRJ-RAL
PRJ-RAL,P05,pkg-<assignment PRJ-RAL>,<digest-PRJ-RAL>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-RAL>,identical across all 6 periods of PRJ-RAL
PRJ-RAL,P06,pkg-<assignment PRJ-RAL>,<digest-PRJ-RAL>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-RAL>,identical across all 6 periods of PRJ-RAL
PRJ-WTR,P01,pkg-<assignment PRJ-WTR>,<digest-PRJ-WTR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-WTR>,identical across all 6 periods of PRJ-WTR
PRJ-WTR,P02,pkg-<assignment PRJ-WTR>,<digest-PRJ-WTR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-WTR>,identical across all 6 periods of PRJ-WTR
PRJ-WTR,P03,pkg-<assignment PRJ-WTR>,<digest-PRJ-WTR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-WTR>,identical across all 6 periods of PRJ-WTR
PRJ-WTR,P04,pkg-<assignment PRJ-WTR>,<digest-PRJ-WTR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-WTR>,identical across all 6 periods of PRJ-WTR
PRJ-WTR,P05,pkg-<assignment PRJ-WTR>,<digest-PRJ-WTR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-WTR>,identical across all 6 periods of PRJ-WTR
PRJ-WTR,P06,pkg-<assignment PRJ-WTR>,<digest-PRJ-WTR>,assignment.package_id (research_decision.a_researchreveal),<digest-PRJ-WTR>,identical across all 6 periods of PRJ-WTR
