row_type,module,parameter,unique_parameter_identity,current_value,parameter_class,parameter_source,calibration_dataset,holdout_dataset,operationally_authorized,field_validated,classification_valid,duplicate,result
PARAMETER,D1.3,numerical_zero_tolerance,D1.3::numerical_zero_tolerance,1e-12,THEORETICAL_CONSTANT,Floating-point zero handling for the sign of an exactly-zero slope.,none,none,yes,no,yes,no,PASS
PARAMETER,D1.3,slope_magnitude_bands,D1.3::slope_magnitude_bands,none,UNSUPPORTED,No slope magnitude band is calibrated or authorised.,none,none,no,no,yes,no,PASS
PARAMETER,D1.4,match_radius,D1.4::match_radius,none,UNSUPPORTED,The v20 fixed radius of 0.15 was never validated and was retired in Run 33. No replacement was invented in Run 34.,none,none,no,no,yes,no,PASS
PARAMETER,D1.4,tie_rule,D1.4::tie_rule,ALL_TIED_NEIGHBOURS_IN_ASCENDING_PROJECT_ID_ORDER,OWNER_POLICY,"A declared deterministic tie rule, so that ordering cannot depend on input order.",none,none,yes,no,yes,no,PASS
PARAMETER,D1.4,standardisation,D1.4::standardisation,COHORT_Z_SCORE_POPULATION_SD,OWNER_POLICY,"The declared cohort preprocessing, applied identically to every member.",none,none,yes,no,yes,no,PASS
PARAMETER,D1.5,constituent_weights,D1.5::constituent_weights,none,UNSUPPORTED,"No governed constituent weights exist. They may not be invented, may not be defaulted to equal, and may not be derived from the same synthetic fixture the composite would be evaluated on.",none,none,no,no,yes,no,PASS
PARAMETER,D1.5,missingness_policy,D1.5::missingness_policy,none,UNSUPPORTED,No governed missingness policy exists for an absent constituent.,none,none,no,no,yes,no,PASS
ACCEPTANCE_COUNTER,-,UNCLASSIFIED PARAMETERS,-::UNCLASSIFIED PARAMETERS,0,-,-,-,-,-,-,yes,no,PASS
ACCEPTANCE_COUNTER,-,UNSUPPORTED PARAMETERS APPLIED,-::UNSUPPORTED PARAMETERS APPLIED,0,-,-,-,-,-,-,yes,no,PASS
RECONCILIATION,-,total rows in the provenance artifact,-,21,-,the figure the Run-34 report mistook for a parameter count,-,-,-,-,-,-,PASS
RECONCILIATION,-,PARAMETER rows,-,19,-,the true number of governed Portfolio Health parameters,-,-,-,-,-,-,PASS
RECONCILIATION,-,ACCEPTANCE_COUNTER rows,-,2,-,"UNCLASSIFIED PARAMETERS and UNSUPPORTED PARAMETERS APPLIED. These are acceptance counters, not parameters: they carry module '-', class '-' and a count as their value. They were always counters; nothing distinguished them until the row_type column.",-,-,-,-,-,-,PASS
RECONCILIATION,-,unique parameter identities,-,19,-,"module::parameter, over PARAMETER rows only",-,-,-,-,-,-,PASS
RECONCILIATION,-,blank classifications,-,0,-,,-,-,-,-,-,-,PASS
RECONCILIATION,-,duplicate parameter rows,-,0,-,none,-,-,-,-,-,-,PASS
RECONCILIATION,-,illegal classification values,-,0,-,,-,-,-,-,-,-,PASS
RECONCILIATION,-,classification counts sum,-,19,-,"sums to the PARAMETER row count, not to the artifact row count",-,-,-,-,-,-,PASS
RECONCILIATION,-,registry agreement,-,19,-,the live canonical_v8 parameter registry holds the same number of parameters as the artifact records,-,-,-,-,-,-,PASS
RECONCILIATION,-,SECTION_1_TARGET_DISCREPANCY,-,21 required vs 19 actual,-,"The Run-34 final-closure contract requires rows = 21 AND unique parameter identities = 21. The artifact does hold 21 ROWS, but only 19 of them are parameters, so there are 19 unique parameter identities and not 21. The target of 21 parameter identities was written from the SAME MISCOUNT the Run-34 report contained -- both read the artifact's row count as a parameter count. IT IS NOT SATISFIED AND IS NOT PADDED: reaching 21 would require inventing two parameters, which the contract separately forbids. The spirit of section 1 is satisfied in full -- every governed parameter classified, no blanks, no duplicates, no illegal classes, counts summing to the real parameter total.",-,-,-,-,-,-,REPORTED_DISCREPANCY
CLASS_COUNT,-,PUBLISHED_DEFAULT,-,2,PUBLISHED_DEFAULT,"derived from the artifact, not from the report; all seven classes are reported including zeros",-,-,-,-,-,-,PASS
CLASS_COUNT,-,THEORETICAL_CONSTANT,-,4,THEORETICAL_CONSTANT,"derived from the artifact, not from the report; all seven classes are reported including zeros",-,-,-,-,-,-,PASS
CLASS_COUNT,-,SYNTHETIC_LAB_CALIBRATION,-,1,SYNTHETIC_LAB_CALIBRATION,"derived from the artifact, not from the report; all seven classes are reported including zeros",-,-,-,-,-,-,PASS
CLASS_COUNT,-,OWNER_POLICY,-,5,OWNER_POLICY,"derived from the artifact, not from the report; all seven classes are reported including zeros",-,-,-,-,-,-,PASS
CLASS_COUNT,-,EMPIRICAL_CALIBRATION,-,0,EMPIRICAL_CALIBRATION,"derived from the artifact, not from the report; all seven classes are reported including zeros",-,-,-,-,-,-,PASS
CLASS_COUNT,-,HEURISTIC,-,0,HEURISTIC,"derived from the artifact, not from the report; all seven classes are reported including zeros",-,-,-,-,-,-,PASS
CLASS_COUNT,-,UNSUPPORTED,-,7,UNSUPPORTED,"derived from the artifact, not from the report; all seven classes are reported including zeros",-,-,-,-,-,-,PASS
MODULE_RECONCILIATION,D1.1,expected vs represented,-,"expected 9, represented 9",-,"missing none; extra none; distribution PUBLISHED_DEFAULT=2, THEORETICAL_CONSTANT=3, SYNTHETIC_LAB_CALIBRATION=1, OWNER_POLICY=2, UNSUPPORTED=1",-,-,-,-,-,-,PASS
MODULE_RECONCILIATION,D1.2,expected vs represented,-,"expected 2, represented 2",-,missing none; extra none; distribution UNSUPPORTED=2,-,-,-,-,-,-,PASS
MODULE_RECONCILIATION,D1.3,expected vs represented,-,"expected 3, represented 3",-,"missing none; extra none; distribution THEORETICAL_CONSTANT=1, OWNER_POLICY=1, UNSUPPORTED=1",-,-,-,-,-,-,PASS
MODULE_RECONCILIATION,D1.4,expected vs represented,-,"expected 3, represented 3",-,"missing none; extra none; distribution OWNER_POLICY=2, UNSUPPORTED=1",-,-,-,-,-,-,PASS
MODULE_RECONCILIATION,D1.5,expected vs represented,-,"expected 2, represented 2",-,missing none; extra none; distribution UNSUPPORTED=2,-,-,-,-,-,-,PASS
ADJUDICATED_NON_PARAMETER,D1.3,epoch origin 1970 in _as_days,-,1970,-,"A date-arithmetic origin, not a parameter: an OLS slope is invariant to a shift of the time origin, verified by computing the same series against two different origins and obtaining the identical exact slope -1/10.",-,-,-,-,-,-,PASS
ADJUDICATED_NON_PARAMETER,D1.1,degenerate-normaliser fallback 0.5 in IsolationForest.anomaly_score,-,0.5,-,"A library guard for c(psi) <= 0, UNREACHABLE from the PH.1 route: the cohort gate refuses below three eligible projects, so psi >= 3 and c(3) = 1.2074 > 0. Verified by evaluating c(min(256, n)) for every n from 3 upward. It governs no PH reading and is not added to the registry, which would be padding.",-,-,-,-,-,-,PASS
