module,parameter,current_classification,currently_applied,output_affected,empirical_validation_interpretable,operational_consequence,disposition
A4.5,a lost days over available float ladder,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.6,a joint ladder over a raw count and a contract growth percentage,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.7,"three weights on a capped request count, a capped change order count and the document risk score, plus two caps and a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.8,"a weight on a precomputed score, with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.9,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A4.10,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.3,the scale applied to the document risk score before the deviations are ranked,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.5,"three weights on the same two capped counts and the cost index shortfall, plus two caps and a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A5.8,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A6.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A6.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A6.3,a three level ladder over a share of reported permit conditions met,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
A6.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B1.2,four weights on the assembled signal bands,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B1.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B1.4,the FRACTION of the total signal count that sets the trigger of a worst N of M rule,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.1,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.2,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.3,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.4,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.5,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.6,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.7,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.8,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.9,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.10,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.11,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.12,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.13,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.14,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.15,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.16,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.17,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.18,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.19,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B2.20,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B3.2,internal review levels and a band ladder,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B3.3,internal review levels and a band ladder,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B3.4,internal review levels and a band ladder,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B3.5,a joint ladder over a raw modification count and a growth percentage,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B4.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B4.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B4.3,internal review levels and a band ladder,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B4.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B4.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
B4.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
C1.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
C1.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
C1.3,reliability weights applied to sources,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
C1.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
C1.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
C1.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
C1.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO,NO,NOT_REACHED - the value is carried but the governed corpus never reaches it,none on the governed corpus; the module abstains or emits no status,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
D1.1,operational_anomaly_threshold,UNSUPPORTED,NO,NO,NOT_REACHED - canonical_v8 refuses to apply an UNSUPPORTED parameter,UNSUPPORTED AND THEREFORE NOT APPLIED: PH.1 emits a continuous score and no operational flag. Calibration and validation are Run-34/35 remainder.,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
D1.2,feature_weights,UNSUPPORTED,NO,NO,NOT_REACHED - canonical_v8 refuses to apply an UNSUPPORTED parameter,NOT APPLIED: without governed weights the module returns the per-feature percentile profile and the composite is NONE.,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
D1.2,percentile_bands,UNSUPPORTED,NO,NO,NOT_REACHED - canonical_v8 refuses to apply an UNSUPPORTED parameter,NOT APPLIED: no status colour and no band is emitted.,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
D1.3,slope_magnitude_bands,UNSUPPORTED,NO,NO,NOT_REACHED - canonical_v8 refuses to apply an UNSUPPORTED parameter,"NOT APPLIED: direction only, from the sign of the adverse slope.",NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
D1.4,match_radius,UNSUPPORTED,NO,NO,NOT_REACHED - canonical_v8 refuses to apply an UNSUPPORTED parameter,NOT APPLIED: PH.4 reports the continuous nearest-neighbour relationship only.,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
D1.5,constituent_weights,UNSUPPORTED,NO,NO,NOT_REACHED - canonical_v8 refuses to apply an UNSUPPORTED parameter,NOT APPLIED: composite score is NONE under PARAMETER_PROVENANCE_BLOCKED.,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
D1.5,missingness_policy,UNSUPPORTED,NO,NO,NOT_REACHED - canonical_v8 refuses to apply an UNSUPPORTED parameter,NOT APPLIED: the composite abstains rather than reweighting the remainder.,NO OPPORTUNISTIC TUNING IN RUN 35; classification carried to Run 36
