row_type,module_id,canonical_name,canonical,implementation,input_contract,parameter_provenance,calibration,empirical_validation,lineage,routing,operational_disposition,voting,participant_exposure,blocking_defect,final_qualification
SCIENTIFIC_TARGET,A2.6,S-Curve Deviation,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.7,Milestone Trend Analysis,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.8,Look-Ahead Schedule Health,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.9,Resource Loading Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A3.1,Reference Class Forecasting,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A3.2,Contingency Burn Rate,YES,YES - scalar,n/a,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A3.3,Labor Productivity Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A3.5,Overhead Absorption Rate,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A3.6,Cost Risk Analysis P80,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_DEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A3.7,Analogous Estimating Ratio,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A3.8,Parametric Cost Index,NO - governed as concept only,LABORATORY ENGINE ONLY - not dispatched to production,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_NOT_APPLICABLE,DISABLED,DISABLED_INSUFFICIENT_INPUT,NO,NO,NO,DISABLED
SCIENTIFIC_TARGET,A3.9,Inflation Adjustment Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.1,Document Risk Score,YES,"n/a - supplied value, not an analytical module",YES when supplied - the runner refuses without it,none - carries no tunable value,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,SUPPLIED,RESEARCH_ONLY,NO,YES,NO,RESEARCH_ONLY
SCIENTIFIC_TARGET,A4.10,Specification Conflict Density,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.2,RFI Velocity,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.3,Submittal Rejection Rate,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.4,NCR Rate,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.5,Weather Day Impact,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.6,Change Order Frequency,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.7,Dispute Escalation Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.8,Subcontractor Performance,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A4.9,Procurement Lead Time Monitor,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.1,DSM Rework Propagation,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.2,Sensitivity Analysis,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.3,Tornado Risk Ranking,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.4,Scenario Modeling,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.5,Rework Feedback Loop,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.6,Queueing Theory Bottleneck,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.7,Agent-Based Supply Chain,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A5.8,Discrete Event Simulation,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A6.1,Quality Compliance Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_REACHED,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A6.2,Safety Performance Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,PARTIAL_REFERENCE_STANDARD,LINEAGE_UNRESOLVED,CANONICAL_REACHED,KEEP_ADVISORY,NO,YES,NO,QUALIFIED_FOR_BOUNDED_STUDY_USE
SCIENTIFIC_TARGET,A6.3,Environmental Compliance Rate,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_REACHED,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A6.4,Contractor Performance Assessment Signal,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B1.1,Conservative Dominance,YES,YES - scalar,n/a,none - carries no tunable value,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B1.2,Weighted Voting,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B1.3,Majority Rules,YES,YES - scalar,n/a,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B1.4,Worst-N-of-M,YES,YES - scalar,n/a,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.1,Dempster-Shafer,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.10,Pythagorean Fuzzy Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.11,Picture Fuzzy Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.12,Hesitant Fuzzy Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.13,Type-2 Fuzzy Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.14,Maximum Entropy,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.15,Possibility Theory,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.16,Spherical Fuzzy Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.17,Fermatean Fuzzy Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.18,MARCOS Ranking,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.19,CRITIC-TOPSIS,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.2,Rough Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.20,Hypersoft Sets,NO - governed as concept only,LABORATORY ENGINE ONLY - not dispatched to production,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_NOT_APPLICABLE,DISABLED,DISABLED_INSUFFICIENT_PROVENANCE,NO,NO,NO,DISABLED
SCIENTIFIC_TARGET,B2.3,Neutrosophic Logic,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.4,Interval Fuzzy Sets,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.5,Z-numbers,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.6,PLTS,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.7,Plithogenic Sets,NO - governed as concept only,LABORATORY ENGINE ONLY - not dispatched to production,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_NOT_APPLICABLE,DISABLED,DISABLED_INSUFFICIENT_PROVENANCE,NO,NO,NO,DISABLED
SCIENTIFIC_TARGET,B2.8,Belief Rule Base,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,B2.9,Quantum Probability,NO - governed as concept only,LABORATORY ENGINE ONLY - not dispatched to production,n/a,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_NOT_APPLICABLE,ARCHIVED,ARCHIVED,NO,NO,NO,ARCHIVED
SCIENTIFIC_TARGET,B3.1,Agent-Based Governance Model,YES,YES,YES when supplied - the runner refuses without it,none - carries no tunable value,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
