run,cycle,instrument,defect_class,what_the_instrument_did,how_it_was_caught,resolution,status
20,7,server/tools/run20_cycle7_mutation_battery.py::arm separation,GUARD_WORKED,Requires the four evidence-combination arms to be separated by declared lineage and every arm placed in exactly one body.,The cycle-7 battery separated the arms and the pinned numbers moved exactly where the declaration says they should.,No expectation relaxed; the arm lineage records were pinned by name.,CLOSED
20,9,server/tools/test_run19_category_9.py::manifest module-level check,LOOKS_IN_THE_WRONG_PLACE,"Looked for a note in a per-category file that two of the categories do not have, so for those two the check could never find anything to disagree with.",Found in cycle 9 while extending the manifest to the fusion and portfolio findings.,Check re-aimed at the module-level record every category carries. No expectation relaxed.,CLOSED
20,10,server/tools/test_run20_cycle10_truthful_labels.py::registered-name check,GUARD_WORKED,"Checks every truthful label's registered name against p0-baseline/module_renumbering_map.csv, so a registry rename cannot leave a stale claim standing.",It caught the untracked new production file the two pinned-baseline guards could not see.,Recorded; the pinned-baseline limitation was written down rather than papered over.,CLOSED
20,11,server/tools/test_run20_cycle11_parameter_provenance.py::definitional subtraction,VACUOUS_SUBTRACTION,"Subtracted a list of definitional values from the enumeration, silently swallowing real boundaries including the line of balance separation and the change order ladder.",Found inside cycle 11 when boundaries known to exist did not appear in the sweep.,Nothing is subtracted now. Coverage is required for every module carrying any numeric value at all.,CLOSED
20,11,server/tools/test_run20_cycle11_parameter_provenance.py::constant collector,INCOMPLETE_COLLECTOR_CLAIMING_COMPLETENESS,"Took only names bound directly to a constant, so both sourced voting boundaries were reported ABSENT while the sweep called itself complete.","The two boundaries with published citations came back as unsourced, which was known to be false.",Expressions are resolved rather than skipped. The sweep no longer claims completeness it does not have.,CLOSED
20,12,server/tools/test_run20_cycle12_lineage_and_guards.py::seven guard checks,VACUOUS_COMPARISON,"Seven of eleven guard checks were vacuous on first writing: four iterated the very mapping the violation had emptied, two compared a value against the expression that produced it, and one mutated a fresh copy of a mapping production rebuilds on every call so the violation never landed.","The deliberate-violation pass reported them green under violation, which is the definition of vacuous, and the suite failed on its own guards.","Every expectation moved into pinned literals held independently of the object under test, and the registry violations re-aimed at load_registry, which the index is built from. All eleven then failed by name under violation.",CLOSED
20,12,server/tools/test_run20_cycle12_reaudit.py::disposition resolver,INSTRUMENT_MISSCORED_CORRECT_PRODUCTION,Five separate defects: a source map supplied as a list so four modules raised; a precedence that let a routing fact erase a scientific determination; a rule that scored two completeness measures defective for being defined on an empty project; per-module calls that starved every aggregator of its inputs; and a portfolio key map carrying a key production does not emit.,"Each surfaced as a disposition that did not match the evidence, and each was traced to the instrument rather than to production.","Fixture corrected to the production contract, precedence reordered, the completeness exemption derived rather than listed, the complete analytical run used, and the portfolio key map asserted against what production emits.",CLOSED
21,instrument qualification,server/tools/test_run21_governance_instrument_parity.py::section 1 literal scan,OVER-BROAD_LITERAL_SCAN,"Scanned the WHOLE of simulations.js for the withdrawn regulatory sentences, including its comments. The corrections' own commentary quotes each withdrawn sentence verbatim, so the guard flagged the CORRECTED file.","The guard went red on the shipped, corrected file on its first run. It was right to: a raw substring scan cannot tell a quoted-and-withdrawn claim from a published one.","A string-aware JavaScript comment stripper was added and the scan now reads the EXECUTED code, which is what a researcher actually receives. This makes the guard sharper rather than weaker, and all six mutations are still proved RED because each restores a claim into executable code. NO EXPECTED RESULT WAS CHANGED TO MAKE ANYTHING GO GREEN.",CORRECTED
21,instrument qualification,server/tools/drive_run21_instrument.py::READ_RAIL_STRICT,OVER-BROAD_SUSPECT_READER,Reported ANY small element carrying an arrow glyph as an obsolete collapse control. It flagged three decorative separator spans in the Signal Flow colour legend on a page that has no collapse control at all.,"Probed the flagged elements' ancestry and properties in a real browser: tabIndex -1, no role, no click handler, not a button or anchor, inside .detail-neural-flow and not the rail.","The reader now decides on CONTROL-NESS, read from the accessible control tree, plus overlap with the rail's own hitbox, which is the property the owner asked about. Opacity, size and pointer-events are deliberately NOT used to excuse an element, so a transparent control with a live hitbox is still reported. Decorative glyphs are recorded separately so 'no suspects' cannot be misread as 'no arrow exists anywhere'.",CORRECTED
21,instrument qualification,server/tools/drive_run21_instrument.py::real_reload,WAIT_CONDITION_FAULT_REPORTED_AS_DEFECT,"Polled 90 seconds for the reloaded document and, when Playwright's reload() also timed out, reported that the browser reload had not happened.","An isolated probe measured the reload completing at about 195 seconds with the sentinel gone and the application ready, document.readyState 'interactive'.","The deadline was set from the measurement with margin, and the reload PRIMITIVE and the APPLICATION reload are now recorded as separate facts so neither can hide the other. The owner's rule is honoured in both directions: a hanging subresource is not accepted as proof the reload is broken, and it is not allowed to excuse a real defect either, because the post-reload DOM is read and asserted against the server.",CORRECTED
21,instrument qualification,server/tools/drive_run21_instrument.py::STATE E,INVENTED_REQUIREMENT,"Asserted that the module count after a reset plus one new document must be LOWER than before the reset, on the ASSUMPTION that the reset withdraws evidence.",The assumption was checked against the product's own stated contract instead of being trusted. The reset control says: 'Clears this project's stored signal values so its documents can be read again. Does not delete documents.' Measured at the server: all twenty-four upload events survive the reset and regenerating signals correctly returns to forty-one modules.,"The invented requirement was REMOVED, not weakened into something that passes. The requirement that actually survives -- that the participant must not be told the retained documents are gone -- replaced it, and that is where the real defect was found.",CORRECTED
21,instrument qualification,server/tools/drive_run21_participant.py::period loop,DRIVER_STAYED_ON_THE_OLD_PROJECT,"After the governed transition the driver went on driving the FIRST evidence project. Opening the completed period's decision panel made researchreveal resolve to that finished period, which correctly returned the already-revealed package, and the driver reported it as an AI leak before the next period's lock.",An isolated route-only probe put the participant genuinely at P2/evidence with no new preliminary lock: researchreveal was REFUSED with 'preliminary judgment must be submitted and locked before the decision support package can be revealed'.,The driver now follows the participant to the evidence project the SERVER names in its own sequence state after each transition. The product behaviour was correct throughout.,CORRECTED
21,instrument qualification,server/tools/drive_run21_participant.py::previous-period attack,ATTACK_THAT_DID_NOT_ATTACK_WHAT_IT_NAMED,"Called researchprejudgment with no period after advancing, labelling it 'edit the PREVIOUS period'. That route resolves to the participant's CURRENT period, so it did not touch the previous period at all: it legitimately submitted and locked the NEW period's preliminary. The driver then found the sequence already at awaiting_reveal, the preliminary card correctly removed and reveal correctly permitted, and reported all three as defects of its own making.","The period-transition CSV recorded 'state before' for period 2 as awaiting_reveal rather than evidence, which no correct product behaviour could produce at the start of a period.","Replaced with a property that cannot resolve elsewhere: the completed period's STORED ROW is snapshotted before the advance and re-read after the later period has been worked, and must be byte-identical. A companion check proves later periods really do create their own rows, so the comparison is not over a single unchanging row.",CORRECTED
21,instrument qualification,assets/js/neural_flow.js::document count wording,CORRECT_NUMBER_UNDER_A_FALSE_LABEL,"PRODUCT DEFECT, not an instrument one, and the only one of this batch that is. After the supported reset the header read '0 UPLOADED ON THIS PROJECT' and the summary read 'This project has no uploaded documents', while the server still held every document and the next recompute read them all.","Measured in a real browser on a RELOADED document, so it was not a cache artefact: twenty-five events served, zero uploads reported, then forty-one modules computed from the retained documents.","The words now say what the number counts and the retained documents are disclosed. The since-reset COUNT is untouched, no document is re-admitted to the current window, and the pre-reset wording and the empty-project sentence are kept byte-identical for a project that has not been reset. Pinned by server/tools/test_run21_reset_disclosure.py with six mutations proved RED.",FIXED
