module_id,canonical_name,category,canonical_method_exists,method_implemented,route_reaches_canonical,legacy_route_reachable,governed_structure_declared,governed_structure_accepted_by_intake,governed_structure_supplied_on_corpus,required_inputs_actually_consumed,unsupported_synthetic_fallback_reachable,parameter_provenance_classes,unsupported_parameter_determines_output,qualification_gate_applied,lineage,output_type,real_corpus_result,correct_abstention,voting,empirical_validation_class,operational_disposition,scientific_qualification,blocking_defect,freeze_status,evidence
A3.3,Labor Productivity Index,Cost Risk,YES,YES,CANONICAL_ABSTENTION,NO,productionOutputRecord,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_labor_productivity; corpus state=ABSTAINS; structure=productionOutputRecord; params=UNSUPPORTED
A3.5,Overhead Absorption Rate,Cost Risk,YES,YES,CANONICAL_ABSTENTION,NO,overheadAllocationBase,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_INDEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_overhead_absorption; corpus state=ABSTAINS; structure=overheadAllocationBase; params=UNSUPPORTED
A3.6,Cost Risk Analysis P80,Cost Risk,YES,YES,CANONICAL_ABSTENTION,NO,costRiskModel,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_DEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_cost_risk; corpus state=ABSTAINS; structure=costRiskModel; params=UNSUPPORTED
A3.7,Analogous Estimating Ratio,Cost Risk,YES,YES,CANONICAL_ABSTENTION,NO,analogEstimate,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_analogous_estimating; corpus state=ABSTAINS; structure=analogEstimate; params=UNSUPPORTED
A3.8,Parametric Cost Index,Cost Risk,NO - governed as concept only,LABORATORY ENGINE ONLY - not dispatched to production,DISABLED,NO,parametricCostModel,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_NOT_APPLICABLE,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,DISABLED_INSUFFICIENT_INPUT,DISABLED,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_parametric_cost; corpus state=ABSTAINS; structure=parametricCostModel; params=UNSUPPORTED
A3.9,Inflation Adjustment Index,Cost Risk,YES,YES,CANONICAL_ABSTENTION,NO,externalCostIndex,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_INDEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_ext.run_inflation_adjustment; corpus state=ABSTAINS; structure=externalCostIndex; params=UNSUPPORTED
A4.1,Document Risk Score,Document-Derived Condition Signals,YES,"n/a - supplied value, not an analytical module",SUPPLIED,NO,documentRiskEvidence,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,none - carries no tunable value,NO,n/a - no analytical route to gate,LINEAGE_UNRESOLVED,supplied not computed,SUPPLIED_NOT_COMPUTED,n/a,NO,STRUCTURE_OR_DATA_ABSENT,RESEARCH_ONLY,RESEARCH_ONLY,NO,NO_BLOCKING_DEFECT,runner=none: not dispatched by the project runner; corpus state=SUPPLIED_NOT_COMPUTED; structure=documentRiskEvidence; params=none - carries no tunable value
A4.10,Specification Conflict Density,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,specificationConflictRegister,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_spec_conflict_density; corpus state=ABSTAINS; structure=specificationConflictRegister; params=UNSUPPORTED
A4.2,RFI Velocity,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,rfiEventLog,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_rfi_velocity; corpus state=ABSTAINS; structure=rfiEventLog; params=UNSUPPORTED
A4.3,Submittal Rejection Rate,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,submittalDecisionRegister,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_submittal_rejection; corpus state=ABSTAINS; structure=submittalDecisionRegister; params=UNSUPPORTED
A4.4,NCR Rate,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,auditedNonconformanceCohort,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_ncr_rate; corpus state=ABSTAINS; structure=auditedNonconformanceCohort; params=UNSUPPORTED
A4.5,Weather Day Impact,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,weatherImpactEvents,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_weather_impact; corpus state=ABSTAINS; structure=weatherImpactEvents; params=UNSUPPORTED
A4.6,Change Order Frequency,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,changeEventRegister,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_INDEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_co_frequency; corpus state=ABSTAINS; structure=changeEventRegister; params=UNSUPPORTED
A4.7,Dispute Escalation Index,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,claimDisputeRegister,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_dispute_escalation; corpus state=ABSTAINS; structure=claimDisputeRegister; params=UNSUPPORTED
A4.8,Subcontractor Performance,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,subcontractorAssessments,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_subcontractor_performance; corpus state=ABSTAINS; structure=subcontractorAssessments; params=UNSUPPORTED
A4.9,Procurement Lead Time Monitor,Document-Derived Condition Signals,YES,YES,CANONICAL_ABSTENTION,NO,procurementItems,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_procurement_lead_time; corpus state=ABSTAINS; structure=procurementItems; params=UNSUPPORTED
A5.1,DSM Rework Propagation,System Dynamics & Complexity,YES,YES,CANONICAL_ABSTENTION,NO,dsmDependencyModel,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_UNRESOLVED,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models.run_dsm; corpus state=ABSTAINS; structure=dsmDependencyModel; params=UNSUPPORTED
A5.2,Sensitivity Analysis,System Dynamics & Complexity,YES,YES,CANONICAL_ABSTENTION,NO,sensitivityModel,YES,NO - the controlled corpus carries no governed structure,YES when supplied - the runner refuses without it,NO,UNSUPPORTED,NO,APPLIED - the Category-9 evidence gate is enforced before the method is reached,LINEAGE_ESTABLISHED_INDEPENDENT,abstention,ABSTAINS,YES - refuses and states why,NO,STRUCTURE_OR_DATA_ABSENT,KEEP_ABSTENTION_CAPABLE,QUALIFIED_WITH_ABSTENTION,NO,NO_BLOCKING_DEFECT,runner=app.simulation.models_doc.run_sensitivity_analysis; corpus state=ABSTAINS; structure=sensitivityModel; params=UNSUPPORTED
