page/route,module,rendered/current name,rendered execution statement,expected name,expected execution statement,canonical-structure statement,current operational state,PASS/FAIL,note
index.html -> participant taxonomy (loaded in browser),A4.1,Document Risk Score,method_class=Doc_Risk_Cat4,Document Risk Score,method_class=None,"declared in the canonical-structure layer but enforced by no current route, because the pl",SUPPLIED_VALUE,PASS,
index.html -> participant taxonomy (loaded in browser),A3.4,Material Cost Variance,method_class=Material_Cost_Variance,Material Cost Variance,method_class=Material_Cost_Variance,not required by this module,DISABLED_EVIDENCE_UNDER_REVIEW,PASS,
index.html -> participant taxonomy (loaded in browser),B2.9,Quantum Probability,method_class=Quantum_Probability,Quantum Probability,method_class=Quantum_Probability,not required by this module,ARCHIVED_FUTURE_RESEARCH,PASS,
index.html -> participant taxonomy (loaded in browser),B2.7,Plithogenic Sets,method_class=Plithogenic_Sets,Plithogenic Sets,method_class=Plithogenic_Sets,required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> participant taxonomy (loaded in browser),B2.20,Hypersoft Sets,method_class=Hypersoft_Sets,Hypersoft Sets,method_class=Hypersoft_Sets,required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> participant taxonomy (loaded in browser),B2.18,MARCOS Ranking,method_class=MARCOS,MARCOS Ranking,method_class=MARCOS,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),B2.19,CRITIC-TOPSIS,method_class=CRITIC_TOPSIS,CRITIC-TOPSIS,method_class=CRITIC_TOPSIS,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),A6.1,Quality Compliance Index,method_class=Quality_Compliance,Quality Compliance Index,method_class=Quality_Compliance,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),A6.2,Safety Performance Index,method_class=Safety_Performance,Safety Performance Index,method_class=Safety_Performance,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),A6.4,Contractor Performance Assessment Signal,method_class=Contractor_Performance,Contractor Performance Assessment Signal,method_class=Contractor_Performance,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),B3.1,Agent-Based Governance Model,method_class=ABM_Governance,Agent-Based Governance Model,method_class=ABM_Governance,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),B3.2,FAR/Agency EVMS Applicability Monitor,method_class=FAR_Threshold,FAR/Agency EVMS Applicability Monitor,method_class=EVMS_Applicability,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,FAIL,the participant-facing name or method class is not the registry's current one
index.html -> participant taxonomy (loaded in browser),B3.3,Versioned A-11 Capital Programming Conformance Check,method_class=OMB_A11_Check,Versioned A-11 Capital Programming Conformance Check,method_class=A11_Conformance,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,FAIL,the participant-facing name or method class is not the registry's current one
index.html -> participant taxonomy (loaded in browser),B3.4,EVMS Reporting Compliance Monitor,method_class=EVM_Reporting_Threshold,EVMS Reporting Compliance Monitor,method_class=EVMS_Reporting_Compliance,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,FAIL,the participant-facing name or method class is not the registry's current one
index.html -> participant taxonomy (loaded in browser),B3.5,Contract Modification Governance Check,method_class=Contract_Mod_Frequency,Contract Modification Governance Check,method_class=Modification_Governance,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,FAIL,the participant-facing name or method class is not the registry's current one
index.html -> participant taxonomy (loaded in browser),A1.1,Monte Carlo EAC Forecast,method_class=Monte_Carlo,Monte Carlo EAC Forecast,method_class=Monte_Carlo,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),A1.7,TCPI,method_class=TCPI,TCPI,method_class=TCPI,not required by this module,COMPUTES_FROM_AVAILABLE_EVIDENCE,PASS,
index.html -> participant taxonomy (loaded in browser),D1.1,Isolation Forest,method_class=Isolation_Forest,Isolation Forest,method_class=None,not required by this module,PORTFOLIO_COMPUTED,PASS,
index.html -> participant taxonomy (loaded in browser),B4.1,Multi-Objective Optimization,method_class=Multi_Objective_Optimization,Multi-Objective Optimization,method_class=Multi_Objective_Optimization,required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> participant taxonomy (loaded in browser),B4.2,Linear Programming,method_class=Linear_Programming,Linear Programming,method_class=Linear_Programming,required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> participant taxonomy (loaded in browser),B4.3,Constraint Satisfaction Analysis,method_class=Constraint_Satisfaction,Constraint Satisfaction Analysis,method_class=Constraint_Satisfaction,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),B4.4,What-If Scenario Matrix,method_class=WhatIf_Scenario_Matrix,What-If Scenario Matrix,method_class=WhatIf_Scenario_Matrix,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> participant taxonomy (loaded in browser),B4.5,Decision Sensitivity Matrix,method_class=Decision_Sensitivity_Matrix,Decision Sensitivity Matrix,method_class=Decision_Sensitivity_Matrix,required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> participant taxonomy (loaded in browser),B4.6,Pareto Frontier Analysis,method_class=Pareto_Frontier,Pareto Frontier Analysis,method_class=Pareto_Frontier,required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> participant taxonomy (loaded in browser),B4.7,Minimax Regret Decision Rule,method_class=Minimax_Regret_Decision_Rule,Minimax Regret Decision Rule,method_class=Minimax_Regret_Decision_Rule,required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> method help (NOT BROWSER-REACHABLE),-,n/a,n/a,n/a,n/a,n/a,n/a,PASS,"the handbook script loads, but its module arrays are module-local and the surface renders only in an authenticated participant session; the Category-10 entries are guarded at source by test_run32_defensibility_truth.py section 6 instead of being claimed as a browser check that was not performed"
index.html (page errors),-,-,-,-,-,-,-,PASS,no uncaught page errors
