module,module_name,canonical_method_implemented,real_corpus_executes,real_corpus_abstains,disabled_laboratory_only,required_supply_path_present,supply_path_type,concrete_repository_object,production_code_writes_the_structure_key,calibration_pending_run33,lineage_qualification_pending_run31,post_run28_closure_disposition,evidence,accounted
A2.3,CCPM Buffer Health,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,signal-inputs key `ccpmStructure` declared in server/app/simulation/canonical.py; stored and served by server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,no,yes,yes,CANONICAL_EXTENDED_CALIBRATION_PENDING,"abstains: its structure key `ccpmStructure` is declared in canonical.py and is written by NO production code, the same condition as the twenty. NOT among Run 28's twenty, which counted it as already canonical rather than as abstaining. Found by this closure and given the same intake.",yes
A2.4,Schedule Compression Index,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.5,Float Consumption Rate,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.6,S-Curve Deviation,yes,no,yes,no,yes,CONTRACT_BASELINE_DATA,"signal-inputs key `timePhasedBaseline` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.7,Milestone Trend Analysis,yes,yes,no,no,yes,EXISTING_DOCUMENT_EXTRACTION,server/app/documents.py assembles milestoneForecastHistory from the stored schedule snapshots,yes,yes,yes,CANONICAL_IMPLEMENTED_AND_WIRED,computes on the suite's own real schedule documents across two reporting periods; server/tools/test_schedule_milestones.py,yes
A2.8,Look-Ahead Schedule Health,yes,no,yes,no,yes,NEW_STRUCTURED_FORM,"signal-inputs key `lookAheadSchedule` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.9,Resource Loading Index,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `resourceProfile` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.10,Schedule Risk Analysis P80,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A2.11,Critical Path Index,yes,no,yes,no,yes,NEW_PROJECT_DATA_OBJECT,"signal-inputs key `scheduleNetwork` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A3.1,Reference Class Forecasting,yes,no,yes,no,yes,REFERENCE_CLASS_DATASET_INTERFACE,"signal-inputs key `referenceClassPopulation` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A3.2,Contingency Burn Rate,yes,yes,no,no,yes,EXISTING_DOCUMENT_EXTRACTION,the corpus itself: figures already extracted from the period's documents,n/a,yes,yes,CANONICAL_RETAINED_BANDS_REMOVED,computes from the reported contingency figures; server/tools/test_run19_category_3.py,yes
A3.3,Labor Productivity Index,yes,no,yes,no,yes,EXISTING_DOCUMENT_EXTRACTION,"signal-inputs key `productionOutputRecord` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A3.5,Overhead Absorption Rate,yes,no,yes,no,yes,NEW_STRUCTURED_FORM,"signal-inputs key `overheadAllocationBase` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A3.6,Cost Risk Analysis P80,yes,yes,no,no,yes,EXISTING_DOCUMENT_EXTRACTION,server/app/documents.py assembles costRiskModel from the period's risk register,yes,yes,yes,CANONICAL_IMPLEMENTED_AND_WIRED,computes on the real risk register; server/tools/test_risk_register_and_notices.py,yes
A3.7,Analogous Estimating Ratio,yes,no,yes,no,yes,HISTORICAL_DATASET_INTERFACE,"signal-inputs key `analogEstimate` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
A3.8,Parametric Cost Index,yes,no,no,yes,yes,NEW_PROJECT_DATA_OBJECT,signal-inputs key `parametricCostModel` declared in server/app/simulation/canonical.py; stored and served by server/app/writes.py::w_saveprojectdata -> server/app/project_data.py -> server/app/documents.py::run_and_store,no,no,yes,DISABLED_LABORATORY_ONLY,"disabled laboratory-only: registered, never executed",yes
A3.9,Inflation Adjustment Index,yes,no,yes,no,yes,EXTERNAL_OFFICIAL_DATA_INTERFACE,"signal-inputs key `externalCostIndex` declared in server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS, validated by that module's own guard; stored and served by server/app/writes.py::w_saveprojectdata (/exec action saveprojectdata) -> server/app/project_data.py -> server/app/documents.py::run_and_store",no,no,yes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,abstains with canonical_structure_absent; verified by executing the registered runner,yes
