module_id,fault,file_mutated,bytes_changed,test_turned_red,red_test_name,restored,notes,category_file
4.5,"the absent-float worst case restored, so one lost day with unknown float asserts the worst ratio",app/simulation/models_doc.py,49981,YES,"- [4.5] with no float figure the module abstains rather than setting the ratio to one, which asserts the worst case as a measurement and makes one day lost on a project with a year of float identical to one with none -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific d",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 141/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
4.7,"the dispute escalation missing-source guard removed, so withholding a log improves the reading again",app/simulation/models_doc.py,45787,YES,"- [4.7] all three sources are required, so withholding a request log or a change order log cannot improve the reading by having an absent term score zero -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 141/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
4.9,procurement double count restored: a delayed item counted once at risk and again at double weight,app/simulation/models_doc.py,39390,YES,"- [4.9] known-answer: the audit's own figures give a weighted disruption of .65 rather than the 1.8 the double-counted form produced -- got 1.8, oracle 0.65, tol 0.005",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 139/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
4.10,"the document risk domain guard removed, so a score outside nought to one is multiplied into the band ladder",app/simulation/models_doc.py,37219,YES,- [4.10] invalid input: a document risk score outside nought to one is refused rather than multiplied through into the band ladder,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 141/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
4.8,"subcontractor score band direction reversed, so a worse score reads better",app/simulation/models_doc.py,98,YES,- [4.8] invariant: the band worsens monotonically as the score falls,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 141/142 checks passed; production tree hash unchanged across the campaign,category_4_faults.csv
5.6,queueing denominator defect: utilisation divided by the servers alone rather than by server time,app/simulation/canonical.py,14948,YES,"- [5.6] known-answer: utilisation is server time used over server time available -- got 15.0, oracle 0.5, tol 0.005",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 132/134 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
5.6,M/M/1 queue-length operator defect: the number in queue formula loses its square,tools/run17/oracle/oracles_cat_5.py,9321,YES,"- [ORACLE] oracles_cat_5 reproduces the specification's worked answers before it is allowed to judge anything -- Category 5 oracle does not reproduce the specification: 5.6 number in queue: got 1.9999999999999998, specification says 1.3333333333333333; 5.6 Little's Law must hold on the specification",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
5.1,"DSM propagation operator transposed, so the wave travels the wrong way down the dependency",tools/run17/oracle/oracles_cat_5.py,2,YES,"- [ORACLE] oracles_cat_5 reproduces the specification's worked answers before it is allowed to judge anything -- Category 5 oracle does not reproduce the specification: 5.1 first wave: got [0.0, 0.0], specification says [0.5, 0]; 5.1 propagation is linear in the seed, so edge strength is monotone",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
5.5,"rework feedback missing-count guard removed, so an absent count contributes zero again",app/simulation/models_doc.py,24265,YES,"- [5.5] an absent count of requests or change orders is required rather than contributing exactly zero, which is the same contribution a perfect term makes and would mean missing evidence buying a better reading -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 133/134 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
5.2,"sensitivity absent-driver guard removed, so a missing document risk score reads as zero sensitivity",app/simulation/models_doc.py,35488,YES,"- [5.2] an absent document risk score is required rather than read as a sensitivity of exactly zero, which would be the strongest possible claim that the driver does not move the estimate and would demote it to the bottom of the ranking -- proposition FAILED and is not in the Run-19 register. An unr",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 133/134 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
5.7,"the single-time-step guard removed, so a model with one point in time is accepted as a run over time",app/simulation/canonical.py,1,YES,"- [5.7] a state history covering a single point in time is refused, since a model with one step is not a model over time -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 133/134 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
5.4,"scenario expectation operator reversed, so the action with the HIGHEST expected cost is recommended",app/simulation/canonical.py,2,YES,- [5.4] known-answer: production chooses the same action as the independent expectation -- hold,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 130/134 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
5.8,"discrete event throughput index inverted, so more interruption reads as more throughput",app/simulation/models_doc.py,16210,YES,- [5.8] invariant: throughput falls as the schedule index falls,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 132/134 checks passed; production tree hash unchanged across the campaign,category_5_faults.csv
7.10,"Pythagorean document-risk adjustment direction reversed, so worse document evidence raises membership and lowers non-membership",app/simulation/models_fuzzy.py,5,YES,- [7.10] admissibility: the constraint holds across the input range,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 225/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.16,fuzzy admissibility violation: the spherical hesitancy inflated so the triple leaves the unit ball,app/simulation/models_fuzzy.py,9705,YES,"- [7.16] admissibility: the reported triple satisfies the spherical constraint -- (0.56, 0.37, 0.99)",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 224/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.17,Fermatean hesitancy exponent changed from a cube root to a square root,app/simulation/models_fuzzy.py,1,YES,"- [7.17] known-answer: the reported hesitancy is the cube root of one less the two cubes, as the formalism defines it",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.1,"Dempster ignorance treated as conflict: the reliability discount stops returning the freed mass to the frame, so discounting destroys mass instead of moving it to ignorance",tools/run17/oracle/oracles_cat_7.py,24132,YES,"- [ORACLE] oracles_cat_7 reproduces the specification's worked answers before it is allowed to judge anything -- Category 7 oracle does not reproduce the specification: 7.1 discounted mass on the frame: got 0.2, specification says 0.7; 7.1 a discounted mass still sums to one: got 0.5, specification ",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.2,rough set lower approximation admits classes not fully contained in the target set,tools/run17/oracle/oracles_cat_7.py,22555,YES,"- [ORACLE] oracles_cat_7 reproduces the specification's worked answers before it is allowed to judge anything -- Category 7 oracle does not reproduce the specification: 7.2 lower approximation: got {1, 2, 3, 4}, specification says {3,4}; 7.2 boundary region: got set(), specification says {1,2}",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.2,"rough set supermajority boundary raised beyond one, so no state can ever enter the lower approximation",app/simulation/models_evc.py,18120,YES,- [7.2] known-answer: four unanimous Red signals give a definite classification with an empty boundary,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.8,"belief rule base no-rule fallback restored, so an unactivated rule base still concludes",app/simulation/models_evc.py,4614,YES,"- [7.8] a rule base in which no rule activates abstains, rather than a fallback rule supplying a near-uniform belief mass and a colour drawn from it -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.19,"the single-project CRITIC-TOPSIS fallback restored, so one project is treated as a set of alternatives",app/simulation/models_fuzzy.py,2711,YES,"- [7.19] with no decision matrix the module abstains, rather than falling back to the spread of one project's own three criteria where a criterion equal to their mean carries a weight of exactly zero and drops out of its own decision -- proposition FAILED and is not in the Run-19 register. An unreco",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 225/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.14,"entropy normalisation inverted, so the reported entropy leaves nought to one",app/simulation/models_fuzzy.py,1,YES,"- [7.14] known-answer: the reported entropy is the Shannon entropy of the reported distribution, normalised by the entropy of the uniform one",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 225/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.13,"type-2 footprint bounds swapped, so the lower membership exceeds the upper",app/simulation/models_fuzzy.py,6,YES,"- [7.13] admissibility: the reported footprint has its lower membership at or below its upper, both inside nought to one -- (0.48, 0.46)",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 224/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.15,"possibility and necessity ordering inverted, so necessity exceeds possibility",app/simulation/models_fuzzy.py,4,YES,- [7.15] invariant: necessity never exceeds possibility on any state,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
7.18,"MARCOS anti-ideal reference inflated eightfold, so the utility degrees no longer measure distance from the worst option and the score loses its monotonicity in the criteria",app/simulation/models_fuzzy.py,6365,YES,"- [7.18] the two utility degrees are the weighted sum measured against the ideal and against the anti-ideal SEPARATELY, rather than a number and its complement, which collapsed the score and made the top two bands unreachable from any input -- proposition FAILED and is not in the Run-19 register. An",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 226/227 checks passed; production tree hash unchanged across the campaign,category_7_faults.csv
8.3,regulatory rule-version mismatch: the committed A-11 edition replaced by a superseded one,tools/run17/oracle/oracles_cat_8.py,4,YES,- [8.3] the snapshot edition of the circular is the one the specification carries,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 129/130 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
8.7,"OSHA incidence-rate constant changed from 200,000 to 100,000 hours",tools/run17/oracle/oracles_cat_8.py,1,YES,"- [ORACLE] oracles_cat_8 reproduces the specification's worked answers before it is allowed to judge anything -- Category 8 oracle does not reproduce the specification: 8.7 OSHA incidence rate: got 1.5, specification says 3.0; 8.7 the rate scales with exposure: got 0.75, specification says 1.5",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 0/2 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
8.7,"the meeting-silence guard removed, so silence in a meeting becomes a record of no incidents again",app/simulation/models_doc.py,9655,YES,"- [8.7] meeting records that never mention safety abstain, since silence in a meeting is not a record of no incidents -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 129/130 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
8.9,"the worst contractor rating replaced by the mean, so a bad quality rating is averaged away",app/simulation/models_doc.py,1990,YES,"- [8.9] the quality rating enters on the same footing as the other three, so a contractor rated badly on quality alone is not reported on the strength of the three the assessor was less worried about -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 128/130 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
8.6,"the inspected-count default of twenty restored, fabricating a denominator for every project",app/simulation/models_doc.py,14553,YES,"- [8.6] the inspected count is not defaulted, so a project that uploaded no inspection report does not receive a fabricated denominator -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 126/130 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
8.8,"the environmental compliance rate domain guard removed, so a rate outside nought to a hundred bands",app/simulation/models_doc.py,4841,YES,"- [8.8] invalid input: a rate outside nought to a hundred is refused rather than clipped, since clipping hides that the figure was wrong",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 129/130 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
8.2,"the negative cost index guard removed, restoring the negative-overrun-reads-green defect",app/simulation/models_gov.py,1,YES,"- [8.2] a cost index at or below zero is refused rather than producing a negative forecast, a negative overrun, the calmest band and a printed headroom the project does not have -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 129/130 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
8.1,"the escalation authority replaced by the routine one, so a high-impact action bypasses the required human authority",app/simulation/models_decision.py,3577,YES,"- [8.1] a high-impact action, the recovery-plan review and management escalation, never carries the routine project-level authority: it is escalated to the programme level -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 129/130 checks passed; production tree hash unchanged across the campaign,category_8_faults.csv
9.1,"a field holding zero treated as missing, breaking the rule that zero is a value",app/simulation/models_dq.py,11141,YES,"- [9.1] a field holding zero is counted as present, since zero is a value and null is not -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect. a project reporting zero on every core field was scored as missing them",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 108/109 checks passed; production tree hash unchanged across the campaign,category_9_faults.csv
9.2,timeliness reference date moved off the period cutoff,app/simulation/models_dq.py,9810,YES,"- [9.2] known-answer: production measures the same age from the period cutoff -- got 81, oracle 20, tol 0.5",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 106/109 checks passed; production tree hash unchanged across the campaign,category_9_faults.csv
9.3,"source reliability monotonicity reversed, so a derived field outranks a measured one",app/simulation/models_dq.py,8348,YES,"- [9.3] known-answer: the mean of the two declared source weights -- got 0.07, oracle 0.925, tol 0.006",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 106/109 checks passed; production tree hash unchanged across the campaign,category_9_faults.csv
9.4,"an absent event log made to report rather than abstain, so silence becomes evidence",app/simulation/models_dq.py,7995,YES,"- [9.4] an absent event log abstains, because a caller that supplied none has said nothing, while an empty log is evidence and is reported as such -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 108/109 checks passed; production tree hash unchanged across the campaign,category_9_faults.csv
9.6,"consistency denominator renormalised over the checks that could be run, restoring the defect where deleting the disagreeing document makes the documents agree",app/simulation/models_dq.py,2795,YES,- [9.6] removing the figure that carries a disagreement does not renormalise the score over the survivors and make the documents agree -- proposition FAILED and is not in the Run-19 register. An unrecorded scientific defect.,n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 108/109 checks passed; production tree hash unchanged across the campaign,category_9_faults.csv
9.7,mean interval divided by the number of observations rather than the number of intervals between them,app/simulation/models_dq.py,1029,YES,"- [9.7] known-answer: three monthly uploads give a mean interval near thirty days -- got 20, oracle 30.5, tol 1.0",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 108/109 checks passed; production tree hash unchanged across the campaign,category_9_faults.csv
ARCH,the Category 9 raw-input bypass marker flipped to claim the signal package is qualified when no gate exists,app/simulation/signal_package.py,5705,YES,"- [ARCH] a versioned qualified signal package stands between project evidence and the evidence combination and governance categories, so Categories 6, 7, 8 and 10 cannot read raw unqualified cost, schedule and document-risk values -- this proposition NOW HOLDS but is recorded in the Run-19 register ",n/a (scratch copy discarded; the real tree was never written to),exit 1; RESULT: 108/109 checks passed; production tree hash unchanged across the campaign,category_9_faults.csv
