suite,modules,expected_old_behaviour,current_canonical_behaviour,exact_reason_for_failure,classification,root_cause,action,historical_implementation_needed,genuine_current_regression,action_complete,post_fix_result,historical_resolution,current_production_guard,status
test_run28_version_boundary.py,version history,"stamped v16, supersedes v15, stamps since the v11 commit are exactly v12..v16","stamped v17, supersedes v16, history ends v17","4 checks: 'the analytical layer is stamped sim-2026.08-v16', 'names sim-2026.08-v15 as the line it supersedes', 'the stamps added since the v11 commit are exactly v12 to v16'",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,"convert to Run 28's own boundary proved from git objects (v11->v12), leaving the current stamp to Run 31's own boundary suite; history remains append-only and strict-prefix",NO,NO,YES,GREEN,n/a,n/a,PASS
test_run29_version_boundary.py,version history,"stamped v16, supersedes v15, stamps since the v12 commit are exactly v13 and v14",stamped v17,"3 checks, same family as above: the suite pinned the then-current stamp value",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,convert to Run 29's own boundary from git objects,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run29_closure_version_boundary.py,version history,"stamped v16, supersedes v15, grew by the closure's stamp plus Run 30's two",stamped v17,"3 checks, same family: the suite pinned the then-current stamp value",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,convert to Run 29's closure boundary from git objects,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run30_version_boundary.py,version history,"stamped v16, supersedes v15, grew by the two stamps Run 30 is authorised to add",stamped v17,"3 checks, same family: the suite pinned the then-current stamp value",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,convert to Run 30's boundary from git objects,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run30_closure_version_boundary.py,version history,"stamped v16, supersedes v15, grew by exactly the one stamp the closure may add",stamped v17,"3 checks, same family: the suite pinned the then-current stamp value",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,convert to Run 30's closure boundary from git objects,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run30_closure_non_vacuity.py,version history,the version history is unchanged and still unique,"the history grew by v17, appended, still unique and still a strict prefix",FAIL 'and the version history is unchanged and still unique' -- 'unchanged' was true only for Run 30's closure,TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,re-express as 'unchanged as at Run 30's closure commit' read from that git object; the uniqueness and strict-prefix invariants stay live and still pass,NO,NO,YES,GREEN,n/a,n/a,PASS
test_run30_cat7_operational_route.py,ledger stamp,the ledger carries the current simulation version (v16),the ledger carries v17,FAIL 'and the ledger carries the current simulation version',TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,"read the expected stamp from models.SIMULATION_VERSION rather than a literal, so the check survives every authorised bump; the Category-7 route assertions are untouched and pass",NO,NO,YES,GREEN,n/a,n/a,PASS
test_run30_final_version_decision.py,whole-ledger comparison,"Run 30's closure changed ledger metadata only: the computed set, abstaining set and every row are identical, so v16 STANDS","Run 31 changes sixteen modules' results, so the sets differ","6 checks: 'THE COMPUTED SET IS IDENTICAL', 'the abstaining set is identical', 'every computed row is identical apart from the lineage metadata key', 'sim-2026.08-v16 STANDS'",TEST_INFRASTRUCTURE_DEFECT,VERSION_STAMP,"pin BOTH sides of Run 30's comparison to its own git objects so it proves what Run 30 decided, instead of comparing Run 30's predecessor against the live tree",NO,NO,YES,GREEN,n/a,n/a,PASS
test_run22_production_tree_completeness.py,production tree guard,the walked tree matches the pinned manifest exactly,"five files added (abm, canonical_v6, models_cat89, qualified_evidence, regulatory) and two changed (project_data, models)","FAIL 'with the checkout unmodified the guard reports no added, removed, changed or renamed production file' and 'the pinned manifest's own hash matches the tree'. THE GUARD IS WORKING CORRECTLY; the governed inventory has not been extended",GENUINE_REGRESSION,GOVERNED_INVENTORY_OR_LINEAGE,extend the governed production inventory and re-pin the manifest under section 58; DO NOT weaken the guard,NO,YES,YES,GREEN,n/a,n/a,PASS
test_run28_closure.py,production tree guard,"the walk agrees with the pinned manifest: nothing added, removed or changed","same five added, two changed",FAIL 'and the walk agrees with the pinned manifest' -- same root cause as the row above,GENUINE_REGRESSION,GOVERNED_INVENTORY_OR_LINEAGE,extend the governed inventory and re-pin; guard unchanged,NO,YES,YES,GREEN,n/a,n/a,PASS
test_run20_declared_production_changes.py,declared-changes guard,no file has appeared in the simulation package undeclared,five new simulation files are undeclared,"FAIL 'and no OTHER file has appeared in the simulation package undeclared ... ['abm.py','canonical_v6.py','models_cat89.py','qualified_evidence.py','regulatory.py']'",GENUINE_REGRESSION,GOVERNED_INVENTORY_OR_LINEAGE,"declare the five files in a Run-31 production-changes manifest; the declared-changes guard forbids a path appearing in two manifests, so check the existing manifests first",NO,YES,YES,GREEN,n/a,n/a,PASS
test_run20_lineage_declaration_truth.py,"B3.2, B3.4, B3.5","B3.2/B3.4/B3.5 do not abstain on an absent canonical structure, so each can emit a signal and there is evidence to declare",all three abstain on an absent canonical structure,3 checks: 'B3.2 does not abstain on an absent canonical structure ... reason=canonical_structure_absent'. The shipped lineage declarations assert a precondition that production no longer satisfies,GENUINE_REGRESSION,GOVERNED_INVENTORY_OR_LINEAGE,"update the shipped lineage declaration table so B3.2/B3.4/B3.5 declare the canonical structure's evidence body and the abstaining state, per the Run-30 lineage semantics; do not weaken the truth check",NO,YES,YES,GREEN,n/a,n/a,PASS
