module_id,canonical_name,category,layer,implementation_path,registry_status,enabled,disabled,executable,voting,advisory,concept_only,synthetic_fixture_available,canonical_structure_required,reference_dataset_required,expected_runtime_behavior,simulation_version
A2.8,Look-Ahead Schedule Health,A2,PROJECT,server/app/simulation/models_ext.py::run_lookahead_health,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.9,Resource Loading Index,A2,PROJECT,server/app/simulation/models_ext.py::run_resource_loading,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.10,Schedule Risk Analysis P80,A2,PROJECT,server/app/simulation/models_ext.py::run_schedule_risk,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A2.11,Critical Path Index,A2,PROJECT,server/app/simulation/models_ext.py::run_critical_path_index,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.1,Reference Class Forecasting,A3,PROJECT,server/app/simulation/models.py::run_rcf,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.2,Contingency Burn Rate,A3,PROJECT,server/app/simulation/models_ext.py::run_contingency_burn,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.3,Labor Productivity Index,A3,PROJECT,server/app/simulation/models_ext.py::run_labor_productivity,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.4,Material Cost Variance,A3,PROJECT,server/app/simulation/models_ext.py::run_material_cost_variance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.5,Overhead Absorption Rate,A3,PROJECT,server/app/simulation/models_ext.py::run_overhead_absorption,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.6,Cost Risk Analysis P80,A3,PROJECT,server/app/simulation/models_ext.py::run_cost_risk,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.7,Analogous Estimating Ratio,A3,PROJECT,server/app/simulation/models_ext.py::run_analogous_estimating,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A3.8,Parametric Cost Index,A3,PROJECT,server/app/simulation/models_ext.py::run_parametric_cost,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
A3.9,Inflation Adjustment Index,A3,PROJECT,server/app/simulation/models_ext.py::run_inflation_adjustment,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.1,Document Risk Score,A4,PROJECT,,REGISTERED_NOT_PORTED,NO,NO,NO,NO,YES,NO,NO,,,not ported; registry.run_module raises MissingModuleError rather than approximating,sim-2026.08-v7
A4.2,RFI Velocity,A4,PROJECT,server/app/simulation/models_doc.py::run_rfi_velocity,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.3,Submittal Rejection Rate,A4,PROJECT,server/app/simulation/models_doc.py::run_submittal_rejection,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.4,NCR Rate,A4,PROJECT,server/app/simulation/models_doc.py::run_ncr_rate,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,auditedNonconformanceCohort,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.5,Weather Day Impact,A4,PROJECT,server/app/simulation/models_doc.py::run_weather_impact,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.6,Change Order Frequency,A4,PROJECT,server/app/simulation/models_doc.py::run_co_frequency,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.7,Dispute Escalation Index,A4,PROJECT,server/app/simulation/models_doc.py::run_dispute_escalation,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.8,Subcontractor Performance,A4,PROJECT,server/app/simulation/models_doc.py::run_subcontractor_performance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.9,Procurement Lead Time Monitor,A4,PROJECT,server/app/simulation/models_doc.py::run_procurement_lead_time,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A4.10,Specification Conflict Density,A4,PROJECT,server/app/simulation/models_doc.py::run_spec_conflict_density,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.1,DSM Rework Propagation,A5,PROJECT,server/app/simulation/models.py::run_dsm,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.2,Sensitivity Analysis,A5,PROJECT,server/app/simulation/models_doc.py::run_sensitivity_analysis,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.3,Tornado Risk Ranking,A5,PROJECT,server/app/simulation/models_doc.py::run_tornado_diagram,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.4,Scenario Modeling,A5,PROJECT,server/app/simulation/models_doc.py::run_scenario_modeling,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,scenarioDecisionStructure,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.5,Rework Feedback Loop,A5,PROJECT,server/app/simulation/models_doc.py::run_rework_feedback,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.6,Queueing Theory Bottleneck,A5,PROJECT,server/app/simulation/models_doc.py::run_queueing_bottleneck,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,queueStructure,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.7,Agent-Based Supply Chain,A5,PROJECT,server/app/simulation/models_doc.py::run_agent_supply_chain,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,abmStructure,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A5.8,Discrete Event Simulation,A5,PROJECT,server/app/simulation/models_doc.py::run_discrete_event_sim,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A6.1,Quality Compliance Index,A6,PROJECT,server/app/simulation/models_doc.py::run_quality_compliance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A6.2,Safety Performance Index,A6,PROJECT,server/app/simulation/models_doc.py::run_safety_performance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A6.3,Environmental Compliance Rate,A6,PROJECT,server/app/simulation/models_doc.py::run_environmental_compliance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,auditedPermitCompliance,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
A6.4,Contractor Performance Score,A6,PROJECT,server/app/simulation/models_doc.py::run_contractor_performance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B1.1,Conservative Dominance,B1,PROJECT,server/app/simulation/models_decision.py::run_conservative_dominance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B1.2,Weighted Voting,B1,PROJECT,server/app/simulation/models_gov.py::run_weighted_voting,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B1.3,Majority Rules,B1,PROJECT,server/app/simulation/models_gov.py::run_majority_rules,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B1.4,Worst-N-of-M,B1,PROJECT,server/app/simulation/models_gov.py::run_worst_n_of_m,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.1,Dempster-Shafer,B2,PROJECT,server/app/simulation/models_gov.py::run_dst,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.2,Rough Sets,B2,PROJECT,server/app/simulation/models_evc.py::run_rough_sets,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.3,Neutrosophic Logic,B2,PROJECT,server/app/simulation/models_evc.py::run_neutrosophic,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.4,Interval Fuzzy Sets,B2,PROJECT,server/app/simulation/models_evc.py::run_interval_fuzzy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.5,Z-numbers,B2,PROJECT,server/app/simulation/models_evc.py::run_z_numbers,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.6,PLTS,B2,PROJECT,server/app/simulation/models_evc.py::run_plts,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.7,Plithogenic Sets,B2,PROJECT,server/app/simulation/models_evc.py::run_plithogenic,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
B2.8,Belief Rule Base,B2,PROJECT,server/app/simulation/models_evc.py::run_brb,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.9,Quantum Probability,B2,PROJECT,server/app/simulation/models_evc.py::run_quantum_probability,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
B2.10,Pythagorean Fuzzy Sets,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_pythagorean_fuzzy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.11,Picture Fuzzy Sets,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_picture_fuzzy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.12,Hesitant Fuzzy Sets,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_hesitant_fuzzy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.13,Type-2 Fuzzy Sets,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_type2_fuzzy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.14,Maximum Entropy,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_maximum_entropy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.15,Possibility Theory,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_possibility_theory,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.16,Spherical Fuzzy Sets,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_spherical_fuzzy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.17,Fermatean Fuzzy Sets,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_fermatean_fuzzy,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.18,MARCOS Ranking,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_marcos,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.19,CRITIC-TOPSIS,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_critic_topsis,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,decisionMatrix,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B2.20,Hypersoft Sets,B2,PROJECT,server/app/simulation/models_fuzzy.py::run_hypersoft_sets,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
B3.1,ABM Governance Layer,B3,PROJECT,server/app/simulation/models_decision.py::run_abm_governance,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B3.2,FAR Threshold Monitor,B3,PROJECT,server/app/simulation/models_gov.py::run_far_threshold,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B3.3,OMB A-11 Check,B3,PROJECT,server/app/simulation/models_gov.py::run_omb_a11_check,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B3.4,EVM Reporting Threshold,B3,PROJECT,server/app/simulation/models_gov.py::run_evm_reporting_threshold,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B3.5,Contract Modification Frequency,B3,PROJECT,server/app/simulation/models_gov.py::run_contract_mod_frequency,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B4.1,Multi-Objective Optimization,B4,PROJECT,server/app/simulation/models_gov.py::run_multi_objective,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
B4.2,Linear Programming,B4,PROJECT,server/app/simulation/models_gov.py::run_linear_programming,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
B4.3,Constraint Satisfaction Analysis,B4,PROJECT,server/app/simulation/models_gov.py::run_constraint_satisfaction,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B4.4,What-If Scenario Matrix,B4,PROJECT,server/app/simulation/models_gov.py::run_whatif_matrix,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
B4.5,Decision Sensitivity Matrix,B4,PROJECT,server/app/simulation/models_gov.py::run_decision_sensitivity,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
B4.6,Pareto Frontier Analysis,B4,PROJECT,server/app/simulation/models_gov.py::run_pareto_frontier,DISABLED_UNSAFE,NO,YES,NO,NO,NO,YES,NO,,,short-circuited in registry.run_module before the formula function is called; returns insufficient_data with DISABLED_UNSAFE,sim-2026.08-v7
B4.7,Regret Minimization Index,B4,PROJECT,server/app/simulation/models_gov.py::run_regret_minimization,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
C1.1,Missing Data Index,C1,PROJECT,server/app/simulation/models_dq.py::run_missing_data_index,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
C1.2,Data Timeliness Score,C1,PROJECT,server/app/simulation/models_dq.py::run_data_timeliness,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
C1.3,Source Reliability Weighting,C1,PROJECT,server/app/simulation/models_dq.py::run_source_reliability,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
C1.4,Audit Trail Completeness,C1,PROJECT,server/app/simulation/models_dq.py::run_audit_trail,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
C1.5,Information Completeness Ratio,C1,PROJECT,server/app/simulation/models_dq.py::run_info_completeness,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
C1.6,Cross-document Consistency Score,C1,PROJECT,server/app/simulation/models_dq.py::run_cross_doc_consistency,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
C1.7,Reporting Frequency Index,C1,PROJECT,server/app/simulation/models_dq.py::run_reporting_frequency,ADVISORY_ONLY,YES,NO,YES,NO,YES,NO,NO,,,executed on the single-project path; computes or abstains with a reader sentence,sim-2026.08-v7
D1.1,Isolation Forest,D1,PORTFOLIO,server/app/simulation/portfolio.py,PORTFOLIO_EXECUTABLE,YES,NO,YES,NO,YES,NO,NO,,,computed only by portfolio.compute_portfolio over a project list; registry.run_module raises PortfolioModuleError on the single-project path,sim-2026.08-v7
D1.2,Portfolio Outlier Detection,D1,PORTFOLIO,server/app/simulation/portfolio.py,PORTFOLIO_EXECUTABLE,YES,NO,YES,NO,YES,NO,NO,,,computed only by portfolio.compute_portfolio over a project list; registry.run_module raises PortfolioModuleError on the single-project path,sim-2026.08-v7
D1.3,Signal Trajectory Classifier,D1,PORTFOLIO,server/app/simulation/portfolio.py,PORTFOLIO_EXECUTABLE,YES,NO,YES,NO,YES,NO,NO,,,computed only by portfolio.compute_portfolio over a project list; registry.run_module raises PortfolioModuleError on the single-project path,sim-2026.08-v7
D1.4,Cross-project Pattern Detector,D1,PORTFOLIO,server/app/simulation/portfolio.py,PORTFOLIO_EXECUTABLE,YES,NO,YES,NO,YES,NO,NO,,,computed only by portfolio.compute_portfolio over a project list; registry.run_module raises PortfolioModuleError on the single-project path,sim-2026.08-v7
D1.5,Anomaly Score,D1,PORTFOLIO,server/app/simulation/portfolio.py,PORTFOLIO_EXECUTABLE,YES,NO,YES,NO,YES,NO,NO,,,computed only by portfolio.compute_portfolio over a project list; registry.run_module raises PortfolioModuleError on the single-project path,sim-2026.08-v7
