record_type,module_id,canonical_name,item,value,source_or_basis
HOLDOUT,A1.2,CUSUM Anomaly Monitor,ARL0,302.3,"separate seed stream, evaluated once"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,stable_low,detection 0.000; false alarm 0.060; median delay None; correct arm n/a,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,stable_moderate,detection 0.000; false alarm 0.050; median delay None; correct arm n/a,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,stable_high,detection 0.000; false alarm 0.065; median delay None; correct arm n/a,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,alternating_noise,detection 0.000; false alarm 0.035; median delay None; correct arm n/a,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,shift_pos_0.5,detection 0.427; false alarm 0.013; median delay 14; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,shift_pos_1.0,detection 0.940; false alarm 0.007; median delay 9.0; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,shift_pos_2.0,detection 1.000; false alarm 0.000; median delay 4.0; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,shift_neg_0.5,detection 0.398; false alarm 0.007; median delay 14; correct arm 0.994,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,shift_neg_1.0,detection 0.940; false alarm 0.003; median delay 9.0; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,shift_neg_2.0,detection 1.000; false alarm 0.000; median delay 4.0; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,drift_pos,detection 1.000; false alarm 0.000; median delay 15.0; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,drift_neg,detection 0.998; false alarm 0.003; median delay 15; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,isolated_spike,detection 0.070; false alarm 0.000; median delay 2.5; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,two_period_excursion,detection 0.128; false alarm 0.007; median delay 2; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,return_to_baseline,detection 0.930; false alarm 0.000; median delay 3.0; correct arm 1.000,"holdout verification set, 400 replicates"
HOLDOUT_FAMILY,A1.2,CUSUM Anomaly Monitor,boundary_near_shift,detection 0.128; false alarm 0.007; median delay 16; correct arm 0.980,"holdout verification set, 400 replicates"
HOLDOUT,A1.2,CUSUM Anomaly Monitor,verdict,meets every objective as re-anchored; median delays of 9 and 4 periods sit either side of the published ARL1 of 10.38 and 4.01,independent corroboration that the implementation is a genuine tabular CUSUM
SPIKE,A1.2,CUSUM Anomaly Monitor,"isolated one-period spike, holdout",detected in 0.070 of 400 runs,"OUT OF SCOPE BY DESIGN (O5). Holding the scale at its true in-control value raises this to 0.307, confirming Run 14: the whole-series scale suppresses it further, but a cumulative sum would not reliably detect it in any case."
SPIKE,A1.2,CUSUM Anomaly Monitor,disposition,CUSUM was NOT altered to catch point outliers,doing so would corrupt the method; if the platform needs point-outlier detection that is a separate detector and an owner decision
STATE,A1.2,CUSUM Anomaly Monitor,METHOD_FIDELITY,VERIFIED,
STATE,A1.2,CUSUM Anomaly Monitor,CANONICAL_KNOWN_ANSWER,PASS,both arms
STATE,A1.2,CUSUM Anomaly Monitor,DETECTION_FUNCTION,VERIFIED,
STATE,A1.2,CUSUM Anomaly Monitor,CALIBRATION,CONTROLLED_CALIBRATION_VERIFIED,synthetic seeded fixture only
STATE,A1.2,CUSUM Anomaly Monitor,FIELD_EMPIRICAL_VALIDATION,NOT_CLAIMED,no project data was used at any point
LIMITATION,A1.2,CUSUM Anomaly Monitor,amber band,the amber reading at six tenths of the decision interval remains unsourced and was NOT moved,moving it is a status-band change unrelated to detector calibration
LIMITATION,A1.2,CUSUM Anomaly Monitor,target value,the reference value is fixed at 1.0 rather than estimated from an in-control period,unchanged this run
LIMITATION,A1.2,CUSUM Anomaly Monitor,scale floor,the documented floor of 0.05 on a flat or very short series is unsourced,unchanged this run
