module_id,module_name,prior_claim,evidence_available,corrected_claim,qualification,registry_derived,result,implementation_status,known_answer_verification_status,boundary_test_status,band_source_status,calibration_status,empirical_validation_status,canonical_structure_status,voting_status,permitted_claim
A1.11,ICE Ratio,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A2.1,PERT Network Criticality,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A2.2,Line of Balance,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A2.3,CCPM Buffer Health,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A2.4,Schedule Compression Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a custom compression ratio; no network-based crashing model or calibrated bands.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A2.5,Float Consumption Rate,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A2.6,S-Curve Deviation,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a single planned versus actual snapshot, not a longitudinal S-curve analysis.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,domain and boundary enumeration recorded in a committed audit artefact,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A2.7,Milestone Trend Analysis,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a simplified shift summary on real milestone history, bands uncalibrated.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A2.8,Look-Ahead Schedule Health,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A2.9,Resource Loading Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A2.10,Schedule Risk Analysis P80,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A2.11,Critical Path Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A3.1,Reference Class Forecasting,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A3.2,Contingency Burn Rate,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A3.3,Labor Productivity Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a labour-hours ratio, not an earned-output productivity model.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A3.4,Material Cost Variance,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A3.5,Overhead Absorption Rate,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a transparent ratio; validity depends on whether the indirect plan is total or period-to-date.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A3.6,Cost Risk Analysis P80,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A3.7,Analogous Estimating Ratio,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: an analogous-cost ratio; project selection, normalisation and adaptation ungoverned.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A3.8,Parametric Cost Index,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
A3.9,Inflation Adjustment Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a material-escalation ratio with no external price index, time base or geography.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,domain and boundary enumeration recorded in a committed audit artefact,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.1,Document Risk Score,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A4.2,RFI Velocity,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.3,Submittal Rejection Rate,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.4,NCR Rate,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A4.5,Weather Day Impact,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a lost-days over available-float ratio with ungoverned bands, computed only from verified lost days and a reported float figure.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.6,Change Order Frequency,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: contract growth plus a raw count; no time or exposure denominator.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.7,Dispute Escalation Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: an ad hoc 0.3 / 0.3 / 0.4 weighted sum; weights and dependence uncalibrated.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.8,Subcontractor Performance,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a precomputed compliance score; provenance and construction unvalidated.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.9,Procurement Lead Time Monitor,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A4.10,Specification Conflict Density,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A5.1,DSM Rework Propagation,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
