row_type,module,parameter,classification,applied,calibration_state,empirical_validation_state,allowed_under_policy,provenance
PARAMETER,A5.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A5.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A5.3,the scale applied to the document risk score before the deviations are ranked,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A5.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A5.5,"three weights on the same two capped counts and the cost index shortfall, plus two caps and a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The weights are an ad hoc split with no source. No publication, specification or owner policy in this repository fixes them, and no data exists from which they could be estimated."
PARAMETER,A5.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A5.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A5.8,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A6.1,a four band ladder over the quantity the module reports,UNSUPPORTED,REACHED_BUT_ASSERTS_NO_BAND,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A6.2,a four band ladder over the quantity the module reports,UNSUPPORTED,REACHED_BUT_ASSERTS_NO_BAND,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,A6.3,a three level ladder over a share of reported permit conditions met,UNSUPPORTED,REACHED_BUT_ASSERTS_NO_BAND,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"No permit authority, jurisdiction or version is carried with the conditions being assessed, and no committed authority in this repository supplies a compliance level. The reading is a count of reported conditions met and"
PARAMETER,A6.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,B1.2,four weights on the assembled signal bands,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The weights are an ad hoc split with no source. No publication, specification or owner policy in this repository fixes them, and no data exists from which they could be estimated."
PARAMETER,B1.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,B1.4,the FRACTION of the total signal count that sets the trigger of a worst N of M rule,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The rule is defined by a FIXED N out of M. This implementation triggers on a fraction of the total instead, so every benign signal that arrives raises the count needed and can switch an existing adverse set off. Repairin"
PARAMETER,B2.1,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.10,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.11,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.12,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.13,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.14,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.15,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.16,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.17,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.18,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.19,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.2,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.20,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.3,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.4,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.5,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.6,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.7,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.8,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B2.9,"designed memberships, masses or hesitancies with a band ladder",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The memberships, masses and hesitancies are designed constants. The theory this module belongs to specifies the algebra these numbers must satisfy and says nothing about what the numbers should be for a construction proj"
PARAMETER,B3.2,internal review levels and a band ladder,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"These are internal review levels and are NOT regulatory values. Cycle 2 removed the assertions that a named instrument sets them, because no provision cited anywhere in this repository does. Under the frozen regulatory s"
