check,result,detail
suitability:ccpm_has_buffer_and_chain,PASS,"['project_id', 'period_id', 'buffer_id', 'buffer_type', 'chain_id', 'original_buffer_days', 'remaining_buffer_days', 'chain_progress_fraction', 'buffer_sizing_method', 'data_origin', 'programme_version', 'package_version', 'generator_version', 'random_seed', 'not_for_empirical_validation', 'record_hash']"
suitability:queue_has_arrival_service_capacity_discipline,PASS,"['project_id', 'queue_id', 'entity_id', 'arrival_time_day', 'service_start_day', 'service_end_day', 'service_duration_days', 'wait_time_days', 'server_id', 'queue_discipline', 'data_origin', 'programme_version', 'package_version', 'generator_version', 'random_seed', 'not_for_empirical_validation', 'record_hash']"
suitability:abm_has_agents_states_rules_time,PASS,"['project_id', 'agent_id', 'agent_type', 'base_capacity_units', 'base_lead_time_steps', 'reliability', 'decision_rule_id', 'network_group', 'data_origin', 'programme_version', 'package_version', 'generator_version', 'random_seed', 'not_for_empirical_validation', 'record_hash']['project_id', 'time_step', 'agent_id', 'state', 'demand_units', 'delivered_units', 'inventory_end_units', 'effective_capacity_units', 'lead_time_steps', 'data_origin', 'programme_version', 'package_version', 'generator_version', 'random_seed', 'not_for_empirical_validation', 'record_hash']"
suitability:des_has_events_entities_resources_queue_clock,PASS,"['project_id', 'entity_id', 'event_id', 'event_type', 'queue_id', 'resource_id', 'event_arrival_day', 'event_start_day', 'event_end_day', 'wait_days', 'service_duration_days', 'routing_rule', 'data_origin', 'programme_version', 'package_version', 'generator_version', 'random_seed', 'not_for_empirical_validation', 'record_hash']"
suitability:dsm_is_project_specific,PASS,projects=6
suitability:cost_risk_has_three_point_ranges,PASS,"['project_id', 'risk_event_id', 'risk_name', 'probability', 'low_impact_usd', 'most_likely_impact_usd', 'high_impact_usd', 'data_origin', 'programme_version', 'package_version', 'generator_version', 'random_seed', 'not_for_empirical_validation', 'record_hash']"
known_answer:queue_mean_wait_reproduces,PASS,6 ground-truth rows
known_answer:ccpm_buffer_consumption_reproduces,PASS,36 ground-truth rows
suitability:ccpm_buffers_traceable_to_chain_activities,FAIL,"buffers carry chain_id but activities carry only a boolean flag, so a buffer cannot be traced to the activities of its chain"
suitability:ccpm_buffers_sized_from_activity_estimates,FAIL,"project buffers are a flat fifteen per cent of baseline, not sized from activity estimates"
suitability:abm_interaction_rules_defined,FAIL,agents carry decision_rule_id but no table defines what the rules are
confidentiality:no_emails_phones_or_ssns,PASS,[]
safety:no_executable_or_secret_files,PASS,[]
handoff_claim_present:MANIFEST.csv,FAIL,not supplied with the three archives
handoff_claim_present:validation_report.json,FAIL,not supplied with the three archives
handoff_claim_present:module_asset_map.csv,FAIL,not supplied with the three archives
handoff_claim_present:validators/validate_synthetic_programme.py,FAIL,not supplied with the three archives
handoff_claim_present:generators/generate_opus_synthetic_programme.py,FAIL,not supplied with the three archives
handoff_claim_present:schemas/schema_catalog.json,FAIL,not supplied with the three archives
