module_id,canonical_name,layer,category,enabled,disabled,voting,implementation_path,expected_method_from_registry,actual_method_implemented,required_inputs,canonical_structure_required,canonical_structure_used,test_cases_executed,nominal_result,expected_nominal_result,boundary_result,domain_result,missingness_result,malformed_input_result,canonical_structure_result,property_test_result,real_execution_path_result,mutation_proof_result,browser_parity_if_applicable,portfolio_behavior_if_applicable,observed_discrepancies,defect_class_if_observed,severity_if_observed,oracle_source,oracle_confidence,verification_limitations,production_change_required_to_match_current_contract,factual_result
A2.5,Float Consumption Rate,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_float_consumption,Float Consumption Rate,models_ext.run_float_consumption,"actualPctComplete, consumedFloat, totalFloat",,,39,"computed, band Green",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: totalFloat='not-a-number':TypeError; totalFloat=inf:OverflowError; totalFloat=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A2.6,S-Curve Deviation,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_scurve_deviation,S-Curve Deviation,"models_ext.run_scurve_deviation (proxy: a single planned versus actual snapshot, not a longitudinal S-curve analysis)","actualPctComplete, ev, plannedPctComplete, pv",,,48,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"4 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: pv",4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (10 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A2.7,Milestone Trend Analysis,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_milestone_trend,Milestone Trend Analysis,"models_ext.run_milestone_trend (proxy: a simplified shift summary on real milestone history, bands uncalibrated)",milestoneHistory,,,11,ABSTAINED: Milestone names not comparable across periods,value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,1 single-input removals exercised; no removal improved the reading,6 malformed values x 1 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: comparison operators reversed (7 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A2.8,Look-Ahead Schedule Health,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_lookahead_health,Look-Ahead Schedule Health,models_ext.run_lookahead_health,"activitiesConstrained, activitiesPlanned",,,26,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: activitiesPlanned",2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: activitiesConstrained='not-a-number':TypeError; activitiesConstrained=nan:ValueError; activitiesConstrained=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py, test_run7_fix_now_defects.py",MEDIUM,,,MATCH
A2.9,Resource Loading Index,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_resource_loading,Resource Loading Index,models_ext.run_resource_loading,"actualLaborHours, plannedLaborHours",,,26,"computed, band Green",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (12 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A2.10,Schedule Risk Analysis P80,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_schedule_risk,Schedule Risk Analysis P80,models_ext.run_schedule_risk,"actualPctComplete, baselineEnd, baselineStart, spi",,,40,"computed, band Red",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: spi",4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: spi='not-a-number':TypeError; spi=[]:TypeError; spi={}:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (7 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A2.11,Critical Path Index,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_critical_path_index,Critical Path Index,models_ext.run_critical_path_index,"actualPctComplete, plannedPctComplete, spi",,,37,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; out-of-domain favourable banding: actualPctComplete=impossible-large; no upper bound on an unbounded quantity, a very large value bands better: spi",3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: actualPctComplete='not-a-number':TypeError; actualPctComplete=nan:non-finite output; actualPctComplete=inf:non-finite output,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,out-of-domain input read as Green: actualPctComplete=impossible-large,out-of-domain input read as Green: actualPctComplete=impossible-large,ADVISORY ONLY,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MISMATCH
A3.1,Reference Class Forecasting,PROJECT,A3,YES,NO,NO,server/app/simulation/models.py::run_rcf,Reference Class Forecasting,models.run_rcf,,,,4,"ABSTAINED: Insufficient data: no reference class of comparable completed projects is held, so there is no distribution of realised overruns to place this project against. ",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded",UNCONDITIONAL_ABSTENTION_NO_FAULT_POSSIBLE: no fault site exists,recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run7_fix_now_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A3.2,Contingency Burn Rate,PROJECT,A3,YES,NO,NO,server/app/simulation/models_ext.py::run_contingency_burn,Contingency Burn Rate,models_ext.run_contingency_burn,"actualPctComplete, originalContingency, remainingContingency",,,37,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained; out-of-domain favourable banding: actualPctComplete=impossible-large,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: actualPctComplete='not-a-number':TypeError; actualPctComplete=inf:OverflowError; actualPctComplete=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (7 sites, isolated copy)",recorded by the Gate 10 pass,,out-of-domain input read as Green: actualPctComplete=impossible-large,out-of-domain input read as Green: actualPctComplete=impossible-large,ADVISORY ONLY,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MISMATCH
A3.3,Labor Productivity Index,PROJECT,A3,YES,NO,NO,server/app/simulation/models_ext.py::run_labor_productivity,Labor Productivity Index,"models_ext.run_labor_productivity (proxy: a labour-hours ratio, not an earned-output productivity model)","actualLaborHours, actualPctComplete, plannedLaborHours",,,37,"computed, band Red",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; out-of-domain favourable banding: actualPctComplete=impossible-large; no upper bound on an unbounded quantity, a very large value bands better: actualLaborHours",3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,out-of-domain input read as Green: actualPctComplete=impossible-large,out-of-domain input read as Green: actualPctComplete=impossible-large,ADVISORY ONLY,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MISMATCH
A3.4,Material Cost Variance,PROJECT,A3,YES,NO,NO,server/app/simulation/models_ext.py::run_material_cost_variance,Material Cost Variance,models_ext.run_material_cost_variance,"actualPctComplete, materialCostBaseline, materialCostCurrent",,,37,"computed, band Red",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: actualPctComplete='not-a-number':TypeError; actualPctComplete=inf:ValueError; actualPctComplete=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (5 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A3.5,Overhead Absorption Rate,PROJECT,A3,YES,NO,NO,server/app/simulation/models_ext.py::run_overhead_absorption,Overhead Absorption Rate,models_ext.run_overhead_absorption (proxy: a transparent ratio; validity depends on whether the indirect plan is total or p),"actualPctComplete, indirectCostActual, indirectCostPlan",,,37,"computed, band Red",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; out-of-domain favourable banding: actualPctComplete=impossible-large; no upper bound on an unbounded quantity, a very large value bands better: indirectCostActual",3 single-input removals exercised; removal improved the reading: actualPctComplete->Yellow,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: actualPctComplete='not-a-number':TypeError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,removing evidence improved the reading: actualPctComplete->Yellow; out-of-domain input read as Green: actualPctComplete=impossible-large,removing evidence improved the reading: actualPctComplete->Yellow; out-of-domain input read as Green: actualPctComplete=,ADVISORY ONLY,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MISMATCH
