module_id,module_name,category,outcome,status_color,abstention_reason_code,reason_or_metric
A6.2,Safety Performance Index,A6,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
A6.3,Environmental Compliance Rate,A6,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
A6.4,Contractor Performance Assessment Signal,A6,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
B1.1,Conservative Dominance,B1,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place. This computation reads an assembled signal package. It was supplied the cost and schedule indices, the performance tren"
B1.2,Weighted Voting,B1,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place. This computation reads an assembled signal package. It was supplied the cost and schedule indices, the performance tren"
B1.3,Majority Rules,B1,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place. This computation reads an assembled signal package. It was supplied the cost and schedule indices, the performance tren"
B1.4,Worst-N-of-M,B1,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place. This computation reads an assembled signal package. It was supplied the cost and schedule indices, the performance tren"
B2.18,MARCOS Ranking,B2,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
B3.1,Agent-Based Governance Model,B3,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place. This computation reads an assembled signal package. It was supplied the cost and schedule indices, the performance tren"
B3.2,FAR/Agency EVMS Applicability Monitor,B3,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
B3.3,Versioned A-11 Capital Programming Conformance Check,B3,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
B3.4,EVMS Reporting Compliance Monitor,B3,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
B3.5,Contract Modification Governance Check,B3,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
B4.3,Constraint Satisfaction Analysis,B4,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
B4.4,What-If Scenario Matrix,B4,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
C1.1,Missing Data Index,C1,ABSTAINED,,canonical_structure_absent,"Awaiting the required-input contract for the module or use being assessed. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
C1.2,Data Timeliness Score,C1,ABSTAINED,,canonical_structure_absent,"Awaiting a governed evidence date and freshness rule. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
C1.3,Source Reliability Weighting,C1,ABSTAINED,,canonical_structure_absent,"Awaiting a governed source provenance record. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
C1.4,Audit Trail Completeness,C1,ABSTAINED,,canonical_structure_absent,"Awaiting a governed audit chain record. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
C1.5,Information Completeness Ratio,C1,ABSTAINED,,canonical_structure_absent,"Awaiting a governed information package definition. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
C1.6,Cross-document Consistency Score,C1,ABSTAINED,,canonical_structure_absent,"Awaiting a governed cross-document fact set. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
C1.7,Reporting Frequency Index,C1,ABSTAINED,,canonical_structure_absent,"Awaiting a governed reporting cadence record and report history. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
