canonical_id,current_registered_name,name_run27_recorded,approved_v3_name,run27_scientific_disposition,run27_primary_remediation,run27_secondary_remediation,data_requirement,method_requirement,cal_requirement,validate_requirement,lineage_requirement,v3_structure_key,existing_evidence,run28_objective,post_run28_disposition,declared_lineage_bodies,voting,operationally_disabled,remaining_work_and_run
A1.11,Independent EAC Reconciliation Index,ICE Ratio,Independent EAC Reconciliation Index,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,an independently prepared estimate carrying: estimator identity and independence attestation; estimate date; the scope baseline version estimated; the estimating method used; the estimate value with its confidence basis; and the WBS level of detail,Independent Cost Estimate Record,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as SAME_SOURCE_TRANSFORM; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,independentEacPair,two provenance-distinct estimates whose independence is CHECKED at run time: the method and the responsible party must both differ,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,INDEPENDENT_COST_ESTIMATE,no,no,Run 33: reconciliation bands. corpus: no independent estimate is collected today
A2.1,PERT Network Criticality,PERT Network Criticality,,CORRECT_ABSTENTION,DATA,LINEAGE VALIDATE,"activity id; activity name; deterministic duration; predecessor and successor relationships with relationship type and lag; calendar id and working-day definition; data date / status date; baseline start and finish per activity; actual start and finish per activity; remaining duration; total float and free float per activity; constraint type and date where one is imposed; WBS parent; plus, for a sampling run: a duration distribution family and its parameters per activity (or three-point optimistic / most likely / pessimistic), the correlation or dependence structure between activity durations, and the risk-event-to-activity mapping with probability and impact",Schedule Network Data,"no tunable value: the module carries no threshold, weight or boundary of its own. Calibration status: NOT_APPLICABLE.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,scheduleNetwork,a governed activity network with three-point durations; every trial redraws every duration and recomputes the forward and backward passes,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,corpus: no activity network is extracted from any document type today
A2.2,Line of Balance,Line of Balance,,CORRECT_ABSTENTION,DATA,METHOD LINEAGE CAL VALIDATE,"repetitive unit ids and their sequence; per activity and per unit, planned start and finish and actual start and finish; the planned production rate per activity; the target buffer between successive activities; and the status date",Repetitive Work Production Table,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",Category-9 qualification FAIL recorded by the re-audit; no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,lobStructure,"the line of balance already required since Run 10B, now carrying the PLANNED production rate beside the actual one so deterioration is visible",CANONICAL_EXTENDED_CALIBRATION_PENDING,CANONICAL_EXTENDED_CALIBRATION_PENDING,,no,no,Run 33: no boundary for a production rate ratio is established
A2.3,CCPM Buffer Health,CCPM Buffer Health,,CORRECT_ABSTENTION,DATA,METHOD LINEAGE CAL VALIDATE,the identified critical chain; the project buffer size and its origin; feeding buffers with their sizes and the chains they protect; buffer consumed to date; and the percentage of the protected chain complete,Critical Chain Buffer Register,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",Category-9 qualification FAIL recorded by the re-audit; no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,ccpmStructure,"the critical chain and sized buffer already required since Run 10B, now reporting the contract's buffer consumed and buffer consumption ratio",CANONICAL_EXTENDED_CALIBRATION_PENDING,CANONICAL_EXTENDED_CALIBRATION_PENDING,,no,no,Run 33: the fever-chart lines are reported as the policy lines they are and no colour is asserted from them
A2.4,Schedule Compression Index,Schedule Compression Index,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,activity id; activity name; deterministic duration; predecessor and successor relationships with relationship type and lag; calendar id and working-day definition; data date / status date; baseline start and finish per activity; actual start and finish per activity; remaining duration; total float and free float per activity; constraint type and date where one is imposed; WBS parent; plus a crash duration and a cost slope per crashable activity,Schedule Network Data with Crash Cost Table,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,scheduleNetwork,the schedule network's reconciled baseline and current remaining durations at one governed status basis,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,Run 33: compression bands. corpus: no activity network today
A2.5,Float Consumption Rate,Float Consumption Rate,,METHOD_PASS_CALIBRATION_PENDING,LINEAGE,CAL VALIDATE,,,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,scheduleNetwork,"float from the network's own forward and backward passes, against the baseline float the network states",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,Run 33: float bands. corpus: no activity network today
A2.6,S-Curve Deviation,S-Curve Deviation,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,a time-phased planned curve and the matching actual series: period start and end; the planned value planned to be earned in that period; the cumulative planned value at each period end; the budget at completion the curve integrates to; the baseline id and baseline approval date the curve belongs to; the units and currency; plus the actual cumulative earned value at each of the same period ends,Time-Phased Baseline Curve plus Reporting History Series,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,timePhasedBaseline,the time-phased baseline and the matching actual series on one measurement basis; a single point is reported as a point and never as a trend,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,Run 33: S-curve bands. corpus: no cumulative series today
A2.7,Milestone Trend Analysis,Milestone Trend Analysis,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,"the baseline date for each milestone, and at least three dated snapshots of the forecast date for the same milestone with a stable milestone identifier rather than a name match","Milestone Forecast History (milestone id, milestone name, baseline date, per snapshot: report date and forecast date, status)","a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,milestoneForecastHistory,"WIRED FROM THE CORPUS by this run: documents.py assembles a milestone forecast history from the baseline finish dates already extracted per activity and stored per period, so variance against the original commitment is measurable on real documents for the first time",CANONICAL_IMPLEMENTED_AND_WIRED,CANONICAL_IMPLEMENTED_AND_WIRED,,no,no,Run 33: slip bands
A2.8,Look-Ahead Schedule Health,Look-Ahead Schedule Health,,CORRECT_ABSTENTION,LINEAGE,CAL VALIDATE,,,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,lookAheadSchedule,"a governed look-ahead inventory: the window, the activity identities, each activity's constraint status and the category of each open constraint",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,"Run 33: readiness bands, which the contract names as policy. corpus: no constraint inventory today"
A2.9,Resource Loading Index,Resource Loading Index,,METHOD_PASS_CALIBRATION_PENDING,LINEAGE,CAL VALIDATE,,,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,resourceProfile,a time-phased resource profile: demand against available capacity per period and per resource type,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,Run 33: load bands. corpus: no capacity figure is collected today
A2.10,Schedule Risk Analysis P80,Schedule Risk Analysis P80,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,"activity id; activity name; deterministic duration; predecessor and successor relationships with relationship type and lag; calendar id and working-day definition; data date / status date; baseline start and finish per activity; actual start and finish per activity; remaining duration; total float and free float per activity; constraint type and date where one is imposed; WBS parent; plus, for a sampling run: a duration distribution family and its parameters per activity (or three-point optimistic / most likely / pessimistic), the correlation or dependence structure between activity durations, and the risk-event-to-activity mapping with probability and impact",Schedule Network Data with duration distributions,"an uplift multiplier, a floor under the index shortfall, and a band ladder [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,scheduleNetwork,"Monte Carlo over the schedule network, recomputing the network every trial, with the empirical quantile convention frozen for the whole v3 line",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,corpus: no activity network and no duration distributions today
A2.11,Critical Path Index,Critical Path Index,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,"activity id; activity name; deterministic duration; predecessor and successor relationships with relationship type and lag; calendar id and working-day definition; data date / status date; baseline start and finish per activity; actual start and finish per activity; remaining duration; total float and free float per activity; constraint type and date where one is imposed; WBS parent; plus, for a sampling run: a duration distribution family and its parameters per activity (or three-point optimistic / most likely / pessimistic), the correlation or dependence structure between activity durations, and the risk-event-to-activity mapping with probability and impact",Schedule Network Data with duration distributions,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,scheduleNetwork,"the CPM forward and backward passes: project finish, critical activities and total float per activity",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,corpus: no activity network today. The registered name is kept in Run 28 on the owner's instruction
A3.1,Reference Class Forecasting,Reference Class Forecasting,,CORRECT_ABSTENTION,DATA,LINEAGE VALIDATE,"a population of completed projects with, per project: project id; project type / asset class; delivery method; region; currency and price base year; approved baseline cost and baseline duration at the decision point the class is anchored to; realised final cost and realised final duration; scope-change indicator; inclusion and exclusion criteria applied; the normalisation and adaptation variables (size, complexity, escalation base) used to make the class comparable; and the data vintage of each record",Reference-Class Dataset,"no tunable value: the module carries no threshold, weight or boundary of its own. Calibration status: NOT_APPLICABLE.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,referenceClassPopulation,"a governed reference class with inclusion and exclusion criteria, an outcome definition, normalization, a data vintage and a governed percentile",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,corpus: no population of completed comparable projects is held
A3.2,Contingency Burn Rate,Contingency Burn Rate,,CORRECT_ABSTENTION,DATA,LINEAGE CAL VALIDATE,"the risk register with, per risk: risk id, the contingency allocated to it, its status (open, realised, retired) and the date of the status change; so that drawdown can be read against risk retirement rather than against percent complete","Contingency Drawdown Ledger (risk id, allocation, drawdown transactions with date and amount, risk status history)","a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,,"the consumed fraction and the progress-normalised burn, both unchanged; the four-band ladder is removed because the contract supplies no universal bands",CANONICAL_RETAINED_BANDS_REMOVED,CANONICAL_RETAINED_BANDS_REMOVED,,no,no,Run 33: threshold calibration
A3.3,Labor Productivity Index,Labor Productivity Index,,CORRECT_PROXY_ONLY,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,"an output measure to earn against: quantity installed per work item with its unit of measure, and the budgeted hours per unit of that quantity. Labour hours alone give a ratio of hours to percent complete, not productivity","Quantity and Unit Rate Table (work item id, unit of measure, budgeted quantity, quantity installed to date, budgeted hours per unit, actual hours charged)","a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,productionOutputRecord,"a production record: the installed and planned quantities, the unit both are counted in, and the labour hours each took",CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,CANONICAL_IMPLEMENTED_STRUCTURE_REQUIRED,,no,no,corpus: no installed quantity is extracted today
A3.4,Material Cost Variance,Material Cost Variance,,EXCLUDED_DISABLED,,,,,,,,,"not executed, not reactivated, not deleted; its registry entry and audit lineage are retained exactly as Run 16 left them",REGISTERED_DISABLED_UNCHANGED,REGISTERED_DISABLED_UNCHANGED,,no,yes,owner: the evidence and context decision remains open
