gap,check,project_or_problem,period,quantity,recomputed,stored,verdict
A NCR,ncr,PRJ-HWY,P04,ncr_closed_to_date,7,7,agrees
A NCR,ncr,PRJ-HWY,P04,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HWY,P04,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HWY,P04,cumulative_inspections,111,111,agrees
A NCR,ncr,PRJ-HWY,P04,ncr_incidence_per_100_inspections,6.30630631,6.30630631,agrees
A NCR,ncr,PRJ-HWY,P04,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-HWY,P04,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P04,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P04,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P05,ncr_issued_to_date,15,15,agrees
A NCR,ncr,PRJ-HWY,P05,ncr_closed_to_date,11,11,agrees
A NCR,ncr,PRJ-HWY,P05,ncr_open_at_cutoff,4,4,agrees
A NCR,ncr,PRJ-HWY,P05,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HWY,P05,cumulative_inspections,144,144,agrees
A NCR,ncr,PRJ-HWY,P05,ncr_incidence_per_100_inspections,10.41666667,10.41666667,agrees
A NCR,ncr,PRJ-HWY,P05,closure_ratio,0.73333333,0.73333333,agrees
A NCR,ncr,PRJ-HWY,P05,open_ratio,0.26666667,0.26666667,agrees
A NCR,ncr,PRJ-HWY,P05,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P05,mean_open_age_days,6.0,6.0,agrees
A NCR,ncr,PRJ-HWY,P06,ncr_issued_to_date,16,16,agrees
A NCR,ncr,PRJ-HWY,P06,ncr_closed_to_date,13,13,agrees
A NCR,ncr,PRJ-HWY,P06,ncr_open_at_cutoff,3,3,agrees
A NCR,ncr,PRJ-HWY,P06,ncr_overdue_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-HWY,P06,cumulative_inspections,182,182,agrees
A NCR,ncr,PRJ-HWY,P06,ncr_incidence_per_100_inspections,8.79120879,8.79120879,agrees
A NCR,ncr,PRJ-HWY,P06,closure_ratio,0.8125,0.8125,agrees
A NCR,ncr,PRJ-HWY,P06,open_ratio,0.1875,0.1875,agrees
A NCR,ncr,PRJ-HWY,P06,overdue_open_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-HWY,P06,mean_open_age_days,41.0,41.0,agrees
A NCR,ncr,PRJ-HSP,P01,ncr_issued_to_date,2,2,agrees
A NCR,ncr,PRJ-HSP,P01,ncr_closed_to_date,1,1,agrees
A NCR,ncr,PRJ-HSP,P01,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-HSP,P01,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HSP,P01,cumulative_inspections,25,25,agrees
A NCR,ncr,PRJ-HSP,P01,ncr_incidence_per_100_inspections,8.0,8.0,agrees
A NCR,ncr,PRJ-HSP,P01,closure_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-HSP,P01,open_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-HSP,P01,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HSP,P01,mean_open_age_days,9.0,9.0,agrees
A NCR,ncr,PRJ-HSP,P02,ncr_issued_to_date,3,3,agrees
A NCR,ncr,PRJ-HSP,P02,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-HSP,P02,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-HSP,P02,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HSP,P02,cumulative_inspections,51,51,agrees
A NCR,ncr,PRJ-HSP,P02,ncr_incidence_per_100_inspections,5.88235294,5.88235294,agrees
A NCR,ncr,PRJ-HSP,P02,closure_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-HSP,P02,open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-HSP,P02,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HSP,P02,mean_open_age_days,11.0,11.0,agrees
A NCR,ncr,PRJ-HSP,P03,ncr_issued_to_date,3,3,agrees
A NCR,ncr,PRJ-HSP,P03,ncr_closed_to_date,3,3,agrees
A NCR,ncr,PRJ-HSP,P03,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HSP,P03,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HSP,P03,cumulative_inspections,79,79,agrees
A NCR,ncr,PRJ-HSP,P03,ncr_incidence_per_100_inspections,3.79746835,3.79746835,agrees
A NCR,ncr,PRJ-HSP,P03,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-HSP,P03,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HSP,P03,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HSP,P03,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-HSP,P04,ncr_issued_to_date,5,5,agrees
A NCR,ncr,PRJ-HSP,P04,ncr_closed_to_date,4,4,agrees
A NCR,ncr,PRJ-HSP,P04,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-HSP,P04,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HSP,P04,cumulative_inspections,110,110,agrees
A NCR,ncr,PRJ-HSP,P04,ncr_incidence_per_100_inspections,4.54545455,4.54545455,agrees
A NCR,ncr,PRJ-HSP,P04,closure_ratio,0.8,0.8,agrees
A NCR,ncr,PRJ-HSP,P04,open_ratio,0.2,0.2,agrees
A NCR,ncr,PRJ-HSP,P04,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HSP,P04,mean_open_age_days,10.0,10.0,agrees
A NCR,ncr,PRJ-HSP,P05,ncr_issued_to_date,9,9,agrees
A NCR,ncr,PRJ-HSP,P05,ncr_closed_to_date,6,6,agrees
A NCR,ncr,PRJ-HSP,P05,ncr_open_at_cutoff,3,3,agrees
A NCR,ncr,PRJ-HSP,P05,ncr_overdue_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-HSP,P05,cumulative_inspections,145,145,agrees
A NCR,ncr,PRJ-HSP,P05,ncr_incidence_per_100_inspections,6.20689655,6.20689655,agrees
A NCR,ncr,PRJ-HSP,P05,closure_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-HSP,P05,open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-HSP,P05,overdue_open_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-HSP,P05,mean_open_age_days,12.33333333,12.33333333,agrees
A NCR,ncr,PRJ-HSP,P06,ncr_issued_to_date,12,12,agrees
A NCR,ncr,PRJ-HSP,P06,ncr_closed_to_date,8,8,agrees
A NCR,ncr,PRJ-HSP,P06,ncr_open_at_cutoff,4,4,agrees
A NCR,ncr,PRJ-HSP,P06,ncr_overdue_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-HSP,P06,cumulative_inspections,185,185,agrees
A NCR,ncr,PRJ-HSP,P06,ncr_incidence_per_100_inspections,6.48648649,6.48648649,agrees
A NCR,ncr,PRJ-HSP,P06,closure_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-HSP,P06,open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-HSP,P06,overdue_open_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-HSP,P06,mean_open_age_days,38.25,38.25,agrees
A NCR,ncr,PRJ-WTR,P01,ncr_issued_to_date,0,0,agrees
A NCR,ncr,PRJ-WTR,P01,ncr_closed_to_date,0,0,agrees
A NCR,ncr,PRJ-WTR,P01,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-WTR,P01,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-WTR,P01,cumulative_inspections,21,21,agrees
A NCR,ncr,PRJ-WTR,P01,ncr_incidence_per_100_inspections,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P01,closure_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P01,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P01,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P01,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P02,ncr_issued_to_date,1,1,agrees
A NCR,ncr,PRJ-WTR,P02,ncr_closed_to_date,0,0,agrees
A NCR,ncr,PRJ-WTR,P02,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-WTR,P02,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-WTR,P02,cumulative_inspections,49,49,agrees
A NCR,ncr,PRJ-WTR,P02,ncr_incidence_per_100_inspections,2.04081633,2.04081633,agrees
A NCR,ncr,PRJ-WTR,P02,closure_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P02,open_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-WTR,P02,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P02,mean_open_age_days,17.0,17.0,agrees
A NCR,ncr,PRJ-WTR,P03,ncr_issued_to_date,3,3,agrees
A NCR,ncr,PRJ-WTR,P03,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-WTR,P03,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-WTR,P03,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-WTR,P03,cumulative_inspections,76,76,agrees
A NCR,ncr,PRJ-WTR,P03,ncr_incidence_per_100_inspections,3.94736842,3.94736842,agrees
A NCR,ncr,PRJ-WTR,P03,closure_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-WTR,P03,open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-WTR,P03,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P03,mean_open_age_days,10.0,10.0,agrees
A NCR,ncr,PRJ-WTR,P04,ncr_issued_to_date,5,5,agrees
A NCR,ncr,PRJ-WTR,P04,ncr_closed_to_date,4,4,agrees
A NCR,ncr,PRJ-WTR,P04,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-WTR,P04,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-WTR,P04,cumulative_inspections,106,106,agrees
A NCR,ncr,PRJ-WTR,P04,ncr_incidence_per_100_inspections,4.71698113,4.71698113,agrees
A NCR,ncr,PRJ-WTR,P04,closure_ratio,0.8,0.8,agrees
A NCR,ncr,PRJ-WTR,P04,open_ratio,0.2,0.2,agrees
A NCR,ncr,PRJ-WTR,P04,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P04,mean_open_age_days,8.0,8.0,agrees
A NCR,ncr,PRJ-WTR,P05,ncr_issued_to_date,8,8,agrees
A NCR,ncr,PRJ-WTR,P05,ncr_closed_to_date,5,5,agrees
A NCR,ncr,PRJ-WTR,P05,ncr_open_at_cutoff,3,3,agrees
A NCR,ncr,PRJ-WTR,P05,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-WTR,P05,cumulative_inspections,142,142,agrees
A NCR,ncr,PRJ-WTR,P05,ncr_incidence_per_100_inspections,5.63380282,5.63380282,agrees
A NCR,ncr,PRJ-WTR,P05,closure_ratio,0.625,0.625,agrees
A NCR,ncr,PRJ-WTR,P05,open_ratio,0.375,0.375,agrees
A NCR,ncr,PRJ-WTR,P05,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-WTR,P05,mean_open_age_days,7.33333333,7.33333333,agrees
A NCR,ncr,PRJ-WTR,P06,ncr_issued_to_date,10,10,agrees
A NCR,ncr,PRJ-WTR,P06,ncr_closed_to_date,8,8,agrees
A NCR,ncr,PRJ-WTR,P06,ncr_open_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-WTR,P06,ncr_overdue_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-WTR,P06,cumulative_inspections,182,182,agrees
A NCR,ncr,PRJ-WTR,P06,ncr_incidence_per_100_inspections,5.49450549,5.49450549,agrees
A NCR,ncr,PRJ-WTR,P06,closure_ratio,0.8,0.8,agrees
A NCR,ncr,PRJ-WTR,P06,open_ratio,0.2,0.2,agrees
A NCR,ncr,PRJ-WTR,P06,overdue_open_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-WTR,P06,mean_open_age_days,30.5,30.5,agrees
A NCR,ncr,PRJ-RAL,P01,ncr_issued_to_date,1,1,agrees
A NCR,ncr,PRJ-RAL,P01,ncr_closed_to_date,0,0,agrees
A NCR,ncr,PRJ-RAL,P01,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-RAL,P01,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P01,cumulative_inspections,24,24,agrees
A NCR,ncr,PRJ-RAL,P01,ncr_incidence_per_100_inspections,4.16666667,4.16666667,agrees
A NCR,ncr,PRJ-RAL,P01,closure_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P01,open_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-RAL,P01,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P01,mean_open_age_days,15.0,15.0,agrees
A NCR,ncr,PRJ-RAL,P02,ncr_issued_to_date,2,2,agrees
A NCR,ncr,PRJ-RAL,P02,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-RAL,P02,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P02,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P02,cumulative_inspections,48,48,agrees
A NCR,ncr,PRJ-RAL,P02,ncr_incidence_per_100_inspections,4.16666667,4.16666667,agrees
A NCR,ncr,PRJ-RAL,P02,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-RAL,P02,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P02,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P02,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P03,ncr_issued_to_date,2,2,agrees
A NCR,ncr,PRJ-RAL,P03,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-RAL,P03,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P03,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P03,cumulative_inspections,79,79,agrees
A NCR,ncr,PRJ-RAL,P03,ncr_incidence_per_100_inspections,2.53164557,2.53164557,agrees
A NCR,ncr,PRJ-RAL,P03,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-RAL,P03,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P03,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P03,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P04,ncr_issued_to_date,4,4,agrees
A NCR,ncr,PRJ-RAL,P04,ncr_closed_to_date,3,3,agrees
A NCR,ncr,PRJ-RAL,P04,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-RAL,P04,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P04,cumulative_inspections,109,109,agrees
A NCR,ncr,PRJ-RAL,P04,ncr_incidence_per_100_inspections,3.66972477,3.66972477,agrees
A NCR,ncr,PRJ-RAL,P04,closure_ratio,0.75,0.75,agrees
A NCR,ncr,PRJ-RAL,P04,open_ratio,0.25,0.25,agrees
A NCR,ncr,PRJ-RAL,P04,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P04,mean_open_age_days,12.0,12.0,agrees
A NCR,ncr,PRJ-RAL,P05,ncr_issued_to_date,6,6,agrees
A NCR,ncr,PRJ-RAL,P05,ncr_closed_to_date,4,4,agrees
A NCR,ncr,PRJ-RAL,P05,ncr_open_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-RAL,P05,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P05,cumulative_inspections,143,143,agrees
A NCR,ncr,PRJ-RAL,P05,ncr_incidence_per_100_inspections,4.1958042,4.1958042,agrees
A NCR,ncr,PRJ-RAL,P05,closure_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-RAL,P05,open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-RAL,P05,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P05,mean_open_age_days,4.5,4.5,agrees
A NCR,ncr,PRJ-RAL,P06,ncr_issued_to_date,13,13,agrees
A NCR,ncr,PRJ-RAL,P06,ncr_closed_to_date,9,9,agrees
A NCR,ncr,PRJ-RAL,P06,ncr_open_at_cutoff,4,4,agrees
A NCR,ncr,PRJ-RAL,P06,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-RAL,P06,cumulative_inspections,180,180,agrees
A NCR,ncr,PRJ-RAL,P06,ncr_incidence_per_100_inspections,7.22222222,7.22222222,agrees
A NCR,ncr,PRJ-RAL,P06,closure_ratio,0.69230769,0.69230769,agrees
A NCR,ncr,PRJ-RAL,P06,open_ratio,0.30769231,0.30769231,agrees
A NCR,ncr,PRJ-RAL,P06,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-RAL,P06,mean_open_age_days,9.5,9.5,agrees
A NCR,ncr,PRJ-DCT,P01,ncr_issued_to_date,1,1,agrees
A NCR,ncr,PRJ-DCT,P01,ncr_closed_to_date,0,0,agrees
A NCR,ncr,PRJ-DCT,P01,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-DCT,P01,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-DCT,P01,cumulative_inspections,23,23,agrees
A NCR,ncr,PRJ-DCT,P01,ncr_incidence_per_100_inspections,4.34782609,4.34782609,agrees
A NCR,ncr,PRJ-DCT,P01,closure_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P01,open_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-DCT,P01,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P01,mean_open_age_days,13.0,13.0,agrees
A NCR,ncr,PRJ-DCT,P02,ncr_issued_to_date,1,1,agrees
A NCR,ncr,PRJ-DCT,P02,ncr_closed_to_date,1,1,agrees
A NCR,ncr,PRJ-DCT,P02,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-DCT,P02,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-DCT,P02,cumulative_inspections,48,48,agrees
A NCR,ncr,PRJ-DCT,P02,ncr_incidence_per_100_inspections,2.08333333,2.08333333,agrees
A NCR,ncr,PRJ-DCT,P02,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-DCT,P02,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P02,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P02,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P03,ncr_issued_to_date,3,3,agrees
A NCR,ncr,PRJ-DCT,P03,ncr_closed_to_date,3,3,agrees
A NCR,ncr,PRJ-DCT,P03,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-DCT,P03,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-DCT,P03,cumulative_inspections,76,76,agrees
A NCR,ncr,PRJ-DCT,P03,ncr_incidence_per_100_inspections,3.94736842,3.94736842,agrees
A NCR,ncr,PRJ-DCT,P03,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-DCT,P03,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P03,overdue_open_ratio,0.0,0.0,agrees
