fault_id,module/system,invariant,baseline command,mutation target,mutation description,mutation applied?,fault command,process exit code,anchored RESULT present?,expected RED reason,actual RED reason,crash?,unrelated failure?,restored?,restored GREEN?,final status,notes
11,B4.4 What-If Scenario Matrix (canonical_v7._matrix),a matrix with a hole is not a complete matrix: a decision rule over an incomplete matrix would silently treat an unknown outcome as known,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,replace 'if missing:',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.4 an incomplete matrix is refused rather than partially compared,10.4 an incomplete matrix is refused rather than partially compared,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
12,B4.5 Decision Sensitivity Matrix (canonical_v7.decision_sensitivity),a decision model must be PERTURBED and the ranking RECOMPUTED; ranking today's KPI deviations is not decision sensitivity,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'swept = [p for p in params if p.get(""perturbation"") == ""sweep""]'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.5 abstains when nothing is declared as swept,10.5 abstains when nothing is declared as swept,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
13,B4.5 Decision Sensitivity Matrix (canonical_v7.decision_sensitivity),"the ranking crossover for A=(0.9,0.4) and B=(0.6,0.8) is EXACTLY w = 4/7, solved as a linear equation rather than detected by sampling",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,replace 'w = -intercept / slope',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.5 the crossover is exactly 4/7,10.5 the crossover is exactly 4/7; 10.5 the crossover is not a sampled grid point,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
14,B4.6 Pareto Frontier Analysis (canonical_v7.pareto_frontier),"D=(13,9) is dominated and must never appear on the frontier",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'front, dominated = _nondominated(feasible, criteria)'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.6 D is off the frontier,10.6 frontier is A B C; 10.6 D is off the frontier; 10.6 frontier is identical under all 24 input orderings; 10.6 duplicate objective vectors both remain on the frontier; 10.6 reading the same numbers as benefits changes the frontier to D,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
15,B4.6 Pareto Frontier Analysis (canonical_v7._nondominated),a frontier that depends on the order the alternatives were offered in is not a frontier: the result is identical across all 24 orderings,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'dominators = [b[""alternative_id""] for b in alternatives'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.6 frontier is identical under all 24 input orderings,10.6 frontier is identical under all 24 input orderings; 10.6 reading the same numbers as benefits changes the frontier to D,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
16,B4.7 Minimax Regret Decision Rule (canonical_v7.minimax_regret),under the supplied matrix the minimax-regret alternative is B with value 4; A and C both carry a maximum regret of 8,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,replace 'lowest = min(max_regret.values())',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.7 minimax-regret alternative is B,10.7 minimax-regret alternative is B; 10.7 minimax regret value is 4; 10.7 no tie is reported for this matrix; 10.7 a tie returns every tied alternative,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
17,B4.7 Minimax Regret Decision Rule (canonical_v7.minimax_regret),orientation is DECLARED and never assumed: reading a cost matrix as payoffs inverts every regret,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v7.py,"replace 'best_in_scenario[s] = max(vals) if m[""orientation""] == BENEFIT else mi'",YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,10.7 the same numbers read as costs give different regrets,10.7 the same numbers read as costs give different regrets,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
18,B4.7 / the Category-10 authority boundary (models_cat10._authority_fields),NO ALGORITHM EXERCISES HUMAN APPROVAL AUTHORITY. Every Category-10 row is an ANALYTICAL_RESULT with human_authorization_required True; it is never a HUMAN_DECISION,cd server/tools && python3 test_run32_closure_version_boundary.py,server/app/simulation/models_cat10.py,"replace '""result_class"": ANALYTICAL_RESULT,'",YES,cd server/tools && python3 test_run32_closure_version_boundary.py,1,YES,"and it requires human authorisation, so no algorithm here exercises approval authority","the row it emits is stamped ANALYTICAL_RESULT and never HUMAN_DECISION  [HUMAN_DECISION]; and it requires human authorisation, so no algorithm here exercises approval authority  [False]; the row it emits is stamped ANALYTICAL_RESULT and never HUMAN_DECISION; and it requires human authorisation, so no algorithm here exercises approval authority",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
19,B2.18 MARCOS Ranking (canonical_v5.decision_problem),criteria and alternatives are DISTINCT declared sets; treating the criteria as the alternatives would rank the yardsticks instead of the options,cd server/tools && python3 test_run30_canonical_oracles.py,server/app/simulation/canonical_v5.py,replace 'if len(criteria) < 2:',YES,cd server/tools && python3 test_run30_canonical_oracles.py,1,YES,7.18 criteria presented as alternatives are refused (fewer than two criteria),7.18 criteria presented as alternatives are refused (fewer than two criteria)  [returned a result instead of r; 7.18 criteria presented as alternatives are refused (fewer than two criteria),NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
20,B2.19 CRITIC-TOPSIS (canonical_v5.critic_topsis),"CRITIC derives its weights from the DISPERSION of each criterion across the alternative set; a single row has no dispersion, so one project row is refused",cd server/tools && python3 test_run32_cat10_oracles.py,server/app/simulation/canonical_v5.py,replace 'm = len(alts)',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,CRITIC-TOPSIS refuses two project rows,"CRITIC-TOPSIS refuses two project rows, because the spread it weights by needs at least three and two rows are",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
21,Participant courses of action (models_cat10 route),"a participant's course of action is a free-text intention, NOT a fully scored alternative; scoring one would invent the objective values",cd server/tools && python3 test_courses_of_action.py,server/app/simulation/models_cat10.py,replace 'try:',YES,cd server/tools && python3 test_courses_of_action.py,1,YES,"and its stable reason names a missing structure, not a missing figure, on a project that is genuinely missing a figure","and its silence is recorded as an abstention, so absent is not mistaken for withheld  [['A1.10', 'A1.11', 'A1.; and its stable reason names a missing structure, not a missing figure, on a project that is genuinely missing ",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
22,Category-9 qualification boundary (qualification_boundary.install),"RAW, UNASSESSED evidence may not reach a Category-10 decision method: the gate refuses it before any decision is computed",cd server/tools && python3 test_run31_pass2_acceptance.py,server/app/simulation/qualification_boundary.py,replace 'if not ev.eligible_for(use):',YES,cd server/tools && python3 test_run31_pass2_acceptance.py,1,YES,Decision Optimization: raw bypass = 0 across 7 production routes,"Delivery Quality Performance A6.1: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonica; Delivery Quality Performance A6.2: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonica; Delivery Quality Performance A6.3: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonica; Delivery Quality Performance A6.4: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonica; Signal Synthesis B1.1: raw unassessed evidence was consumed  [{'method_class': 'Conservative_Dominance', 'stat; Signal Synthesis B1.2: raw unassessed evidence was consumed  [{'method_class': 'Weighted_Voting', 'status_colo; Signal Synthesis B1.3: raw unassessed evidence was consumed  [{'method_class': 'Majority_Rules', 'status_color; Signal Synthesis B1.4: raw unassessed evidence was consumed  [{'method_class': 'Worst_N_of_M', 'status_color':; Evidence Combination B2.1: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struct; Evidence Combination B2.10: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.11: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.12: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.13: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.14: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.15: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.16: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.17: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struc; Evidence Combination B2.18: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_decis; Evidence Combination B2.19: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_decis; Evidence Combination B2.2: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struct; Evidence Combination B2.3: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struct; Evidence Combination B2.4: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struct; Evidence Combination B2.5: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struct; Evidence Combination B2.6: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struct; Evidence Combination B2.8: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_struct; Regulatory & Authority Thresholds B3.1: raw unassessed evidence was consumed  [{'abstention_reason_code': 'can; Regulatory & Authority Thresholds B3.2: raw unassessed evidence was consumed  [{'abstention_reason_code': 'can; Regulatory & Authority Thresholds B3.3: raw unassessed evidence was consumed  [{'abstention_reason_code': 'can; Regulatory & Authority Thresholds B3.4: raw unassessed evidence was consumed  [{'abstention_reason_code': 'can; Regulatory & Authority Thresholds B3.5: raw unassessed evidence was consumed  [{'abstention_reason_code': 'can; Decision Optimization B4.3: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_decis; Decision Optimization B4.4: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_decis; Decision Optimization B4.7: raw unassessed evidence was consumed  [{'abstention_reason_code': 'canonical_decis; Decision Optimization: raw bypass = 0 across 7 production routes  [['B4.3', 'B4.4', 'B4.7']]; Delivery Quality Performance: raw bypass = 0 across 4 production routes  [['A6.1', 'A6.2', 'A6.3', 'A6.4']]; Evidence Combination: raw bypass = 0 across 20 production routes  [['B2.1', 'B2.10', 'B2.11', 'B2.12', 'B2.13'; Regulatory & Authority Thresholds: raw bypass = 0 across 5 production routes  [['B3.1', 'B3.2', 'B3.3', 'B3.4'; Signal Synthesis: raw bypass = 0 across 4 production routes  [['B1.1', 'B1.2', 'B1.3', 'B1.4']]; precedence: missing evidence != 0  [band=None code=canonical_decision_structure_absent]; precedence: unknown != Green  [band=None code=canonical_decision_structure_absent]; precedence: UNASSESSED != QUALIFIED  [band=None code=canonical_decision_structure_absent]; precedence: material conflict != averaged away  [band=None code=canonical_decision_structure_absent]; precedence: future-dated != timely  [band=None code=canonical_decision_structure_absent]; Delivery Quality Performance A6.1: raw unassessed evidence was consumed; Delivery Quality Performance A6.2: raw unassessed evidence was consumed; Delivery Quality Performance A6.3: raw unassessed evidence was consumed; Delivery Quality Performance A6.4: raw unassessed evidence was consumed; Signal Synthesis B1.1: raw unassessed evidence was consumed; Signal Synthesis B1.2: raw unassessed evidence was consumed; Signal Synthesis B1.3: raw unassessed evidence was consumed; Signal Synthesis B1.4: raw unassessed evidence was consumed; Evidence Combination B2.1: raw unassessed evidence was consumed; Evidence Combination B2.10: raw unassessed evidence was consumed; Evidence Combination B2.11: raw unassessed evidence was consumed; Evidence Combination B2.12: raw unassessed evidence was consumed; Evidence Combination B2.13: raw unassessed evidence was consumed; Evidence Combination B2.14: raw unassessed evidence was consumed; Evidence Combination B2.15: raw unassessed evidence was consumed; Evidence Combination B2.16: raw unassessed evidence was consumed; Evidence Combination B2.17: raw unassessed evidence was consumed; Evidence Combination B2.18: raw unassessed evidence was consumed; Evidence Combination B2.19: raw unassessed evidence was consumed; Evidence Combination B2.2: raw unassessed evidence was consumed; Evidence Combination B2.3: raw unassessed evidence was consumed; Evidence Combination B2.4: raw unassessed evidence was consumed; Evidence Combination B2.5: raw unassessed evidence was consumed; Evidence Combination B2.6: raw unassessed evidence was consumed; Evidence Combination B2.8: raw unassessed evidence was consumed; Regulatory & Authority Thresholds B3.1: raw unassessed evidence was consumed; Regulatory & Authority Thresholds B3.2: raw unassessed evidence was consumed; Regulatory & Authority Thresholds B3.3: raw unassessed evidence was consumed; Regulatory & Authority Thresholds B3.4: raw unassessed evidence was consumed; Regulatory & Authority Thresholds B3.5: raw unassessed evidence was consumed; Decision Optimization B4.3: raw unassessed evidence was consumed; Decision Optimization B4.4: raw unassessed evidence was consumed; Decision Optimization B4.7: raw unassessed evidence was consumed; Decision Optimization: raw bypass = 0 across 7 production routes; Delivery Quality Performance: raw bypass = 0 across 4 production routes; Evidence Combination: raw bypass = 0 across 20 production routes; Regulatory & Authority Thresholds: raw bypass = 0 across 5 production routes; Signal Synthesis: raw bypass = 0 across 4 production routes; precedence: missing evidence != 0; precedence: unknown != Green; precedence: UNASSESSED != QUALIFIED; precedence: material conflict != averaged away; precedence: future-dated != timely",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
23,Category-9 qualification boundary (qualification_boundary.install),"a MISSING Category-9 assessment may not bypass the gate: ABSENCE FAILS CLOSED, because absence is not eligibility",cd server/tools && python3 test_run31_pass2_acceptance.py,server/app/simulation/qualification_boundary.py,replace 'if ev is None:',YES,cd server/tools && python3 test_run31_pass2_acceptance.py,1,YES,Decision Optimization: missing-assessment bypass = 0 across 7 routes,"Decision Optimization: missing-assessment bypass = 0 across 7 routes  [['B4.3', 'B4.4', 'B4.7']]; Delivery Quality Performance: missing-assessment bypass = 0 across 4 routes  [['A6.1', 'A6.2', 'A6.3', 'A6.4']; Evidence Combination: missing-assessment bypass = 0 across 20 routes  [['B2.1', 'B2.10', 'B2.11', 'B2.12', 'B2; Regulatory & Authority Thresholds: missing-assessment bypass = 0 across 5 routes  [['B3.1', 'B3.2', 'B3.3', 'B; Signal Synthesis: missing-assessment bypass = 0 across 4 routes  [['B1.1', 'B1.2', 'B1.3', 'B1.4']]; and the blocked row carries module, UNASSESSED, the reason, lineage SEPARATELY, the simulation version and con; Decision Optimization: missing-assessment bypass = 0 across 7 routes; Delivery Quality Performance: missing-assessment bypass = 0 across 4 routes; Evidence Combination: missing-assessment bypass = 0 across 20 routes; Regulatory & Authority Thresholds: missing-assessment bypass = 0 across 5 routes; Signal Synthesis: missing-assessment bypass = 0 across 4 routes",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
24,The Category-10 evidence boundary (models_cat10._authority_fields),"A DECISION OUTPUT NEVER RE-ENTERS AS PROJECT-CONDITION EVIDENCE. creates_project_evidence is False on every row and no row carries a status_color, so nothing can reach fusion",cd server/tools && python3 test_run32_closure_version_boundary.py,server/app/simulation/models_cat10.py,"replace '""creates_project_evidence"": False,'",YES,cd server/tools && python3 test_run32_closure_version_boundary.py,1,YES,"and it creates no project evidence, so a decision output cannot re-enter as a project-condition observation","and it creates no project evidence, so a decision output cannot re-enter as a project-condition observation  [; and it creates no project evidence, so a decision output cannot re-enter as a project-condition observation",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
25,B4.1 Multi-Objective Optimization (registry.DISABLED_CONCEPT_ONLY),"B4.1 is a DISABLED concept-only module and stays disabled. A canonical engine passing its oracle is not grounds for activation, and activation is not this run's to grant",cd server/tools && python3 test_run14_disabled_method_functional.py,server/app/simulation/registry.py,"replace '""B4.1"": ""Multi-Objective Optimization"",'",YES,cd server/tools && python3 test_run14_disabled_method_functional.py,1,YES,"and the registry's live disabled set is the same eight, so the population is one thing and not two","and the registry's live disabled set is the same eight, so the population is one thing and not two  ['A3.8', '; the live disabled set is byte-for-byte the set this suite started with; and the registry's live disabled set is the same eight, so the population is one thing and not two :: ['A3.8',; the live disabled set is byte-for-byte the set this suite started with ::",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
26,B4.2 Linear Programming (registry.DISABLED_CONCEPT_ONLY),B4.2 is a DISABLED concept-only module and stays disabled,cd server/tools && python3 test_run14_disabled_method_functional.py,server/app/simulation/registry.py,"replace '""B4.2"": ""Linear Programming"",'",YES,cd server/tools && python3 test_run14_disabled_method_functional.py,1,YES,"and the registry's live disabled set is the same eight, so the population is one thing and not two","and the registry's live disabled set is the same eight, so the population is one thing and not two  ['A3.8', '; the live disabled set is byte-for-byte the set this suite started with; and the registry's live disabled set is the same eight, so the population is one thing and not two :: ['A3.8',; the live disabled set is byte-for-byte the set this suite started with ::",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
27,B4.5 Decision Sensitivity Matrix (registry.DISABLED_CONCEPT_ONLY),B4.5 is a DISABLED concept-only module and stays disabled,cd server/tools && python3 test_run14_disabled_method_functional.py,server/app/simulation/registry.py,"replace '""B4.5"": ""Decision Sensitivity Matrix"",'",YES,cd server/tools && python3 test_run14_disabled_method_functional.py,1,YES,"and the registry's live disabled set is the same eight, so the population is one thing and not two","and the registry's live disabled set is the same eight, so the population is one thing and not two  ['A3.8', '; the live disabled set is byte-for-byte the set this suite started with; and the registry's live disabled set is the same eight, so the population is one thing and not two :: ['A3.8',; the live disabled set is byte-for-byte the set this suite started with ::",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
28,B4.6 Pareto Frontier Analysis (registry.DISABLED_CONCEPT_ONLY),B4.6 is a DISABLED concept-only module and stays disabled,cd server/tools && python3 test_run14_disabled_method_functional.py,server/app/simulation/registry.py,"replace '""B4.6"": ""Pareto Frontier Analysis"",'",YES,cd server/tools && python3 test_run14_disabled_method_functional.py,1,YES,"and the registry's live disabled set is the same eight, so the population is one thing and not two","and the registry's live disabled set is the same eight, so the population is one thing and not two  ['A3.8', '; the live disabled set is byte-for-byte the set this suite started with; and the registry's live disabled set is the same eight, so the population is one thing and not two :: ['A3.8',; the live disabled set is byte-for-byte the set this suite started with ::",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
29,Category-10 operational route (registry.VALIDATED via models_cat10.CAT10_CANONICAL),NO PRODUCTION ROUTE REACHES A LEGACY CATEGORY-10 PROXY. All seven resolve to canonical_v7 through models_cat10; the v19 runners are preserved for historical resolution only,cd server/tools && python3 test_run20_cycle8_arch3_clusters.py,server/app/simulation/models_cat10.py,"replace '""B4.3"": (""Constraint_Satisfaction"",'",YES,cd server/tools && python3 test_run20_cycle8_arch3_clusters.py,1,YES,"B4.3: and the ladder confirms it, moving neither index","B4.3: and the ladder confirms it, moving neither index",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
30,The analytical version line (models.SIMULATION_VERSION_HISTORY),the version history is APPEND-ONLY and a stamp is never duplicated or overwritten; the history must remain a strict prefix extension,cd server/tools && python3 test_run32_closure_version_boundary.py,server/app/simulation/models.py,"replace 'SIMULATION_VERSION = ""sim-2026.08-v20""'",YES,cd server/tools && python3 test_run32_closure_version_boundary.py,1,YES,the current stamp is sim-2026.08-v20,"the current stamp is sim-2026.08-v20  [sim-2026.08-v19]; the history ends at the current stamp, so the two cannot drift apart; the current stamp is sim-2026.08-v20",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
31,The participant package predecessor records (v5 checksum record),"A PREDECESSOR PACKAGE IS NEVER REGENERATED to match current bytes. Every predecessor is preserved exactly as it was served, and a change of bytes mints a SUCCESSOR instead",cd server/tools && python3 test_run28_participant_packages.py,code_audit/run30_participant_package_v5_checksums.sha256,replace 'dd1c6a327ca6b657eb4c891e022fd8f2efcb1d7b9d42f8b9fc6951ad4c5abb14  asse',YES,cd server/tools && python3 test_run28_participant_packages.py,1,YES,every one of v5's seventy checksums holds against commit,"every one of v5's seventy checksums holds against commit 4dd5985, which is where that package's bytes live now; exactly one package file differs between v4 and v5, and it is the one declared  [['assets/css/radar.css', 'ass; exactly one package file differs between v4 and v5, and it is the one declared",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
32,The governed decision-structure supply path (project_data.governed_structure_keys),A DECISION STRUCTURE THAT EXISTS ONLY IN TEST FIXTURES IS NOT SUPPLIED. Every Category-10 structure key is admitted by the real production intake or it has no production route,cd server/tools && python3 test_run32_cat10_oracles.py,server/app/project_data.py,replace '| set(V6_STRUCTURE_KEYS.values()) | set(V7_STRUCTURE_KEYS.values()))',YES,cd server/tools && python3 test_run32_cat10_oracles.py,1,YES,every governed Category-10 decision structure is admitted by the production intake,every governed Category-10 decision structure is admitted by the production intake,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
