fault_id,module_system,protected_invariant,baseline_command,baseline_result,mutation_target,mutation_description,mutation_applied,evidence_mutation_applied,fault_command,process_exit_code,anchored_result_present,expected_red_reason,actual_red_reason,crash,unrelated_failure,restored,restored_green,final_status,notes
18,9.4,a broken link is not complete,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    broken_links = [],YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a broken evidence-to-judgment link is treated complete,243/246,NO,NO,YES,YES,PASS,
19,9.4,impossible chronology is not complete,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    chronology_ok = True,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an impossible chronology is treated complete,245/246,NO,NO,YES,YES,PASS,
20,9.5,9.5 is not 9.1,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,        mandatory = [],YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,"package usability collapses onto field presence, duplicating 9.1",244/246,NO,NO,YES,YES,PASS,
21,9.5,an absent domain is not full coverage,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,        if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an entirely absent required domain still counts as covered,243/246,NO,NO,YES,YES,PASS,
22,9.6,conflicts are never averaged,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,                    ok = True,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a 100-versus-110 conflict is reconciled away,243/246,NO,NO,YES,YES,PASS,
23,9.6,different periods are not inconsistent,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,            if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,records from different reporting periods are compared as contradictory,244/246,NO,NO,YES,YES,PASS,
24,9.6,material conflicts stay on the evidence,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,                _ = dict(row),YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a material conflict is omitted from the returned evidence,244/246,NO,NO,YES,YES,PASS,
25,9.7,duplicates do not inflate cadence,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"    covered = len([r for r in history if isinstance(r, dict)",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a duplicate report improves coverage,244/246,NO,NO,YES,YES,PASS,
26,9.7,a missed report is not perfect cadence,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        if rec is None:
            row[""status""] = ""ON_TIME",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a missed period is counted as received,243/246,NO,NO,YES,YES,PASS,
27,9.7,approved extensions move the due date,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        due = _date(p.get(""due_date""))",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an approved extension is ignored and an on-time report reads late,245/246,NO,NO,YES,YES,PASS,
28,9.2/9.7,freshness and cadence do not collapse,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        ""reporting_coverage"": 1.0,",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,cadence stops depending on the report history,243/246,NO,NO,YES,YES,PASS,
29,8.1,production 8.1 has agents,test_run31_pass2_acceptance,69/69,server/app/simulation/models_cat89.py,"    return V6.abm_governance(dict(structure, agents=[]), sig",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,a model with no agents runs instead of failing the structural guard,63/69,NO,NO,YES,YES,PASS,
30,8.1,an ABM has a clock,test_run31_canonical_oracles,246/246,server/app/simulation/abm.py,            pass,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,the simulation clock never advances,241/246,NO,NO,YES,YES,PASS,
31,8.1,the contractor cannot authorize,test_run31_canonical_oracles,246/246,server/app/simulation/abm.py,            if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,the contractor is no longer recorded as unable to authorize an owner-only action,243/246,NO,NO,YES,YES,PASS,
32,8.1,the PM cannot authorize,test_run31_canonical_oracles,246/246,server/app/simulation/abm.py,        return True  # FAULT,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,the required-approver test is removed at the authorization point,241/246,NO,NO,YES,YES,PASS,
33,8.1,insufficient evidence cannot auto-authorize,test_run31_canonical_oracles,246/246,server/app/simulation/abm.py,        if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an evidence-insufficient case proceeds to authorization,244/246,NO,NO,YES,YES,PASS,
34,8.1,latency changes the event history,test_run31_canonical_oracles,246/246,server/app/simulation/abm.py,"                    delivery_time=self.clock, seq=self._seq,",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,"response latency stops affecting delivery time, so the trace cannot move",241/246,NO,NO,YES,YES,PASS,
35,8.1,production runs agent interactions,test_run31_pass2_acceptance,69/69,server/app/simulation/canonical_v6.py,"        ""state_history"": [],",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,"the route returns a matrix-style verdict with no agents, clock or history",68/69,NO,NO,YES,YES,PASS,
36,8.2,applicability is not inferred from BAC,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"    federal = structure.get(""federal_context"") or bool(struc",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a BAC alone establishes Federal context and drives applicability,245/246,NO,NO,YES,YES,PASS,
37,8.2,missing designation is never APPLICABLE,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        return done(REG.APPLICABLE,
                    ""the",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an incomplete designation reaches an APPLICABLE answer,242/246,NO,NO,YES,YES,PASS,
38,8.3,no evidence is never SATISFIED,test_run31_canonical_oracles,246/246,server/app/simulation/regulatory.py,    missing = [],YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a rule with absent required evidence returns SATISFIED,241/246,NO,NO,YES,YES,PASS,
39,8.3,a superseded edition is reviewed,test_run31_canonical_oracles,246/246,server/app/simulation/regulatory.py,    if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a wrong or superseded edition is accepted without review,245/246,NO,NO,YES,YES,PASS,
40,8.4,CPI/SPI cannot establish reporting,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"    clause = structure.get(""clause_id"") or structure.get(""cp",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a cost or schedule index stands in for the clause and cadence,245/246,NO,NO,YES,YES,PASS,
41,8.4,NOT_APPLICABLE receives no violation,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an EVMS-not-applicable project receives a reporting result anyway,245/246,NO,NO,YES,YES,PASS,
42,8.4,a missing report is not complete,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"    if False:
        out[""result""] = REG.NOT_SATISFIED",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a period with no report received is counted complete,245/246,NO,NO,YES,YES,PASS,
43,8.5,only an authorized CO may execute,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,        if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an official with no current contracting-officer authority passes the authority rule,245/246,NO,NO,YES,YES,PASS,
44,8.5,unilateral and bilateral are distinct,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"                if False else True),",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,"the bilateral signature requirement disappears, collapsing the distinction",245/246,NO,NO,YES,YES,PASS,
45,8.5,an applicable form must be present,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"            satisfied_when=lambda e: True,",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an applicable SF 30 that is absent still passes the documentation rule,244/246,NO,NO,YES,YES,PASS,
46,8.6,critical exceptions are noncompensatory,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"            if r.get(""criticality"") in (""nonexistent"",):",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a critical quality exception disappears inside the aggregate,244/246,NO,NO,YES,YES,PASS,
47,8.6,unassessed is not satisfied,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        if not r.get(""assessed""):
            unassessed.app",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,unassessed requirements enter the denominator and count as satisfied,240/246,NO,NO,YES,YES,PASS,
48,8.6,no fabricated denominator,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        out.update({""quality_compliance_rate"": 1.0, ""disposi",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a rate is produced with no assessed applicable requirement behind it,242/246,NO,NO,YES,YES,PASS,
49,8.7,a mention is not an incidence numerator,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"    cases = (structure.get(""recordable_cases"")
             ",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,meeting-minute incident mentions become the OSHA numerator,245/246,NO,NO,YES,YES,PASS,
50,8.7,zero hours has no rate,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        out.update({""incidence_rate"": 0.0, ""lagging_disposit",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a zero denominator returns a finite incidence rate,242/246,NO,NO,YES,YES,PASS,
51,8.7,zero recordables is not a system claim,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        ""system_claim"": ""strong safety system"",",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a favourable safety-system conclusion is asserted,244/246,NO,NO,YES,YES,PASS,
52,8.8,EPA CGP is not universal,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    if True:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,the EPA Construction General Permit is cited for every project,245/246,NO,NO,YES,YES,PASS,
53,8.8,unassessed is not satisfied,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        if not r.get(""assessed""):
            unassessed.app",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,unassessed environmental requirements count as assessed,240/246,NO,NO,YES,YES,PASS,
54,8.8,critical violations are noncompensatory,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,        elif False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,a critical permit violation is averaged away,245/246,NO,NO,YES,YES,PASS,
55,8.8,a mention is not a compliance rate,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    if False:,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,conformance is assessed without jurisdiction or permitting authority,244/246,NO,NO,YES,YES,PASS,
56,8.9,an internal score is never CPARS,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,    is_cpars = True,YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,an internal assessment is labelled an official CPARS record,243/246,NO,NO,YES,YES,PASS,
57,8.9,narrative and review state survive,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"        ""narratives"": None,",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,the supporting narrative is dropped from the official assessment,245/246,NO,NO,YES,YES,PASS,
58,8.9,the worst factor stays visible,test_run31_canonical_oracles,246/246,server/app/simulation/canonical_v6.py,"            worst = max(ranked, key=lambda r: order.index(r[",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,the worst/critical factor disappears,244/246,NO,NO,YES,YES,PASS,
59,orphan,extracted defining fields stay wired,test_run31_canonical_oracles,246/246,server/app/extraction_merge.py,"        if False and _coerce_numeric(ex.get(""osha_recordable",YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,the genuine safety numerator is disconnected from signal inputs again,245/246,NO,NO,YES,YES,PASS,
60,orphan,canonical fields have a production route,test_run31_canonical_oracles,246/246,server/app/project_data.py,            ),YES,file bytes changed on disk: True,test_run31_canonical_oracles,1,YES,"the v6 structures leave the governed intake, so they exist only in fixtures",245/246,NO,NO,YES,YES,PASS,
61,packages,a predecessor is never rewritten,test_run28_participant_packages,48/48,code_audit/run30_participant_package_v5_checksums.sha256,regenerate,YES,predecessor record rewritten: True,test_run28_participant_packages,1,YES,a predecessor record regenerated to match the tree makes two records claim it,44/48,NO,NO,YES,YES,PASS,
62,versions,history is append-only and unique,test_run31_version_boundaries,50/50,server/app/simulation/models.py,"""sim-2026.08-v18"", ""sim-2026.08-v19"", ""sim-2026.08-v19"",",YES,file bytes changed on disk: True,test_run31_version_boundaries,1,YES,a duplicate stamp breaks uniqueness,47/50,NO,NO,YES,YES,PASS,
63,gate,the dispatcher uses the boundary,test_run31_pass2_acceptance,69/69,server/app/simulation/models.py,"    QUALIFICATION_BOUNDARY_INSTALLED = {""gated"": [], ""assess",YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,"the boundary is never installed, which is exactly Run 30's defect",49/102,NO,NO,YES,YES,PASS,
64,ledger,no false QUALIFIED,test_run31_pass2_acceptance,69/69,server/app/simulation/qualification_boundary.py,                if False:,YES,file bytes changed on disk: True,test_run31_pass2_acceptance,1,YES,raw evidence executes while the row still carries a qualification block,59/102,NO,NO,YES,YES,PASS,
