module ID,authoritative current name,category,activation,voting,canonical runner,current production route,defining canonical structure,canonical structure required?,production supply path,real corpus currently supplies structure?,current operational behavior,computes when structure exists?,abstains when structure is absent?,disabled?,archived?,supplied rather than computed?,current served defensibility statement,expected truthful statement,mismatch,PASS/FAIL
A2.6,S-Curve Deviation,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_scurve_deviation,registry.run_module -> app.simulation.models_ext.run_scurve_deviation,timePhasedBaseline,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.7,Milestone Trend Analysis,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_milestone_trend,registry.run_module -> app.simulation.models_ext.run_milestone_trend,milestoneForecastHistory,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.8,Look-Ahead Schedule Health,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_lookahead_health,registry.run_module -> app.simulation.models_ext.run_lookahead_health,lookAheadSchedule,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.9,Resource Loading Index,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_resource_loading,registry.run_module -> app.simulation.models_ext.run_resource_loading,resourceProfile,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.10,Schedule Risk Analysis P80,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_schedule_risk,registry.run_module -> app.simulation.models_ext.run_schedule_risk,scheduleNetwork,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A2.11,Critical Path Index,Schedule Performance,ENABLED,does not vote,app.simulation.models_ext.run_critical_path_index,registry.run_module -> app.simulation.models_ext.run_critical_path_index,scheduleNetwork,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A3.1,Reference Class Forecasting,Cost Risk,ENABLED,does not vote,app.simulation.models.run_rcf,registry.run_module -> app.simulation.models.run_rcf,referenceClassPopulation,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A3.2,Contingency Burn Rate,Cost Risk,ENABLED,does not vote,app.simulation.models_ext.run_contingency_burn,registry.run_module -> app.simulation.models_ext.run_contingency_burn,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,YES,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
A3.3,Labor Productivity Index,Cost Risk,ENABLED,does not vote,app.simulation.models_ext.run_labor_productivity,registry.run_module -> app.simulation.models_ext.run_labor_productivity,productionOutputRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A3.4,Material Cost Variance,Cost Risk,DISABLED_EVIDENCE_UNDER_REVIEW,does not vote,app.simulation.models_ext.run_material_cost_variance,registry.run_module -> app.simulation.models_ext.run_material_cost_variance,none,not required by this module,n/a: this module defines no governed structure,n/a,the module is disabled pending an evidence-design decision and produces no live project reading,YES,YES,YES,NO,NO,the module is disabled pending an evidence-design decision and produces no live project reading,the module is disabled pending an evidence-design decision and produces no live project reading,none,PASS
A3.5,Overhead Absorption Rate,Cost Risk,ENABLED,does not vote,app.simulation.models_ext.run_overhead_absorption,registry.run_module -> app.simulation.models_ext.run_overhead_absorption,overheadAllocationBase,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A3.6,Cost Risk Analysis P80,Cost Risk,ENABLED,does not vote,app.simulation.models_ext.run_cost_risk,registry.run_module -> app.simulation.models_ext.run_cost_risk,costRiskModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A3.7,Analogous Estimating Ratio,Cost Risk,ENABLED,does not vote,app.simulation.models_ext.run_analogous_estimating,registry.run_module -> app.simulation.models_ext.run_analogous_estimating,analogEstimate,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A3.8,Parametric Cost Index,Cost Risk,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_ext.run_parametric_cost,registry.run_module -> app.simulation.models_ext.run_parametric_cost,parametricCostModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",YES,YES,YES,NO,NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading","the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",none,PASS
A3.9,Inflation Adjustment Index,Cost Risk,ENABLED,does not vote,app.simulation.models_ext.run_inflation_adjustment,registry.run_module -> app.simulation.models_ext.run_inflation_adjustment,externalCostIndex,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.1,Document Risk Score,Document-Derived Condition Signals,ENABLED,does not vote,none: declared in the registry and implemented by no runner,no analytical route: the value is supplied to the platform,documentRiskEvidence,"declared in the canonical-structure layer but enforced by no current route, because the platform does not compute this value",YES: admitted by project_data.governed_structure_keys(),NO,the platform consumes a governed supplied value rather than computing the value as an analytical module,YES,NO,NO,NO,YES,the platform consumes a governed supplied value rather than computing the value as an analytical module,the platform consumes a governed supplied value rather than computing the value as an analytical module,none,PASS
A4.2,RFI Velocity,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_rfi_velocity,registry.run_module -> app.simulation.models_doc.run_rfi_velocity,rfiEventLog,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.3,Submittal Rejection Rate,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_submittal_rejection,registry.run_module -> app.simulation.models_doc.run_submittal_rejection,submittalDecisionRegister,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.4,NCR Rate,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_ncr_rate,registry.run_module -> app.simulation.models_doc.run_ncr_rate,auditedNonconformanceCohort,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.5,Weather Day Impact,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_weather_impact,registry.run_module -> app.simulation.models_doc.run_weather_impact,weatherImpactEvents,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.6,Change Order Frequency,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_co_frequency,registry.run_module -> app.simulation.models_doc.run_co_frequency,changeEventRegister,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.7,Dispute Escalation Index,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_dispute_escalation,registry.run_module -> app.simulation.models_doc.run_dispute_escalation,claimDisputeRegister,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.8,Subcontractor Performance,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_subcontractor_performance,registry.run_module -> app.simulation.models_doc.run_subcontractor_performance,subcontractorAssessments,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.9,Procurement Lead Time Monitor,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_procurement_lead_time,registry.run_module -> app.simulation.models_doc.run_procurement_lead_time,procurementItems,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A4.10,Specification Conflict Density,Document-Derived Condition Signals,ENABLED,does not vote,app.simulation.models_doc.run_spec_conflict_density,registry.run_module -> app.simulation.models_doc.run_spec_conflict_density,specificationConflictRegister,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.1,DSM Rework Propagation,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models.run_dsm,registry.run_module -> app.simulation.models.run_dsm,dsmDependencyModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.2,Sensitivity Analysis,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models_doc.run_sensitivity_analysis,registry.run_module -> app.simulation.models_doc.run_sensitivity_analysis,sensitivityModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.3,Tornado Risk Ranking,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models_doc.run_tornado_diagram,registry.run_module -> app.simulation.models_doc.run_tornado_diagram,sensitivityModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.4,Scenario Modeling,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models_doc.run_scenario_modeling,registry.run_module -> app.simulation.models_doc.run_scenario_modeling,scenarioSet,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.5,Rework Feedback Loop,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models_doc.run_rework_feedback,registry.run_module -> app.simulation.models_doc.run_rework_feedback,systemDynamicsModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.6,Queueing Theory Bottleneck,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models_doc.run_queueing_bottleneck,registry.run_module -> app.simulation.models_doc.run_queueing_bottleneck,queueStructure,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.7,Agent-Based Supply Chain,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models_doc.run_agent_supply_chain,registry.run_module -> app.simulation.models_doc.run_agent_supply_chain,abmStructure,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A5.8,Discrete Event Simulation,System Dynamics & Complexity,ENABLED,does not vote,app.simulation.models_doc.run_discrete_event_sim,registry.run_module -> app.simulation.models_doc.run_discrete_event_sim,desProcessModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A6.1,Quality Compliance Index,Delivery Quality Performance,ENABLED,does not vote,app.simulation.models_cat89.run_A6_1,registry.run_module -> app.simulation.models_cat89.run_A6_1,qualityRequirementRegister,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A6.2,Safety Performance Index,Delivery Quality Performance,ENABLED,does not vote,app.simulation.models_cat89.run_A6_2,registry.run_module -> app.simulation.models_cat89.run_A6_2,safetyPerformanceRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
