module_id,canonical_name,layer,test_case,exact_input,actual_output,independently_expected_output,difference,production_code_path,oracle_source,defect_class,likely_technical_cause,voting,can_affect_cost_recovery_status,neighbor_modules_at_risk,reproducer_command_or_test,verification_limitations
A3.2,Contingency Burn Rate,PROJECT,out-of-domain favourable banding,actualPctComplete=impossible-large,Green,abstention or no improvement,an impossible figure read as healthy,server/app/simulation/models_ext.py::run_contingency_burn,contract: an impossible input is not evidence of health,out-of-domain favourable banding,banding applied before any domain guard,NO,NO,"A2.11, A3.3, A3.5, A5.8",tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
A3.3,Labor Productivity Index,PROJECT,out-of-domain favourable banding,actualPctComplete=impossible-large,Green,abstention or no improvement,an impossible figure read as healthy,server/app/simulation/models_ext.py::run_labor_productivity,contract: an impossible input is not evidence of health,out-of-domain favourable banding,banding applied before any domain guard,NO,NO,"A2.11, A3.2, A3.5, A5.8",tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
A3.4,Material Cost Variance,PROJECT,malformed input of a type the ingestion contract refuses,actualPctComplete='not-a-number':TypeError,actualPctComplete='not-a-number':TypeError; actualPctComplete=inf:ValueError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError; materialCostBaseline='not-a-number':TypeError; materialCostBaseline=inf:ValueError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_material_cost_variance,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A3.5,Overhead Absorption Rate,PROJECT,missingness: drop one required input,RICH minus actualPctComplete,actualPctComplete->Yellow,"no band better than Red, or abstention",a better band with less evidence,server/app/simulation/models_ext.py::run_overhead_absorption,contract: absence is not evidence of health,missing evidence improves the reading,a default substituted for an absent input,NO,NO,C1.6,tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
A3.5,Overhead Absorption Rate,PROJECT,malformed input of a type the ingestion contract refuses,actualPctComplete='not-a-number':TypeError,actualPctComplete='not-a-number':TypeError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError; indirectCostActual='not-a-number':TypeError; indirectCostActual=nan:ValueError; indirectCostActual=inf:OverflowError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_overhead_absorption,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A3.5,Overhead Absorption Rate,PROJECT,out-of-domain favourable banding,actualPctComplete=impossible-large,Green,abstention or no improvement,an impossible figure read as healthy,server/app/simulation/models_ext.py::run_overhead_absorption,contract: an impossible input is not evidence of health,out-of-domain favourable banding,banding applied before any domain guard,NO,NO,"A2.11, A3.2, A3.3, A5.8",tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
A3.6,Cost Risk Analysis P80,PROJECT,malformed input of a type the ingestion contract refuses,bac='not-a-number':TypeError,bac='not-a-number':TypeError; bac=nan:ValueError; bac=inf:OverflowError; bac=[]:TypeError; bac={}:TypeError; cpi='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_ext.py::run_cost_risk,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A4.2,RFI Velocity,PROJECT,malformed input of a type the ingestion contract refuses,rfiAvgResponseDays='not-a-number':TypeError,rfiAvgResponseDays='not-a-number':TypeError; rfiAvgResponseDays=nan:non-finite output; rfiAvgResponseDays=inf:non-finite output; rfiAvgResponseDays=[]:TypeError; rfiAvgResponseDays={}:TypeError; rfiCount='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_rfi_velocity,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A4.3,Submittal Rejection Rate,PROJECT,malformed input of a type the ingestion contract refuses,rfaRejected='not-a-number':TypeError,rfaRejected='not-a-number':TypeError; rfaRejected=nan:ValueError; rfaRejected=[]:TypeError; rfaRejected={}:TypeError; rfaTotal='not-a-number':TypeError; rfaTotal=inf:non-finite output,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_submittal_rejection,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A4.5,Weather Day Impact,PROJECT,malformed input of a type the ingestion contract refuses,floatRemaining='not-a-number':TypeError,floatRemaining='not-a-number':TypeError; floatRemaining=inf:non-finite output; floatRemaining=[]:TypeError; floatRemaining={}:TypeError; weatherDaysLost='not-a-number':TypeError; weatherDaysLost=nan:ValueError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_weather_impact,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A4.6,Change Order Frequency,PROJECT,malformed input of a type the ingestion contract refuses,baselineContractSum='not-a-number':TypeError,baselineContractSum='not-a-number':TypeError; baselineContractSum=inf:non-finite output; baselineContractSum=[]:TypeError; baselineContractSum={}:TypeError; changeOrderCount='not-a-number':TypeError; changeOrderCount=nan:non-finite output,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_co_frequency,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A4.8,Subcontractor Performance,PROJECT,malformed input of a type the ingestion contract refuses,docRiskScore='not-a-number':TypeError,docRiskScore='not-a-number':TypeError; docRiskScore=inf:OverflowError; ncrOpen='not-a-number':TypeError; outstandingActionItems='not-a-number':TypeError; subcontractorComplianceScore='not-a-number':TypeError; subcontractorComplianceScore=nan:ValueError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_subcontractor_performance,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A5.2,Sensitivity Analysis,PROJECT,malformed input of a type the ingestion contract refuses,bac='not-a-number':TypeError,bac='not-a-number':TypeError; bac=nan:ValueError; bac=inf:ValueError; bac=[]:TypeError; bac={}:TypeError; cpi='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_sensitivity_analysis,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A5.4,Scenario Modeling,PROJECT,canonical structure absent,RICH minus scenarioDecisionStructure,"{'method_class': 'Scenario_Modeling', 'status_color': 'Amber', 'optimistic_eac': 12400000, 'realistic_eac': 13200880, 'pessimistic_eac': 13398875, 'scenario_range_pct': 8.3, 'evidence_metric': 'Scenar",abstention naming the missing structure,a reading without the defining structure,server/app/simulation/models_doc.py::run_scenario_modeling,canonical.py structure contract,canonical method replaced by proxy,structure guard missing or bypassed,NO,NO,B2.19,tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
A5.5,Rework Feedback Loop,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_rework_feedback,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A5.8,Discrete Event Simulation,PROJECT,malformed input of a type the ingestion contract refuses,actualPctComplete='not-a-number':TypeError,actualPctComplete='not-a-number':TypeError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError; spi='not-a-number':TypeError; spi=[]:TypeError; spi={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_discrete_event_sim,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A5.8,Discrete Event Simulation,PROJECT,out-of-domain favourable banding,actualPctComplete=impossible-large,Green,abstention or no improvement,an impossible figure read as healthy,server/app/simulation/models_doc.py::run_discrete_event_sim,contract: an impossible input is not evidence of health,out-of-domain favourable banding,banding applied before any domain guard,NO,NO,"A2.11, A3.2, A3.3, A3.5",tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
A6.1,Quality Compliance Index,PROJECT,malformed input of a type the ingestion contract refuses,itemsFailed='not-a-number':TypeError,itemsFailed='not-a-number':TypeError; itemsFailed=nan:ValueError; itemsFailed=[]:TypeError; itemsFailed={}:TypeError; itemsInspected='not-a-number':TypeError; itemsInspected=nan:ValueError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_quality_compliance,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A6.2,Safety Performance Index,PROJECT,malformed input of a type the ingestion contract refuses,safetyIncidentsDiscussed=nan:non-finite output,safetyIncidentsDiscussed=nan:non-finite output; safetyIncidentsDiscussed=inf:non-finite output,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_safety_performance,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
A6.3,Environmental Compliance Rate,PROJECT,malformed input of a type the ingestion contract refuses,environmentalIssuesDiscussed=nan:non-finite output,environmentalIssuesDiscussed=nan:non-finite output; environmentalIssuesDiscussed=inf:non-finite output; environmentalViolations=nan:non-finite output; environmentalViolations=inf:non-finite output,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_doc.py::run_environmental_compliance,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.10,Pythagorean Fuzzy Sets,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; docRiskScore='not-a-number':TypeError; docRiskScore=nan:non-finite output; docRiskScore=inf:non-finite output,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_pythagorean_fuzzy,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
