row_type,module_id,canonical_name,profile_kind,primitive_sources,overlap_type,closest_overlapping_targets,distinct_analytical_function,current_operational_necessity
TARGET,B2.16,Spherical Fuzzy Sets,STRUCTURE,sphericalFuzzyAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.17,Fermatean Fuzzy Sets,STRUCTURE,fermateanFuzzyAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.18,MARCOS Ranking,STRUCTURE,decisionAlternatives,SHARED_GOVERNED_STRUCTURE (same primitive source object),"B2.19, B4.1, B4.6",YES,NO - abstains on the current corpus
TARGET,B2.19,CRITIC-TOPSIS,STRUCTURE,decisionAlternatives,SHARED_GOVERNED_STRUCTURE (same primitive source object),"B2.18, B4.1, B4.6",NO,NO - abstains on the current corpus
TARGET,B2.2,Rough Sets,STRUCTURE,roughDecisionTable,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.20,Hypersoft Sets,STRUCTURE,hypersoftLabStructure,NONE,,YES,NO - disabled or archived
TARGET,B2.3,Neutrosophic Logic,STRUCTURE,neutrosophicAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.4,Interval Fuzzy Sets,STRUCTURE,intervalFuzzyAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.5,Z-numbers,STRUCTURE,zNumberAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.6,PLTS,STRUCTURE,probabilisticLinguisticAssessment,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.7,Plithogenic Sets,STRUCTURE,plithogenicLabStructure,NONE,,YES,NO - disabled or archived
TARGET,B2.8,Belief Rule Base,STRUCTURE,beliefRuleBase,NONE,,YES,NO - abstains on the current corpus
TARGET,B2.9,Quantum Probability,SCALARS,none measured on this corpus,IDENTICAL_PRIMITIVE_SOURCE_SET,"A3.2, B1.1, B1.3, B1.4",NO,NO - disabled or archived
TARGET,B3.1,Agent-Based Governance Model,STRUCTURE,abmGovernanceModel,NONE,,YES,NO - abstains on the current corpus
TARGET,B3.2,FAR/Agency EVMS Applicability Monitor,STRUCTURE,evmsApplicabilityEvidence,NONE,,YES,NO - abstains on the current corpus
TARGET,B3.3,Versioned A-11 Capital Programming Conformance Check,STRUCTURE,a11RuleRegister,NONE,,YES,NO - abstains on the current corpus
TARGET,B3.4,EVMS Reporting Compliance Monitor,STRUCTURE,evmsReportingRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,B3.5,Contract Modification Governance Check,STRUCTURE,contractModificationRegister,NONE,,YES,NO - abstains on the current corpus
TARGET,B4.1,Multi-Objective Optimization,STRUCTURE,decisionAlternatives,SHARED_GOVERNED_STRUCTURE (same primitive source object),"B2.18, B2.19, B4.6",NO,NO - disabled or archived
TARGET,B4.2,Linear Programming,STRUCTURE,linearProgramModel,NONE,,YES,NO - disabled or archived
TARGET,B4.3,Constraint Satisfaction Analysis,STRUCTURE,constraintSatisfactionProblem,NONE,,YES,NO - abstains on the current corpus
TARGET,B4.4,What-If Scenario Matrix,STRUCTURE,actionScenarioMatrix,SHARED_GOVERNED_STRUCTURE (same primitive source object),B4.7,YES,NO - abstains on the current corpus
TARGET,B4.5,Decision Sensitivity Matrix,STRUCTURE,decisionSensitivityModel,NONE,,YES,NO - disabled or archived
TARGET,B4.6,Pareto Frontier Analysis,STRUCTURE,decisionAlternatives,SHARED_GOVERNED_STRUCTURE (same primitive source object),"B2.18, B2.19, B4.1",NO,NO - disabled or archived
TARGET,B4.7,Minimax Regret Decision Rule,STRUCTURE,actionScenarioMatrix,SHARED_GOVERNED_STRUCTURE (same primitive source object),B4.4,NO,NO - abstains on the current corpus
TARGET,C1.1,Missing Data Index,STRUCTURE,requiredInputContract,NONE,,YES,NO - abstains on the current corpus
TARGET,C1.2,Data Timeliness Score,STRUCTURE,evidenceTimelinessRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,C1.3,Source Reliability Weighting,STRUCTURE,sourceProvenanceRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,C1.4,Audit Trail Completeness,STRUCTURE,auditChainRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,C1.5,Information Completeness Ratio,STRUCTURE,informationPackageRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,C1.6,Cross-document Consistency Score,STRUCTURE,crossDocumentFactSet,NONE,,YES,NO - abstains on the current corpus
TARGET,C1.7,Reporting Frequency Index,STRUCTURE,reportingCadenceRecord,NONE,,YES,NO - abstains on the current corpus
TARGET,D1.1,Isolation Forest,STRUCTURE,portfolioCohort,SHARED_GOVERNED_STRUCTURE (same primitive source object),"D1.2, D1.4, D1.5",YES,NO - abstains on the current corpus
TARGET,D1.2,Portfolio Outlier Detection,STRUCTURE,portfolioCohort,SHARED_GOVERNED_STRUCTURE (same primitive source object),"D1.1, D1.4, D1.5",NO,NO - abstains on the current corpus
TARGET,D1.3,Signal Trajectory Classifier,STRUCTURE,portfolioSignalHistory,NONE,,YES,NO - abstains on the current corpus
TARGET,D1.4,Cross-project Pattern Detector,STRUCTURE,portfolioCohort,SHARED_GOVERNED_STRUCTURE (same primitive source object),"D1.1, D1.2, D1.5",NO,NO - abstains on the current corpus
TARGET,D1.5,Anomaly Score,STRUCTURE,portfolioCohort,SHARED_GOVERNED_STRUCTURE (same primitive source object),"D1.1, D1.2, D1.4",NO,NO - abstains on the current corpus
ACCEPTANCE_COUNTER,-,DISTINCT PRIMITIVE-SOURCE PROFILES,-,83,-,-,-,measured by ablation
ACCEPTANCE_COUNTER,-,TARGETS SHARING A PROFILE WITH AT LEAST ONE OTHER,-,24,-,-,-,identical set or shared governed structure
ACCEPTANCE_COUNTER,-,TARGETS ADDING NO DISTINCT ANALYTICAL FUNCTION,-,17,-,-,-,"A2.10, A2.11, A2.4, A2.5, A2.6, A5.3, B1.1, B1.3, B1.4, B2.19, B2.9, B4.1, B4.6, B4.7, D1.2, D1.4, D1.5"
REPORTED_DISCREPANCY,-,RUN-35 COMPARISON,-,17,-,-,-,"Run 35 recorded 22 of 100 adding no distinct analytical function under a DIFFERENT measure: its overlap taxonomy counted declared shared structures and subset relations, and its 'unique_analytical_contribution' column marked NO for 22. Run 36 measures the primitive-source profile BY ABLATION through the real entry point and counts a target as adding nothing only when another target already occupies the identical profile. The two figures answer different questions and neither is forced to the other. DISCREPANCY REPORTED, NOT RECONCILED AWAY."
