module_id,analytical_purpose,primary_inputs,primary_lineage,closest_overlapping_target,overlap_type,unique_analytical_contribution,current_operational_necessity,proposed_disposition,evidence,result
A3.1,Reference Class Forecasting (Cost Risk),referenceClassPopulation,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['referenceClassPopulation']; declared governed structure: referenceClassPopulation; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A3.2,Contingency Burn Rate (Cost Risk),originalContingency,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['originalContingency']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A3.3,Labor Productivity Index (Cost Risk),productionOutputRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['productionOutputRecord']; declared governed structure: productionOutputRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A3.5,Overhead Absorption Rate (Cost Risk),overheadAllocationBase,LINEAGE_ESTABLISHED_INDEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['overheadAllocationBase']; declared governed structure: overheadAllocationBase; lineage state LINEAGE_ESTABLISHED_INDEPENDENT; independence established: True,PASS
A3.6,Cost Risk Analysis P80 (Cost Risk),costRiskModel,LINEAGE_ESTABLISHED_DEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['costRiskModel']; declared governed structure: costRiskModel; lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False,PASS
A3.7,Analogous Estimating Ratio (Cost Risk),analogEstimate,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['analogEstimate']; declared governed structure: analogEstimate; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A3.8,Parametric Cost Index (Cost Risk),none reached on this corpus,LINEAGE_NOT_APPLICABLE,none,NONE,YES,NO - disabled or archived,DISABLED_INSUFFICIENT_INPUT,primitive sources actually read on the governed corpus: none reached; declared governed structure: parametricCostModel; lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
A3.9,Inflation Adjustment Index (Cost Risk),externalCostIndex,LINEAGE_ESTABLISHED_INDEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['externalCostIndex']; declared governed structure: externalCostIndex; lineage state LINEAGE_ESTABLISHED_INDEPENDENT; independence established: True,PASS
A4.1,Document Risk Score (Document-Derived Condition Signals),none reached on this corpus,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,RESEARCH_ONLY,primitive sources actually read on the governed corpus: none reached; declared governed structure: documentRiskEvidence; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A4.2,RFI Velocity (Document-Derived Condition Signals),"rfiCount, rfiEventLog, rfiNumber, rfiPeriodDays",LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['rfiCount', 'rfiEventLog', 'rfiNumber', 'rfiPeriodDays']; declared governed structure: rfiEventLog; lineage state LINEAGE_UNRESOLVED; independence established: False",PASS
A4.3,Submittal Rejection Rate (Document-Derived Condition Signals),"rfaTotal, submittalDecisionRegister, submittalsRejected, submittalsTotal",LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['rfaTotal', 'submittalDecisionRegister', 'submittalsRejected', 'submittalsTotal']; declared governed structure: submittalDecisionRegister; lineage state LINEAGE_UNRESOLVED; independence established: False",PASS
A4.4,NCR Rate (Document-Derived Condition Signals),ncrExposureRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['ncrExposureRecord']; declared governed structure: auditedNonconformanceCohort; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A4.5,Weather Day Impact (Document-Derived Condition Signals),weatherImpactEvents,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['weatherImpactEvents']; declared governed structure: weatherImpactEvents; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A4.6,Change Order Frequency (Document-Derived Condition Signals),changeEventRegister,LINEAGE_ESTABLISHED_INDEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['changeEventRegister']; declared governed structure: changeEventRegister; lineage state LINEAGE_ESTABLISHED_INDEPENDENT; independence established: True,PASS
A4.7,Dispute Escalation Index (Document-Derived Condition Signals),claimDisputeRegister,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['claimDisputeRegister']; declared governed structure: claimDisputeRegister; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A4.8,Subcontractor Performance (Document-Derived Condition Signals),subcontractorAssessments,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['subcontractorAssessments']; declared governed structure: subcontractorAssessments; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A4.9,Procurement Lead Time Monitor (Document-Derived Condition Signals),procurementItems,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['procurementItems']; declared governed structure: procurementItems; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A4.10,Specification Conflict Density (Document-Derived Condition Signals),specificationConflictRegister,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['specificationConflictRegister']; declared governed structure: specificationConflictRegister; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A5.1,DSM Rework Propagation (System Dynamics & Complexity),dsmDependencyModel,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['dsmDependencyModel']; declared governed structure: dsmDependencyModel; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A5.2,Sensitivity Analysis (System Dynamics & Complexity),sensitivityModel,LINEAGE_ESTABLISHED_INDEPENDENT,A5.3,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['sensitivityModel']; declared governed structure: sensitivityModel; lineage state LINEAGE_ESTABLISHED_INDEPENDENT; independence established: True,PASS
A5.3,Tornado Risk Ranking (System Dynamics & Complexity),sensitivityModel,LINEAGE_ESTABLISHED_DEPENDENT,A5.2,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['sensitivityModel']; declared governed structure: sensitivityModel; lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False,PASS
A5.4,Scenario Modeling (System Dynamics & Complexity),scenarioSet,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['scenarioSet']; declared governed structure: scenarioSet; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A5.5,Rework Feedback Loop (System Dynamics & Complexity),systemDynamicsModel,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['systemDynamicsModel']; declared governed structure: systemDynamicsModel; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A5.6,Queueing Theory Bottleneck (System Dynamics & Complexity),queueModel,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['queueModel']; declared governed structure: queueStructure; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A5.7,Agent-Based Supply Chain (System Dynamics & Complexity),agentSupplyChainModel,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['agentSupplyChainModel']; declared governed structure: abmStructure; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A5.8,Discrete Event Simulation (System Dynamics & Complexity),desProcessModel,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['desProcessModel']; declared governed structure: desProcessModel; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A6.1,Quality Compliance Index (Delivery Quality Performance),"criticalFindings, qualityAuditScore, qualityRequirementRegister, totalFindings",LINEAGE_UNRESOLVED,none,NONE,YES,BOUNDED ADVISORY,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['criticalFindings', 'qualityAuditScore', 'qualityRequirementRegister', 'totalFindings']; declared governed structure: qualityRequirementRegister; lineage state LINEAGE_UNRESOLVED; independence established: False",PASS
A6.2,Safety Performance Index (Delivery Quality Performance),"oshaIncidentRate, oshaRecordableIncidents, reportPeriod, safetyPerformanceRecord, totalManhours",LINEAGE_UNRESOLVED,none,NONE,YES,BOUNDED ADVISORY,KEEP_ADVISORY,"primitive sources actually read on the governed corpus: ['oshaIncidentRate', 'oshaRecordableIncidents', 'reportPeriod', 'safetyPerformanceRecord', 'totalManhours']; declared governed structure: safetyPerformanceRecord; lineage state LINEAGE_UNRESOLVED; independence established: False",PASS
A6.3,Environmental Compliance Rate (Delivery Quality Performance),"environmentalComplianceRate, environmentalRequirementRegister, environmentalViolations",LINEAGE_UNRESOLVED,none,NONE,YES,BOUNDED ADVISORY,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['environmentalComplianceRate', 'environmentalRequirementRegister', 'environmentalViolations']; declared governed structure: auditedPermitCompliance; lineage state LINEAGE_UNRESOLVED; independence established: False",PASS
A6.4,Contractor Performance Assessment Signal (Delivery Quality Performance),contractorAssessmentRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['contractorAssessmentRecord']; declared governed structure: contractorAssessmentRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B1.1,Conservative Dominance (Signal Synthesis),signals,LINEAGE_UNRESOLVED,B1.3,IDENTICAL_PRIMITIVE_SOURCE_SET,NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['signals']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B1.2,Weighted Voting (Signal Synthesis),"signalWeightPolicy, signals",LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['signalWeightPolicy', 'signals']; declared governed structure: signalWeightPolicy; lineage state LINEAGE_UNRESOLVED; independence established: False",PASS
B1.3,Majority Rules (Signal Synthesis),signals,LINEAGE_UNRESOLVED,B1.1,IDENTICAL_PRIMITIVE_SOURCE_SET,NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['signals']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B1.4,Worst-N-of-M (Signal Synthesis),signals,LINEAGE_UNRESOLVED,B1.1,IDENTICAL_PRIMITIVE_SOURCE_SET,NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['signals']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.1,Dempster-Shafer (Evidence Combination),evidenceMassFunctions,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['evidenceMassFunctions']; declared governed structure: evidenceMassFunctions; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.2,Rough Sets (Evidence Combination),roughDecisionTable,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['roughDecisionTable']; declared governed structure: roughDecisionTable; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.3,Neutrosophic Logic (Evidence Combination),neutrosophicAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['neutrosophicAssessment']; declared governed structure: neutrosophicAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.4,Interval Fuzzy Sets (Evidence Combination),intervalFuzzyAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['intervalFuzzyAssessment']; declared governed structure: intervalFuzzyAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.5,Z-numbers (Evidence Combination),zNumberAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['zNumberAssessment']; declared governed structure: zNumberAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.6,PLTS (Evidence Combination),probabilisticLinguisticAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['probabilisticLinguisticAssessment']; declared governed structure: probabilisticLinguisticAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.7,Plithogenic Sets (Evidence Combination),none reached on this corpus,LINEAGE_NOT_APPLICABLE,none,NONE,YES,NO - disabled or archived,DISABLED_INSUFFICIENT_PROVENANCE,primitive sources actually read on the governed corpus: none reached; declared governed structure: plithogenicLabStructure; lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
B2.8,Belief Rule Base (Evidence Combination),beliefRuleBase,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['beliefRuleBase']; declared governed structure: beliefRuleBase; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.9,Quantum Probability (Evidence Combination),none reached on this corpus,LINEAGE_NOT_APPLICABLE,none,NONE,YES,NO - disabled or archived,ARCHIVED,primitive sources actually read on the governed corpus: none reached; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
B2.10,Pythagorean Fuzzy Sets (Evidence Combination),pythagoreanFuzzyAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['pythagoreanFuzzyAssessment']; declared governed structure: pythagoreanFuzzyAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.11,Picture Fuzzy Sets (Evidence Combination),pictureFuzzyAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['pictureFuzzyAssessment']; declared governed structure: pictureFuzzyAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.12,Hesitant Fuzzy Sets (Evidence Combination),hesitantFuzzyAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['hesitantFuzzyAssessment']; declared governed structure: hesitantFuzzyAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.13,Type-2 Fuzzy Sets (Evidence Combination),type2FuzzyAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['type2FuzzyAssessment']; declared governed structure: type2FuzzyAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.14,Maximum Entropy (Evidence Combination),maximumEntropyProblem,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['maximumEntropyProblem']; declared governed structure: maximumEntropyProblem; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.15,Possibility Theory (Evidence Combination),possibilityAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['possibilityAssessment']; declared governed structure: possibilityAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.16,Spherical Fuzzy Sets (Evidence Combination),sphericalFuzzyAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['sphericalFuzzyAssessment']; declared governed structure: sphericalFuzzyAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.17,Fermatean Fuzzy Sets (Evidence Combination),fermateanFuzzyAssessment,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['fermateanFuzzyAssessment']; declared governed structure: fermateanFuzzyAssessment; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.18,MARCOS Ranking (Evidence Combination),decisionAlternatives,LINEAGE_UNRESOLVED,B2.19,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['decisionAlternatives']; declared governed structure: decisionAlternatives; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B2.19,CRITIC-TOPSIS (Evidence Combination),decisionAlternatives,LINEAGE_UNRESOLVED,B2.18,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['decisionAlternatives']; declared governed structure: decisionAlternatives; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
