structure_key,module_served,all_modules_sharing_this_key,source_structure,input_class,current_production_producer,current_production_consumer,needs_the_project_data_intake,if_not_why_not,accepted_by_the_project_data_intake,reachable_through_production,real_corpus_currently_populates_it,canonical_validation_point,runtime_behaviour_when_absent,verdict
milestoneForecastHistory,A2.7,A2.7,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,derived,server/app/documents.py::run_and_store,server/app/simulation/canonical_v3.py::milestone_trend,no,"PRODUCED BY DOCUMENT EXTRACTION, NOT SUPPLIED. documents.py assembles it from the baseline finish dates already extracted per activity and stored per period. A supplied record would be second-best evidence, and the merge rule makes the document-derived structure win. The intake still accepts it, for a project whose documents carry no schedule.",yes,yes,yes,server/app/simulation/canonical_v3.py::milestone_trend,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
lookAheadSchedule,A2.8,A2.8,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::look_ahead_ready_fraction,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::look_ahead_ready_fraction,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
resourceProfile,A2.9,A2.9,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::resource_loading,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::resource_loading,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
scheduleNetwork,A2.10,A2.1 A2.4 A2.5 A2.10 A2.11,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
scheduleNetwork,A2.11,A2.1 A2.4 A2.5 A2.10 A2.11,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::pert_criticality and the network readers,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
referenceClassPopulation,A3.1,A3.1,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::reference_class_forecast,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::reference_class_forecast,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
productionOutputRecord,A3.3,A3.3,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::labor_productivity,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::labor_productivity,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
overheadAllocationBase,A3.5,A3.5,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::overhead_absorption,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::overhead_absorption,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
costRiskModel,A3.6,A3.6,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,derived,server/app/documents.py::run_and_store,server/app/simulation/canonical_v3.py::cost_risk_simulation,no,"PRODUCED BY DOCUMENT EXTRACTION, NOT SUPPLIED. documents.py assembles it from the period's own risk register: each usable row becomes one event carrying the register's own probability and cost impact. Same merge rule, same reason.",yes,yes,yes,server/app/simulation/canonical_v3.py::cost_risk_simulation,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
analogEstimate,A3.7,A3.7,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::analogous_estimate,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::analogous_estimate,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
parametricCostModel,A3.8,A3.8,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::parametric_cost_index,no,"THE MODULE IS REGISTERED DISABLED, LABORATORY-ONLY, AND IS NEVER EXECUTED. A supply route for a structure no production execution can reach would be a path to nowhere. Activating A3.8 is not this run's work and is not done.",yes,yes,no,server/app/simulation/canonical_v3.py::parametric_cost_index,"registered disabled: never executed, so the structure is never read",PASS
externalCostIndex,A3.9,A3.9,server/app/simulation/canonical_v3.py::V3_STRUCTURE_KEYS,direct input,none: no production code assigns this key,server/app/simulation/canonical_v3.py::inflation_adjustment,yes,,yes,yes,no,server/app/simulation/canonical_v3.py::inflation_adjustment,"NOT ESTIMABLE, reason code canonical_structure_absent",PASS
