module_id,code_module_id,module_name,category_number,category_name,synthetic_package,primary_files,proposed_owner_action,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
2.2,A2.2,Line of Balance,2,Schedule Analytics,A,lob_work_packages.csv|lob_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cb374e7f7d52b6b5de1b55c3c0cc7e4b1639d898064c3b89ede69977c7bb0e43
2.3,A2.3,CCPM Buffer Health,2,Schedule Analytics,A,ccpm_chains.csv|ccpm_chain_activities.csv|ccpm_buffer_sizing_inputs.csv|ccpm_buffers.csv|ccpm_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,10de4817fbc92b27bd2dcde44627b04ce2ebf912499270dd37f096e8c4875cc9
2.5,A2.5,Float Consumption Rate,2,Schedule Analytics,A,schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a46ad51b13494dfb3eeefd5de045a7f7a4b702d1c7f36a7cc80f0906c57e6f24
3.1,A3.1,Reference Class Forecasting,3,Cost Risk,B1,reference_projects.csv|reference_class_membership.csv|reference_outcomes.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,78aff4285e55ddcb7b7c34f4b4e82032c83ca1b09edf9f5ef04f6fea03653c0e
3.6,A3.6,Cost Risk Analysis P80,3,Cost Risk,A,cost_elements.csv|cost_risk_events.csv|cost_correlations.csv|cost_risk_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,edf1f448ab401fafc1247651c91e87868e2eaa70d4da0e08db260a0756058bde
3.8,A3.8,Parametric Cost Index,3,Cost Risk,B1/C,parametric_cost_training.csv|ground_truth_model.json|parametric_cost_benchmark.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f5042b4dd18a47d71b37b97f22ef8fffef639881f842d64d5a8dd6d6ec52b579
3.9,A3.9,Inflation Adjustment Index,3,Cost Risk,B1,inflation_index.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a4bb48b324f97a68ae4615dfc8507db5d2f4bc9fd939b1f32451ffe48482a4be
4.10,A4.10,Specification Conflict Density,4,Document & Risk Signals,A,specification_conflicts.csv|specification_exposure.csv|specification_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,57b4525d7052e0d8427109337b0bd6c8b6796c0f94862cba4f008968274f99e4
4.4,A4.4,NCR Rate,4,Document & Risk Signals,A,quality_audits.csv|ncr_events.csv|ncr_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6c83bb9e154fb5a72addf9fad890f3650e7d81ff00d1980c7b6d8bb5d4c619e4
4.5,A4.5,Weather Day Impact,4,Document & Risk Signals,A,weather_events.csv|activity_weather_impacts.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3aa5e58fcffcc2f2ff5c25c87a1391a1f9ad94a682b3d985ded7cbe848bd7b25
4.7,A4.7,Dispute Escalation Index,4,Document & Risk Signals,A,claims.csv|dispute_events.csv|dispute_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3594981d5c4cdaa0b8d05150fc1d94197c6b3ab567d966192c26203bbba10428
5.1,A5.1,DSM Rework Propagation,5,System Dynamics & Complexity,A,dsm_nodes.csv|dsm_edges.csv|dsm_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e984f92392ac1b14ea07c432ad2d503d4caf0dd04874255b4048a50275256e30
5.5,A5.5,Rework Feedback Loop,5,System Dynamics & Complexity,A,system_dynamics_parameters.csv|system_dynamics_timeseries.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ece1bdd57e72841558f099ed106b7fae27a0f189ab9675a06c854e772148873d
5.6,A5.6,Queueing Theory Bottleneck,5,System Dynamics & Complexity,A,queue_events.csv|queue_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,613c99798e5b6f80b7bee0fad59fc5a88270c26d5301416881df4eb2e445b292
5.7,A5.7,Agent-Based Supply Chain,5,System Dynamics & Complexity,A,agent_decision_rules.csv|agents.csv|agent_state_history.csv|abm_ground_truth.csv|abm_rule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c09ef1a4408c70e6a4d2a4fb90eade79bbb2bdd723f8e5e8b4e4041f0e76872f
5.8,A5.8,Discrete Event Simulation,5,System Dynamics & Complexity,A,des_entities.csv|des_events.csv|des_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0178c08340287b40a08d562022b06c646b57a35e8410b399d0e5f44bbeee700d
7.12,B2.12,Hesitant Fuzzy Sets,7,Evidence Combination / Epistemic Uncertainty,B2,fuzzy_memberships.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3a07a36ce34a38eb57f293a615259ba4ab6a3c5c8e57203a7566e0394bdd688f
7.13,B2.13,Type-2 Fuzzy Sets,7,Evidence Combination / Epistemic Uncertainty,B2,fuzzy_memberships.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6d5dfd1191a68bcdb9c4e97af14ab847b88f359cd8c9fcb6e920946eb191dcb7
7.14,B2.14,Maximum Entropy,7,Evidence Combination / Epistemic Uncertainty,B2,possibility_distributions.csv|epistemic_ground_truth.json,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2242f531677f2e26f4c742f57566f26aa5c23e96a25db7ef058dadff0edf8c1a
7.18,B2.18,MARCOS Ranking,7,Evidence Combination / Epistemic Uncertainty,B3,alternative_criteria_matrix.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,12cf4ca259fc1b86dd748fc7f6c398d47221c81cd94069cdd8ad7115d5d71ae1
7.19,B2.19,CRITIC-TOPSIS,7,Evidence Combination / Epistemic Uncertainty,B3,alternative_criteria_matrix.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,08d19341bb70c0d2ec6fe562def6d1e220c212f8bfe4f79f7e0bfaec8ecdd020
7.2,B2.2,Rough Sets,7,Evidence Combination / Epistemic Uncertainty,B1,rough_set_decision_table.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4c93aed0f5af614d25867a28efbc45ead6dc9e83a79bb138a9ca097b2792a11d
7.20,B2.20,Hypersoft Sets,7,Evidence Combination / Epistemic Uncertainty,C,hypersoft_universe.csv|hypersoft_parameters.csv|hypersoft_approximation.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1fe9ff19a76e1e0ec1132ea53388b71b9e8ea685268c1ac120096602c52d0b74
7.5,B2.5,Z-numbers,7,Evidence Combination / Epistemic Uncertainty,B2,z_number_assessments.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0cf2baeab3f94ce56f960cd4549fba71d7e3d9c66d3fbed40b853fa827faedca
7.6,B2.6,PLTS,7,Evidence Combination / Epistemic Uncertainty,B2,plts_assessments.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4904dbeb5da7deb5e76b0a30c2013c77768899e228d6c103493076d1b0b6ba3f
7.7,B2.7,Plithogenic Sets,7,Evidence Combination / Epistemic Uncertainty,C,plithogenic_attributes.csv|plithogenic_appurtenance.csv|plithogenic_contradictions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5cc29d54c3be86b7e7addea53f7492c5ca0a0cb692c3d4a913bd76a8e3ab4467
7.8,B2.8,Belief Rule Base,7,Evidence Combination / Epistemic Uncertainty,B2,belief_rules.json,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a3ddc7f7c15def3e5f7584ac67f5e581a987e743a2a2577438480bb59480de2a
7.9,B2.9,Quantum Probability,7,Evidence Combination / Epistemic Uncertainty,C,quantum_order_effects.csv|quantum_model_parameters.json,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,90381de772b1bc91e4cef63468f632ea6bf4310ca0a95052187c09b395bacd63
8.8,A6.3,Environmental Compliance Rate,8,Governance & Compliance,A,environmental_requirements.csv|environmental_assessments.csv|environmental_violations.csv|environmental_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,aa278c9a0ca2848934f0a02ae91e6aee4993832a70a0c984dc0b0dc2588bd8a6
